,"Age, BMI & VAT",Gut MB metabolic pathways
AHI,0.4892289324806026,0.47797390836585424
ahi_4_percent,0.478855386311997,0.47125607109946965
ahi_central,0.228823128406853,0.22532295564725474
ahi_central_during_nrem,0.2091092510366268,0.19452853574494305
ahi_central_during_rem,0.21361709428407905,0.2132329836102358
ahi_during_left,0.36824317375491067,0.35908128767766057
ahi_during_non_supine,0.41883391252546853,0.4053224651829796
ahi_during_nrem,0.4553602150704893,0.4434556108106691
ahi_during_prone,0.3716422199913013,0.36311915908764647
ahi_during_rem,0.49604016955118135,0.48453781805152063
ahi_during_right,0.35817218843880794,0.3457948439924009
ahi_during_supine,0.47944774472737817,0.47738533933308885
ahi_obstructive,0.4981569110009699,0.4869885520477925
ahi_obstructive_during_nrem,0.46449093246949336,0.4527545945059848
ahi_obstructive_during_rem,0.4963203643698302,0.4847018127926772
desaturations_above_20,0.15822846331275334,0.15822846331275345
desaturations_mean_nadir,0.359562880951802,0.3595932132388131
desaturations_of_10_20,0.2603660207741154,0.2479867724883322
desaturations_of_4_9,0.47083029519041764,0.46864323257401497
number_of_4_percent_desaturation_apnea_hypopnea_events,0.4542462061488916,0.4500120828319285
number_of_all_respiratory_events,0.34235113985175775,0.33003038861965983
number_of_apnea_hypopnea_events,0.4547078620020132,0.44688557556554953
number_of_central_apnea_hypopnea_events,0.2260378179588878,0.21705241462780084
number_of_desaturation_events,0.4609861408475689,0.4578009668935385
number_of_obstructive_apnea_hypopnea_events,0.4636079816492561,0.45736093447893356
number_of_transitions_nrem_to_rem,0.07108170512457104,0.07108170512457095
number_of_transitions_nrem_to_wake,0.1643422106481408,0.17084014907968303
number_of_transitions_rem_to_nrem,0.07393968343379465,0.0739396834337947
number_of_transitions_rem_to_wake,-0.03333562914393225,-0.0333356291439322
number_of_transitions_wake_to_nrem,0.17845402444688296,0.1808906722851102
number_of_transitions_wake_to_rem,-0.030936308258430002,-0.030936308258430002
number_of_wakes,0.15959043619852326,0.16185543776433614
odi,0.4855719620255201,0.4784021953485157
odi_during_left,0.4034058140970723,0.39119262338190774
odi_during_non_supine,0.44480603251892564,0.4390650726531072
odi_during_nrem,0.4353883468395911,0.4290704255112793
odi_during_prone,0.380165903236718,0.364744960887456
odi_during_rem,0.5144823544712265,0.5084485565735972
odi_during_right,0.3849452853643115,0.3757263552776215
odi_during_supine,0.46073622463990893,0.44889090864881265
percent_of_deep_sleep_time,0.2141073256997721,0.20490436526962325
percent_of_left_sleep,0.07051164244387431,-0.03267590044198605
percent_of_light_sleep_time,0.18828582869186516,0.1672837658702777
percent_of_non_supine_sleep,0.0767258353112908,0.0719453296603631
percent_of_prone_sleep,-0.011351966362238501,-0.0349183150944196
percent_of_rem_sleep_time,0.119719865206229,0.1037723111836905
percent_of_right_sleep,0.06853990544829715,0.01483568193552405
percent_of_sleep_time,0.1002789064713491,0.11170527653580956
percent_of_supine_sleep,0.07672583531129085,0.07194532966036316
percent_of_wake_time,0.10027890647134804,0.1117052765358093
rdi,0.39252216416132024,0.3803535428090013
rdi_during_left,0.27041204693350834,0.26630167388550563
rdi_during_non_supine,0.30242176266390053,0.28763307300166774
rdi_during_nrem,0.3527344689302489,0.3383151806781207
rdi_during_prone,0.2560949158542497,0.2503735964227153
rdi_during_rem,0.4129142817932223,0.40148383059481696
rdi_during_right,0.24409759160253475,0.23015204935228925
rdi_during_supine,0.3963964265142627,0.3922908554398858
rem_latency,0.0309468469427494,-0.0018892674071188
saturation_below_80,0.15499686563672854,0.14017954022909435
saturation_below_85,0.21244696129570773,0.21171532890924027
saturation_below_90,0.2870932307436568,0.2825483238281997
saturation_below_or_equal_88,0.2724296884176401,0.2700928019425134
saturation_max_value,-0.03549548272952915,-0.03549548272952915
saturation_mean,0.4626396019725111,0.46268704728617943
saturation_min_value,0.3936778021796813,0.39037997310223355
sleep_efficiency,0.08839409923998125,0.10810112207107306
sleep_latency,0.02377136652978065,0.044782268967688346
snore_above_40db,0.14871371917468154,0.13666370931006466
snore_above_45db,0.3248226296676755,0.31909611182810793
snore_above_50db,0.2654911779151904,0.2593664504866609
snore_above_60db,0.1588115992031425,0.14327102426037613
snore_db_mean,0.3060418253298395,0.3059580833832252
time_to_transition_nrem_to_rem,-0.0326966937894543,-0.03293801126212255
time_to_transition_nrem_to_wake,0.11917756770505994,0.1007979642727081
time_to_transition_rem_to_nrem,0.1231471571305959,0.1021241728521672
time_to_transition_rem_to_wake,0.01772894577163635,-0.036199381506377554
time_to_transition_wake_to_nrem,0.1582259270429203,0.14488332518553593
time_to_transition_wake_to_rem,0.09820752142077475,0.07898971288132994
total_arousal_sleep_time,0.08122242637625271,0.07635382593562476
total_deep_sleep_time,0.20225126550459704,0.19689299965241056
total_left_sleep_time,0.06694653957657555,0.044388500678328696
total_light_sleep_time,0.1453821973356731,0.12532197572559545
total_non_supine_sleep_time,0.08930841543584589,0.07856635926439459
total_prone_sleep_time,-0.006126014799770801,-0.02348843039235285
total_rem_sleep_time,0.08514488054764116,0.0681343554584651
total_right_sleep_time,0.07784272658538774,0.0822065167844159
total_sleep_time,0.0809185965755379,0.07528461618460786
total_supine_sleep_time,0.06738171640953625,0.0488490935840134
total_time_in_bed,0.07929969749594445,0.0752774584554089
total_valid_apnea_central_sleep_time,0.09247626474493525,0.08531755527647736
total_valid_apnea_sleep_time,0.10716674206628204,0.09362296400665285
total_wake_time,0.10011492649690065,0.10073321944492006
total_wake_time_after_sleep_onset,0.1062784103548351,0.09917955777517296
variability_between_sleep_stage_percents,0.1935424149961555,0.1834882072961413
