,"Age, BMI & VAT",Blood lipids
AHI,0.01024409136896817,0.011420259968166528
ahi_4_percent,0.010202579598052102,0.017890378800961327
ahi_central,0.01655650610062505,0.024759763152618675
ahi_central_during_nrem,0.01883111043048092,0.021999728219001025
ahi_central_during_rem,0.013551180618027847,0.020354763062320938
ahi_during_left,0.01347145438484271,0.022440223085081302
ahi_during_non_supine,0.012170114126608197,0.016684930013899903
ahi_during_nrem,0.009591726389780718,0.01744986669752962
ahi_during_prone,0.013557828971646204,0.02699705620788748
ahi_during_rem,0.009646563563485953,0.015159386109515722
ahi_during_right,0.01245167886449385,0.019371346349399084
ahi_during_supine,0.0094167957249958,0.016035647852039304
ahi_obstructive,0.010344242944068674,0.016064237745685907
ahi_obstructive_during_nrem,0.00942769566518914,0.016734344123431104
ahi_obstructive_during_rem,0.01022670035963258,0.015190501506974628
desaturations_mean_nadir,0.009381088202124502,0.017417845951903578
desaturations_of_10_20,0.0139717460744314,0.01757945356138595
desaturations_of_4_9,0.009117320747566634,0.0182269880739944
number_of_4_percent_desaturation_apnea_hypopnea_events,0.009769471443790215,0.017031222985942656
number_of_all_respiratory_events,0.012598026034269039,0.013001758843122336
number_of_apnea_hypopnea_events,0.008340963328295413,0.015901376152711703
number_of_central_apnea_hypopnea_events,0.016183576010697715,0.02593736572413901
number_of_desaturation_events,0.008679238704302159,0.01861461885138443
number_of_obstructive_apnea_hypopnea_events,0.010061647102604796,0.01713554915888117
number_of_transitions_nrem_to_rem,0.020786170257539927,0.023472611592919863
number_of_transitions_nrem_to_wake,0.01691851044662867,0.026323223784270402
number_of_transitions_rem_to_nrem,0.019643992646440064,0.02684464027601579
number_of_transitions_rem_to_wake,0.018530126975609112,0.02377526070985958
number_of_transitions_wake_to_nrem,0.016217435513072326,0.025887655008828798
number_of_transitions_wake_to_rem,0.019550055496180895,0.025451584936496584
number_of_wakes,0.01614697454054614,0.021123765187370382
odi,0.008803107657409392,0.017768014786270082
odi_during_left,0.012499737946755836,0.02317056902179333
odi_during_non_supine,0.013442403185555184,0.022077969832811586
odi_during_nrem,0.011298822325383104,0.02070061756970601
odi_during_prone,0.01179961737348476,0.024254303802036442
odi_during_rem,0.010077310795463285,0.016231468343062612
odi_during_right,0.016427832740979118,0.021450119238348494
odi_during_supine,0.008687559838019495,0.01671287441917831
percent_of_deep_sleep_time,0.016663673865775545,0.01938159270851219
percent_of_left_sleep,0.02071563374681107,0.028780080476106196
percent_of_light_sleep_time,0.014667251617100916,0.028206537828169887
percent_of_non_supine_sleep,0.02306936360681353,0.026363187378366373
percent_of_prone_sleep,0.018618920522181684,0.023792724909137402
percent_of_rem_sleep_time,0.01997824385343544,0.02638597543067106
percent_of_right_sleep,0.019963307926811655,0.026976746924325792
percent_of_sleep_time,0.01869369302165359,0.019943382420036446
percent_of_supine_sleep,0.023069363685673153,0.02634023335315083
percent_of_wake_time,0.018694673093959537,0.020001513297977818
rdi,0.012383907604821566,0.01869219934127779
rdi_during_left,0.01988288309234834,0.023508330402112088
rdi_during_non_supine,0.014434449008351877,0.020158455498682837
rdi_during_nrem,0.013887075421309378,0.017949075613332987
rdi_during_prone,0.019423542614961768,0.027354124242864153
rdi_during_rem,0.01292608960543413,0.016976954162963187
rdi_during_right,0.017959855760330094,0.019288919008243574
rdi_during_supine,0.0120516160934321,0.019056229504437045
rem_latency,0.018695463453141593,0.02409957878273493
saturation_below_85,0.014882234901524051,0.019420346596948582
saturation_below_90,0.012494533327161224,0.01948579608427376
saturation_below_or_equal_88,0.014134745575414604,0.02102934103615085
saturation_max_value,0.01565660259994748,0.022237595428707985
saturation_mean,0.008595551018740202,0.01580142210716118
saturation_min_value,0.010587458459721396,0.015261353622595486
sleep_efficiency,0.01888731550719165,0.02710604401476451
sleep_latency,0.024495829212065934,0.028214793887355785
snore_above_40db,0.02072848754772053,0.02603104596711465
snore_above_45db,0.012115929471987006,0.02326880070934633
snore_above_50db,0.013761278294584865,0.023610418649139757
snore_above_60db,0.012899762395122394,0.01703031415431141
snore_db_mean,0.013345508108930823,0.023621622537585905
time_to_transition_nrem_to_rem,0.01797502352727008,0.02008060275396481
time_to_transition_nrem_to_wake,0.01910284158395175,0.027304641781172416
time_to_transition_rem_to_nrem,0.018988813517614573,0.027489728522067085
time_to_transition_rem_to_wake,0.020167885183618922,0.027894313170826312
time_to_transition_wake_to_nrem,0.021177330968472696,0.02591427540456781
time_to_transition_wake_to_rem,0.018390919757088984,0.027278431327705594
total_arousal_sleep_time,0.020494834255503407,0.02451353131194807
total_deep_sleep_time,0.018177504137787934,0.02109368513176505
total_left_sleep_time,0.0239653638469112,0.03032347667962711
total_light_sleep_time,0.017827636703719296,0.023532171946801093
total_non_supine_sleep_time,0.021484134090119067,0.02852866292347271
total_prone_sleep_time,0.01968519921638936,0.025539243865446246
total_rem_sleep_time,0.023461133028239677,0.02502344926116084
total_right_sleep_time,0.02002739792297016,0.027349431956205893
total_sleep_time,0.02069307634577708,0.025842956212564234
total_supine_sleep_time,0.021125352996600823,0.03187836129227721
total_time_in_bed,0.02014827826953082,0.030741838047843303
total_valid_apnea_central_sleep_time,0.018224712374187473,0.02547551175024373
total_valid_apnea_sleep_time,0.02099019280417679,0.02709866615279865
total_wake_time,0.019768966617124274,0.024367187789478623
total_wake_time_after_sleep_onset,0.020551327972325412,0.02319752974568683
variability_between_sleep_stage_percents,0.014382813612172257,0.021832901019015485
