,"Age, BMI & VAT",Body Composition
AHI,0.0034800292953850193,0.0074025936195495036
ahi_4_percent,0.0044898722584761335,0.008852188521125992
ahi_central,0.008660475711619575,0.014092311301776109
ahi_central_during_nrem,0.008541799358707964,0.014360850406676222
ahi_central_during_rem,0.009133570177517335,0.012774220849604124
ahi_during_left,0.005857937686367586,0.009367876096146406
ahi_during_non_supine,0.005534737937464492,0.007454342413423174
ahi_during_nrem,0.004825488449992692,0.008237060087611442
ahi_during_prone,0.007558384420899728,0.01088674054195785
ahi_during_rem,0.003789098650270751,0.00918607569655518
ahi_during_right,0.007038812009435954,0.010251159535373939
ahi_during_supine,0.003452618888658811,0.008224790319290645
ahi_obstructive,0.0043003599423953815,0.007618207748564568
ahi_obstructive_during_nrem,0.005143666320970313,0.010412119892669314
ahi_obstructive_during_rem,0.00459473050066349,0.0071132100897811175
desaturations_above_20,0.012703298711123986,0.020090884484619525
desaturations_mean_nadir,0.006751370855746814,0.009435444515705906
desaturations_of_10_20,0.01027192837983508,0.01684047854331244
desaturations_of_4_9,0.004929796452583225,0.009495366491333736
number_of_4_percent_desaturation_apnea_hypopnea_events,0.004957880115625522,0.01066646510319777
number_of_all_respiratory_events,0.005630755744342158,0.009449136776629025
number_of_apnea_hypopnea_events,0.004180651419628565,0.008806472925889264
number_of_central_apnea_hypopnea_events,0.009489986786534694,0.01167370890393099
number_of_desaturation_events,0.004878160200117258,0.010327818789222338
number_of_obstructive_apnea_hypopnea_events,0.004434636012792728,0.009873755477559984
number_of_transitions_nrem_to_rem,0.012760424010806529,0.01258427772314552
number_of_transitions_nrem_to_wake,0.009629833910259834,0.012178873813137826
number_of_transitions_rem_to_nrem,0.012073536041695521,0.009895846176348345
number_of_transitions_rem_to_wake,0.014774208107458976,0.014108710117238318
number_of_transitions_wake_to_nrem,0.008591842004216133,0.01244560279863645
number_of_transitions_wake_to_rem,0.012036144548959644,0.01177805940487077
number_of_wakes,0.008762452234177607,0.011828694224434817
odi,0.004627713777994211,0.008085274077997006
odi_during_left,0.005623397596732068,0.011032575160058036
odi_during_non_supine,0.006158246518392493,0.011390003409567105
odi_during_nrem,0.005385233364805509,0.010841062792090714
odi_during_prone,0.006395028917575245,0.016234050540846933
odi_during_rem,0.004906425937154023,0.010430934334827523
odi_during_right,0.007951356785644204,0.013210460199581027
odi_during_supine,0.0047679585695180795,0.009354302046641295
percent_of_deep_sleep_time,0.008261831745872182,0.010750975063653296
percent_of_left_sleep,0.010470190187135566,0.013268428724082761
percent_of_light_sleep_time,0.008981967606116303,0.011725414841273755
percent_of_non_supine_sleep,0.01206772786718837,0.012294549044011439
percent_of_prone_sleep,0.016184155240727322,0.01431598670050948
percent_of_rem_sleep_time,0.010310635390535387,0.011052578419098359
percent_of_right_sleep,0.013137494785542823,0.013121939735445568
percent_of_sleep_time,0.012107841424157143,0.010879530389026395
percent_of_supine_sleep,0.012063621761983175,0.012294549031041787
percent_of_wake_time,0.01210478435929308,0.010852702973317276
rdi,0.004178322011138619,0.008454033462903314
rdi_during_left,0.006780254113947396,0.010535134673952786
rdi_during_non_supine,0.007433212319279991,0.008382114124554788
rdi_during_nrem,0.004960886505464384,0.008847817194985608
rdi_during_prone,0.010556045204207304,0.013074059134308846
rdi_during_rem,0.005053138410287773,0.009800897528508788
rdi_during_right,0.007695129435949043,0.013583572783731712
rdi_during_supine,0.004543640668988492,0.007953120480655045
rem_latency,0.01138730753794912,0.01321339633972716
saturation_below_80,0.01571466946334299,0.016934662920866143
saturation_below_85,0.01172673434311643,0.016345003765116373
saturation_below_90,0.0190865358528131,0.01588615136305622
saturation_below_or_equal_88,0.018714086518508772,0.0157754574776492
saturation_max_value,0.011541718070955736,0.011592745404190585
saturation_mean,0.004446670938410888,0.005784737367893866
saturation_min_value,0.006146081326583643,0.00884275999294631
sleep_efficiency,0.01048330003973313,0.015161019208544464
sleep_latency,0.014188007599720167,0.015327490800992308
snore_above_40db,0.010190271066127785,0.01071290058873943
snore_above_45db,0.00910500099713658,0.010485470284340952
snore_above_50db,0.010092598691463983,0.01606066048047394
snore_above_60db,0.011641656446840063,0.013834499540344653
snore_db_mean,0.010086825648187943,0.010344981523226927
time_to_transition_nrem_to_rem,0.01199927572947116,0.011464522714600417
time_to_transition_nrem_to_wake,0.011745446632383269,0.012946520192541099
time_to_transition_rem_to_nrem,0.012343153787461607,0.013397034694390164
time_to_transition_rem_to_wake,0.010402437479338209,0.014506228034331945
time_to_transition_wake_to_nrem,0.009318210503542737,0.012467703829110876
time_to_transition_wake_to_rem,0.014961154136105381,0.018133539160937094
total_arousal_sleep_time,0.013575625035242917,0.012252995408346234
total_deep_sleep_time,0.00958669945352869,0.011466915709265004
total_left_sleep_time,0.009636916003413841,0.013398735157406262
total_light_sleep_time,0.01141847574337163,0.012642302448543499
total_non_supine_sleep_time,0.012065133131306638,0.010237461216282748
total_prone_sleep_time,0.01625731993677344,0.013952243208758845
total_rem_sleep_time,0.010730247348240175,0.012710343581738712
total_right_sleep_time,0.01182796904326537,0.011338286962952833
total_sleep_time,0.01348343121627,0.012911944055776777
total_supine_sleep_time,0.012349922092197931,0.011855082427824761
total_time_in_bed,0.01384552632527352,0.012140201508753461
total_valid_apnea_central_sleep_time,0.011357316525866764,0.01302479519349601
total_valid_apnea_sleep_time,0.01507291375730555,0.011828973745666937
total_wake_time,0.008085419423496715,0.012513179386448378
total_wake_time_after_sleep_onset,0.012015048672196377,0.01169019549706537
variability_between_sleep_stage_percents,0.00905800278906679,0.010799776894453088
