,"Age, BMI & VAT",Body Composition
AHI,0.004143903413723246,0.005132076274121655
ahi_4_percent,0.00564754394489131,0.00825972761248928
ahi_central,0.008710747505506673,0.012081616887599777
ahi_central_during_nrem,0.008609459878281796,0.013302352908493728
ahi_central_during_rem,0.007622108696053452,0.015183507620150844
ahi_during_left,0.005778495432383832,0.00946303373499628
ahi_during_non_supine,0.0049007531206556165,0.007724475564108556
ahi_during_nrem,0.0037794335008397976,0.006996056775463088
ahi_during_prone,0.007400374844403008,0.010135038728346575
ahi_during_rem,0.0027804134725747695,0.005830719491475119
ahi_during_right,0.005820487703593362,0.009298116803484989
ahi_during_supine,0.003453996082519001,0.005782729252559938
ahi_obstructive,0.0038912855024500416,0.005970836868179044
ahi_obstructive_during_nrem,0.004555941152947561,0.006969728904425014
ahi_obstructive_during_rem,0.0034275657805668447,0.005425343552572884
desaturations_above_20,0.008139613971572807,0.014012285156147703
desaturations_mean_nadir,0.00747377178595423,0.01016530974906294
desaturations_of_10_20,0.011916763028114287,0.015420498880122662
desaturations_of_4_9,0.00548766854806526,0.007816403306119048
number_of_4_percent_desaturation_apnea_hypopnea_events,0.0067765205643935825,0.007745311250014461
number_of_all_respiratory_events,0.006833754026367782,0.00870311946362634
number_of_apnea_hypopnea_events,0.004977045247310538,0.006869257296332613
number_of_central_apnea_hypopnea_events,0.008327371937013038,0.011153967629497776
number_of_desaturation_events,0.006523001534910011,0.008374282928127145
number_of_obstructive_apnea_hypopnea_events,0.004173553196030053,0.005790014272793181
number_of_transitions_nrem_to_rem,0.009324503152234343,0.013775271301231492
number_of_transitions_nrem_to_wake,0.008781886780259355,0.00997243100791469
number_of_transitions_rem_to_nrem,0.010349978061754039,0.012832938584758083
number_of_transitions_rem_to_wake,0.011899307135190886,0.010861608163953988
number_of_transitions_wake_to_nrem,0.009212534972907537,0.009959867394898224
number_of_transitions_wake_to_rem,0.012398033849189093,0.016020163843824133
number_of_wakes,0.008482630405038412,0.009360023497065184
odi,0.005636133352181145,0.007653772446579703
odi_during_left,0.007197728716322744,0.011468212798603229
odi_during_non_supine,0.005214215342602608,0.007877894199359024
odi_during_nrem,0.005672677212290743,0.009892934851069415
odi_during_prone,0.00745125698171762,0.01245909210951831
odi_during_rem,0.0040945292385698205,0.009439297891750964
odi_during_right,0.006812778340807318,0.012481653262742073
odi_during_supine,0.005381098315862369,0.007454608259568524
percent_of_deep_sleep_time,0.007663112068728661,0.00945826722270729
percent_of_left_sleep,0.011142163090906551,0.013636950882988108
percent_of_light_sleep_time,0.009789924050014448,0.010290595872978982
percent_of_non_supine_sleep,0.011003094800631889,0.012743595735995152
percent_of_prone_sleep,0.013140647962638724,0.013899761588930625
percent_of_rem_sleep_time,0.01143134365887831,0.011635743559316116
percent_of_right_sleep,0.009773332350354108,0.010838856260221392
percent_of_sleep_time,0.0105307612822725,0.011466639575479139
percent_of_supine_sleep,0.01100391101749077,0.012756879737432317
percent_of_wake_time,0.010530762144560574,0.011466807602217008
rdi,0.0059849949643520075,0.0071319147958184195
rdi_during_left,0.008602664730458022,0.01130359195596974
rdi_during_non_supine,0.006926956922714272,0.010567729072377869
rdi_during_nrem,0.005156984448386895,0.009812945903651867
rdi_during_prone,0.00872274263113252,0.013542725005718707
rdi_during_rem,0.004421852251904255,0.007684381857284013
rdi_during_right,0.008531779768990194,0.01226932593750279
rdi_during_supine,0.004582638073958853,0.00815121780628209
rem_latency,0.012657064125297742,0.013741633541000962
saturation_below_80,0.00936737890224875,0.03664276473264679
saturation_below_85,0.010675785966462372,0.02991361693682296
saturation_below_90,0.01260171948225756,0.018160009628874423
saturation_below_or_equal_88,0.012119276523347563,0.020981836295196916
saturation_max_value,0.00867037417841937,0.010652692049835691
saturation_mean,0.003522035381794891,0.004652027025796589
saturation_min_value,0.005333154624138642,0.007282646674029471
sleep_efficiency,0.011252261989095862,0.010026529576071004
sleep_latency,0.010965495335254814,0.01390494950955624
snore_above_40db,0.007859914375703011,0.00933598332665664
snore_above_45db,0.007916716446001794,0.011746615039203658
snore_above_50db,0.011085313769044317,0.015718498870523016
snore_above_60db,0.01651594872660512,0.018039976057043047
snore_db_mean,0.008703933700848966,0.013344143292562864
time_to_transition_nrem_to_rem,0.011835172390735628,0.011350017518087807
time_to_transition_nrem_to_wake,0.010359610076264717,0.010390344776854497
time_to_transition_rem_to_nrem,0.010398693202780081,0.010891314171703833
time_to_transition_rem_to_wake,0.010847409400637045,0.012038236045515115
time_to_transition_wake_to_nrem,0.012740473031589941,0.013813836655063088
time_to_transition_wake_to_rem,0.014575571004989366,0.014506657926160203
total_arousal_sleep_time,0.010363408557114004,0.01551366916896682
total_deep_sleep_time,0.009679370146473442,0.012808843580287513
total_left_sleep_time,0.010043254245745443,0.014154374097509402
total_light_sleep_time,0.009231212158395,0.011124604222237228
total_non_supine_sleep_time,0.009626753592298571,0.011842574727817195
total_prone_sleep_time,0.013379016497259824,0.013745365938354168
total_rem_sleep_time,0.01168499503007538,0.010295764747220031
total_right_sleep_time,0.009593949682378831,0.010442906219112853
total_sleep_time,0.01002308105306976,0.014440103372887087
total_supine_sleep_time,0.011771656222387412,0.0117820594785327
total_time_in_bed,0.012243600456410824,0.013874056667284067
total_valid_apnea_central_sleep_time,0.010879946330463063,0.011888986081775622
total_valid_apnea_sleep_time,0.011276007439821663,0.012609561999631836
total_wake_time,0.010598652235135357,0.011687498327195752
total_wake_time_after_sleep_onset,0.01023744419308135,0.010542135877554298
variability_between_sleep_stage_percents,0.010010849181147703,0.012145790007439119
