,"Age, BMI & VAT",Bone Density
AHI,0.004030956206947989,0.006233663342623233
ahi_4_percent,0.006059631618221061,0.00902432251185328
ahi_central,0.007870241341792504,0.011139732814107212
ahi_central_during_nrem,0.008464909650223403,0.011731737055532683
ahi_central_during_rem,0.006878282189688263,0.01162009940131265
ahi_during_left,0.0047768775784811915,0.011219648655460105
ahi_during_non_supine,0.004643736677137934,0.007983902953070415
ahi_during_nrem,0.0045294115671447085,0.006820779287352414
ahi_during_prone,0.0085194211065358,0.012118636380334523
ahi_during_rem,0.00354017700188951,0.006111223905350707
ahi_during_right,0.0068725673689006995,0.009962340921353934
ahi_during_supine,0.0033700161623026735,0.0053866657958588785
ahi_obstructive,0.003507996189947471,0.006986640585182249
ahi_obstructive_during_nrem,0.0038854406866385316,0.008996847818150773
ahi_obstructive_during_rem,0.0036048526215654068,0.0073818320244758125
desaturations_above_20,0.008595129806065851,0.00927759427295511
desaturations_mean_nadir,0.007320834818608942,0.01334391451160428
desaturations_of_10_20,0.010437071548650867,0.0114865019448461
desaturations_of_4_9,0.005580196695679965,0.007278698763472305
number_of_4_percent_desaturation_apnea_hypopnea_events,0.007185825603661065,0.007103905929523106
number_of_all_respiratory_events,0.006356805409284575,0.009790896497866986
number_of_apnea_hypopnea_events,0.004809958807911165,0.006690240959761613
number_of_central_apnea_hypopnea_events,0.008537884177261016,0.011402886360042557
number_of_desaturation_events,0.006699523097257035,0.00770858768949887
number_of_obstructive_apnea_hypopnea_events,0.00352823141287728,0.007935669150365681
number_of_transitions_nrem_to_rem,0.010372558776365816,0.013312148091668962
number_of_transitions_nrem_to_wake,0.008425860057208431,0.010110418124851675
number_of_transitions_rem_to_nrem,0.012148334563445879,0.012198872150624705
number_of_transitions_rem_to_wake,0.013090480790017109,0.014343210692203475
number_of_transitions_wake_to_nrem,0.0089022012233672,0.01076509380599528
number_of_transitions_wake_to_rem,0.010306828946955303,0.011574731667322088
number_of_wakes,0.008595921480997712,0.011481440344623861
odi,0.006091257736951987,0.00786522579985317
odi_during_left,0.0076039955582839144,0.0098811527038939
odi_during_non_supine,0.00622399049539489,0.00839767147559948
odi_during_nrem,0.005190345093377647,0.009217977103665162
odi_during_prone,0.008540035599902435,0.01079670151976288
odi_during_rem,0.0038967062686742315,0.007444473135195872
odi_during_right,0.00807671152109961,0.012225189252450763
odi_during_supine,0.004706519174304756,0.007482534316436742
percent_of_deep_sleep_time,0.008989864575927844,0.01205872930742904
percent_of_left_sleep,0.010033028091683993,0.016117044719631175
percent_of_light_sleep_time,0.009534750117048473,0.012875858418392753
percent_of_non_supine_sleep,0.012186080421694055,0.013805770960654067
percent_of_prone_sleep,0.011415878892125022,0.01332745363535025
percent_of_rem_sleep_time,0.010199161305382015,0.010712041852989792
percent_of_right_sleep,0.010337606668482302,0.012642422744414924
percent_of_sleep_time,0.01141639811024798,0.013770046401091564
percent_of_supine_sleep,0.012180815909927355,0.013846624091271425
percent_of_wake_time,0.011419372496801779,0.013717912941343894
rdi,0.005072127666338243,0.009583191048959255
rdi_during_left,0.006288350254260022,0.013174103770249131
rdi_during_non_supine,0.0062555983859282575,0.01137588612135522
rdi_during_nrem,0.006517560978961779,0.009550442244812562
rdi_during_prone,0.00923720406064265,0.012612789356834509
rdi_during_rem,0.004872985364084737,0.008077609848952085
rdi_during_right,0.008796967735083854,0.011268831772018064
rdi_during_supine,0.0050088569025535,0.007985658787312614
rem_latency,0.010645594026700171,0.01194677410374088
saturation_below_80,0.0105401090278387,0.014174419286662273
saturation_below_85,0.01056472718307357,0.012219064310125835
saturation_below_90,0.012425466833545363,0.012226495265231325
saturation_below_or_equal_88,0.012215661718767114,0.01556835465005545
saturation_max_value,0.006598597877445112,0.010214783976286427
saturation_mean,0.0022763015064043222,0.005712013466350572
saturation_min_value,0.0056091317666566165,0.009111836540161544
sleep_efficiency,0.010109540801448788,0.012000623365294685
sleep_latency,0.011426331779800002,0.011859669152506662
snore_above_40db,0.007077929674270203,0.00956330613003898
snore_above_45db,0.007756200927198875,0.012133733328309922
snore_above_50db,0.009959790715990714,0.013943619173458663
snore_above_60db,0.013901661207403491,0.01689261348853833
snore_db_mean,0.0075043670329433525,0.009827783066566443
time_to_transition_nrem_to_rem,0.009392966662595495,0.012148325734101451
time_to_transition_nrem_to_wake,0.011572523625239226,0.012648258724280695
time_to_transition_rem_to_nrem,0.010340562131788788,0.01366312538571316
time_to_transition_rem_to_wake,0.011589038033100074,0.013947158311855208
time_to_transition_wake_to_nrem,0.014435738341214395,0.01087861549504392
time_to_transition_wake_to_rem,0.014431516781132353,0.01687433848897685
total_arousal_sleep_time,0.010310049248830798,0.014471811323346762
total_deep_sleep_time,0.009992728685129527,0.014268877092299393
total_left_sleep_time,0.00971235737793861,0.01539536653947461
total_light_sleep_time,0.010462672790492795,0.010102284048307498
total_non_supine_sleep_time,0.010974282618783845,0.013872982199646488
total_prone_sleep_time,0.011370757091377722,0.014929427517606777
total_rem_sleep_time,0.011077480928589756,0.01142238675267386
total_right_sleep_time,0.010083003987398186,0.01304684182846819
total_sleep_time,0.010437403088377708,0.013557227430240727
total_supine_sleep_time,0.010154049911194365,0.012634826014107889
total_time_in_bed,0.009552532280171179,0.01364690201608456
total_valid_apnea_central_sleep_time,0.014135355205656432,0.013267079102358529
total_valid_apnea_sleep_time,0.007093918733418882,0.013099130235612452
total_wake_time,0.008024972102430937,0.011460904147527736
total_wake_time_after_sleep_onset,0.011201762017054749,0.013020429422817724
variability_between_sleep_stage_percents,0.009230046682763681,0.011338730443152263
