,"Age, BMI & VAT",Bone Density
AHI,0.5171157726745124,0.5186016503929439
ahi_4_percent,0.501484886848362,0.49809873962839524
ahi_central,0.23079574128412955,0.22941906880297624
ahi_central_during_nrem,0.20799479462129655,0.20731068751492693
ahi_central_during_rem,0.2228429516215671,0.2206077540043873
ahi_during_left,0.3891019995129399,0.38851571232888776
ahi_during_non_supine,0.4473550525432153,0.45026122435628135
ahi_during_nrem,0.48349365881030837,0.4845167019295681
ahi_during_prone,0.3984088569579549,0.38922471288755395
ahi_during_rem,0.5179415384488479,0.5194600628407786
ahi_during_right,0.38157090127541415,0.3836121640085416
ahi_during_supine,0.5196169554027246,0.521814018460161
ahi_obstructive,0.5266492888499785,0.5289844395417951
ahi_obstructive_during_nrem,0.4934094450134961,0.4962979530742538
ahi_obstructive_during_rem,0.5195368172448184,0.5216389458979359
desaturations_above_20,0.1415410497437326,0.1415410497437328
desaturations_mean_nadir,0.3578151439155432,0.36124039963658744
desaturations_of_10_20,0.2694421412305057,0.2630156376650672
desaturations_of_4_9,0.5013269684268671,0.4991621834500094
number_of_4_percent_desaturation_apnea_hypopnea_events,0.4843240578835286,0.4812634258919512
number_of_all_respiratory_events,0.3958731099240269,0.39741178990784776
number_of_apnea_hypopnea_events,0.4935121127715284,0.4935403203794726
number_of_central_apnea_hypopnea_events,0.23979845820591866,0.22879185641879135
number_of_desaturation_events,0.48573195075004094,0.48242460554667943
number_of_obstructive_apnea_hypopnea_events,0.502526458859001,0.5041937901888619
number_of_transitions_nrem_to_rem,0.02229694006843835,0.021772848954471798
number_of_transitions_nrem_to_wake,0.15241476940273163,0.14343061951647545
number_of_transitions_rem_to_nrem,-0.00546235800667425,-0.0057139436222155005
number_of_transitions_rem_to_wake,-0.03345169704350305,-0.03345169704350305
number_of_transitions_wake_to_nrem,0.1641376050172339,0.1566801558490192
number_of_transitions_wake_to_rem,-0.031833888498073754,-0.031833888498073754
number_of_wakes,0.1476750034323299,0.13727894928982595
odi,0.5030830051019362,0.4985608977261302
odi_during_left,0.4184867136631021,0.4155392856458588
odi_during_non_supine,0.45877191403243645,0.4565964959986839
odi_during_nrem,0.458462257276986,0.45381325940874073
odi_during_prone,0.40622066588269423,0.3983022769875735
odi_during_rem,0.5203480905755754,0.5174446451037928
odi_during_right,0.39934382739841134,0.3955793051600476
odi_during_supine,0.5012829128644559,0.4976811216335849
percent_of_deep_sleep_time,0.23093550087055909,0.2333600168807243
percent_of_left_sleep,0.09930015952202795,0.1062677452455844
percent_of_light_sleep_time,0.19700908669426634,0.19593706879356604
percent_of_non_supine_sleep,0.15022984248487375,0.14249954846172314
percent_of_prone_sleep,-0.0300173203038295,-0.02941482732630645
percent_of_rem_sleep_time,0.1413738404486623,0.1362855135699586
percent_of_right_sleep,0.14351660955139867,0.1332298176163723
percent_of_sleep_time,0.08754320210534305,-0.03419558414728995
percent_of_supine_sleep,0.1502298424848738,0.1424995484617232
percent_of_wake_time,0.08754320210534285,-0.034195584147289904
rdi,0.4315654337000643,0.4358296053968047
rdi_during_left,0.29365387422499745,0.2911129885930481
rdi_during_non_supine,0.3402182438592195,0.3447208565772349
rdi_during_nrem,0.3922798151176758,0.3989645766186267
rdi_during_prone,0.29549616111402777,0.29433568242554176
rdi_during_rem,0.44104157044225467,0.44440211968454696
rdi_during_right,0.274970070771421,0.2760500051021786
rdi_during_supine,0.44829260465062176,0.4526846594341202
rem_latency,0.07469200923688776,0.0481199067243466
saturation_below_80,0.1283822069283156,0.10743247070923459
saturation_below_85,0.20104880795814428,0.19331906335939647
saturation_below_90,0.31194127159788226,0.3041804530468541
saturation_below_or_equal_88,0.29172328343176407,0.2865692220685901
saturation_max_value,0.0316478016218167,0.0316478016218167
saturation_mean,0.4783951604870269,0.47839546154100276
saturation_min_value,0.3897276089646273,0.3905378711673267
sleep_efficiency,0.0675522266267394,-0.033404486679870546
sleep_latency,0.019174731187895748,-0.0348983154396974
snore_above_40db,0.15549021344944955,0.1776177516060651
snore_above_45db,0.3524776918519341,0.35544784931536255
snore_above_50db,0.29243131536229783,0.292028060596198
snore_above_60db,0.16296484499508462,0.15677987242648625
snore_db_mean,0.3188418746030315,0.3187856772237283
time_to_transition_nrem_to_rem,0.026911577960399148,-0.0354050170063874
time_to_transition_nrem_to_wake,0.09949712522586204,0.07627083537034725
time_to_transition_rem_to_nrem,0.14904891597915254,0.13900164421070477
time_to_transition_rem_to_wake,0.02898987778838085,-0.03758784726726955
time_to_transition_wake_to_nrem,0.2066319687701776,0.19878080146367744
time_to_transition_wake_to_rem,0.11039896874846455,0.08953018100212046
total_arousal_sleep_time,0.05870043815664755,0.039338100829917746
total_deep_sleep_time,0.20918082802309906,0.20118925741543037
total_left_sleep_time,0.10750824673642355,0.09584353845139515
total_light_sleep_time,0.14470207963410514,0.13232617920678055
total_non_supine_sleep_time,0.1544509036396297,0.16012076275923734
total_prone_sleep_time,-0.00435974016710005,0.0615580699650724
total_rem_sleep_time,0.1111021989129428,0.09812434771275319
total_right_sleep_time,0.15232740729431038,0.14228196188910705
total_sleep_time,0.057434004524071,0.036450716948844594
total_supine_sleep_time,0.12489760207706044,0.10376731181391699
total_time_in_bed,0.054783032607062396,0.04143410605513115
total_valid_apnea_central_sleep_time,0.06539015455231059,0.02934477979642405
total_valid_apnea_sleep_time,0.0764144533750411,0.03974892226700905
total_wake_time,0.09341498286158505,0.0689521815293352
total_wake_time_after_sleep_onset,0.10495703085147584,0.07820056310229334
variability_between_sleep_stage_percents,0.20306425477201578,0.20660998114589418
