,"Age, BMI & VAT",Bone Density
AHI,0.0009958289898853508,0.002099993478553842
ahi_4_percent,0.0013689296036855168,0.0023661504200646758
ahi_central,0.0037758217622609926,0.0038745149477352673
ahi_central_during_nrem,0.0036195684019983973,0.0037319782495389598
ahi_central_during_rem,0.0036806403806560134,0.0037894881747316663
ahi_during_left,0.0015151019847927615,0.0037503084548054107
ahi_during_non_supine,0.001555762879102506,0.0028011154932615374
ahi_during_nrem,0.0014029333083873518,0.0026624217439907053
ahi_during_prone,0.0019301218203326238,0.002479441969902769
ahi_during_rem,0.0009978754813354596,0.0025986294280437197
ahi_during_right,0.0019935877383065585,0.0034997479684718185
ahi_during_supine,0.00108338317268241,0.0018852502889855794
ahi_obstructive,0.001053616165995845,0.0019979883689438633
ahi_obstructive_during_nrem,0.0010101544031159734,0.0026465673342916394
ahi_obstructive_during_rem,0.0007931224848351067,0.0022315527760993605
desaturations_above_20,0.013220661694778197,0.013220655778583723
desaturations_mean_nadir,0.0021239877319412215,0.0023056916050111565
desaturations_of_10_20,0.004758646673227207,0.007879638048210869
desaturations_of_4_9,0.0014608495352711219,0.001576598193164236
number_of_4_percent_desaturation_apnea_hypopnea_events,0.0015178064280944677,0.0019673488949867196
number_of_all_respiratory_events,0.001537221595885252,0.0025807726341533954
number_of_apnea_hypopnea_events,0.0011580124446375394,0.0018887426604661274
number_of_central_apnea_hypopnea_events,0.003244955243613807,0.005600816356294913
number_of_desaturation_events,0.0017139370686632136,0.0019911506529560505
number_of_obstructive_apnea_hypopnea_events,0.0012612320815881563,0.0017398161025164824
number_of_transitions_nrem_to_rem,0.019073877618809486,0.01873411263225583
number_of_transitions_nrem_to_wake,0.004189991648210131,0.0053065148736010405
number_of_transitions_rem_to_nrem,0.01802047440227069,0.017844244621028522
number_of_transitions_rem_to_wake,0.012539438927874869,0.012539438927874869
number_of_transitions_wake_to_nrem,0.003737871188904438,0.004347332301594566
number_of_transitions_wake_to_rem,0.012082264126945207,0.012082264126945207
number_of_wakes,0.004598342936732908,0.00640096135558101
odi,0.0015616289201032876,0.002265628854093022
odi_during_left,0.0022224384500261194,0.0030595482349217934
odi_during_non_supine,0.001804266530626717,0.002596598079195167
odi_during_nrem,0.0020312732739612717,0.0025495876660824044
odi_during_prone,0.0025051201126760863,0.004983309475692218
odi_during_rem,0.0012878291400782644,0.0024136456212018997
odi_during_right,0.0030022445841396523,0.0037241962326015096
odi_during_supine,0.00134695360767672,0.002128297370127858
percent_of_deep_sleep_time,0.0019603534744067974,0.003407384028083074
percent_of_left_sleep,0.006075588038968512,0.009719708430669723
percent_of_light_sleep_time,0.002377868621365975,0.005143690690050665
percent_of_non_supine_sleep,0.004556657651827537,0.008539073555174926
percent_of_prone_sleep,0.012235061294835894,0.01228533254304991
percent_of_rem_sleep_time,0.003642544821792868,0.006241093744937748
percent_of_right_sleep,0.0043196808130109635,0.009185770243445579
percent_of_sleep_time,0.006165408061828803,0.011559767917631605
percent_of_supine_sleep,0.004556657651827552,0.008539073555174932
percent_of_wake_time,0.006165408061828958,0.011559767917631589
rdi,0.0012321401342247603,0.0025051305806401553
rdi_during_left,0.00166083163015303,0.00463917326286403
rdi_during_non_supine,0.0018877630248515704,0.003922116632294339
rdi_during_nrem,0.0016607409115694074,0.003072371009756965
rdi_during_prone,0.0028122539144420453,0.002938760603590331
rdi_during_rem,0.0010205027194049275,0.003304734871216224
rdi_during_right,0.0025922408535648694,0.004400823088825257
rdi_during_supine,0.0012518444528728204,0.0024409406574704053
rem_latency,0.006619149394683407,0.008933149592278077
saturation_below_80,0.006819433485734766,0.00658384108059711
saturation_below_85,0.004656151680308085,0.005871096497348297
saturation_below_90,0.004461804365193228,0.005110539666049973
saturation_below_or_equal_88,0.004333248189190121,0.00526609351718509
saturation_max_value,0.026568333126661747,0.026568333126661747
saturation_mean,0.0014737201571228382,0.0014737627910098388
saturation_min_value,0.001789668228962526,0.0025560768565837094
sleep_efficiency,0.007574327026355973,0.013271528717736947
sleep_latency,0.01228095503283258,0.013999756583939198
snore_above_40db,0.0030551071195064772,0.007646399001834646
snore_above_45db,0.002389664048412992,0.0028971177122679302
snore_above_50db,0.0029791696924798953,0.0030225072084505626
snore_above_60db,0.005917415866844112,0.007267028189563178
snore_db_mean,0.002799302838050608,0.002808355353364905
time_to_transition_nrem_to_rem,0.010759212251034714,0.014055509803176772
time_to_transition_nrem_to_wake,0.005354528106821242,0.012175095034092748
time_to_transition_rem_to_nrem,0.003618740976277958,0.00520432330695427
time_to_transition_rem_to_wake,0.01120951666915634,0.013753551390114704
time_to_transition_wake_to_nrem,0.0019654379310243704,0.003638002301443085
time_to_transition_wake_to_rem,0.0060224349563728595,0.010323508488575203
total_arousal_sleep_time,0.006743691960488967,0.011855179488696972
total_deep_sleep_time,0.0023707929916704125,0.005567305944626309
