,"Age, BMI & VAT",Diet
AHI,0.4874550147992299,0.42706432620223567
ahi_4_percent,0.47666013873393565,0.409669601084615
ahi_central,0.17072097773866615,0.1050625614012609
ahi_central_during_nrem,0.13781060296151484,0.087474317352104
ahi_central_during_rem,0.16494101634109765,0.11212187313744915
ahi_during_left,0.3586000705116603,0.2962603765586391
ahi_during_non_supine,0.4297491985530499,0.3727386267482831
ahi_during_nrem,0.45141839852733456,0.39469641672076483
ahi_during_prone,0.35232244943302155,0.28990494982779347
ahi_during_rem,0.4935754949452758,0.447747274640724
ahi_during_right,0.3417386073445057,0.2899295745199879
ahi_during_supine,0.4835187320541853,0.4329229733154555
ahi_obstructive,0.49737623554665034,0.4388416705462015
ahi_obstructive_during_nrem,0.46138136570523325,0.4053060212409043
ahi_obstructive_during_rem,0.4943256096589987,0.4542547889439875
desaturations_above_20,0.15252736069134695,0.08609882135741034
desaturations_mean_nadir,0.3438625496027192,0.26927574361352463
desaturations_of_10_20,0.25619817591266875,0.19144968690266645
desaturations_of_4_9,0.474751299075528,0.4130914040273651
number_of_4_percent_desaturation_apnea_hypopnea_events,0.4575350185350544,0.39107678764501724
number_of_all_respiratory_events,0.3554251096602173,0.29005579816998917
number_of_apnea_hypopnea_events,0.4619538779599567,0.3983798658613805
number_of_central_apnea_hypopnea_events,0.1764014870075383,0.10317653820284925
number_of_desaturation_events,0.4630940880576912,0.3960267576176192
number_of_obstructive_apnea_hypopnea_events,0.4687763495560927,0.40605699474735074
number_of_transitions_nrem_to_rem,0.033339001863817594,0.08744416093443125
number_of_transitions_nrem_to_wake,0.10447937226739035,0.05429339721388955
number_of_transitions_rem_to_nrem,0.03529210783758545,0.0465022399504923
number_of_transitions_rem_to_wake,0.01009829255012755,0.017987533757132253
number_of_transitions_wake_to_nrem,0.110229909115715,0.057557307511191855
number_of_transitions_wake_to_rem,0.0600549509823608,0.0605506638539661
number_of_wakes,0.09815044174115176,0.057186288702399
odi,0.4812766295648508,0.41543781013511705
odi_during_left,0.4148069586677555,0.3610049152525092
odi_during_non_supine,0.46369955710192706,0.3954503165014053
odi_during_nrem,0.4308851533929436,0.3765135235702122
odi_during_prone,0.37547933770689357,0.3095770441485549
odi_during_rem,0.4985582485533401,0.43675645879882496
odi_during_right,0.3861445211409874,0.3227404755109814
odi_during_supine,0.46608363267006375,0.4110009397998795
percent_of_deep_sleep_time,0.17836955256628445,0.155852468681209
percent_of_left_sleep,0.049100302396343054,0.0412628045197869
percent_of_light_sleep_time,0.15085391514763835,0.1088423755803691
percent_of_non_supine_sleep,0.1001644117574698,0.05424004233566245
percent_of_prone_sleep,0.02684943495934515,0.0278530168966479
percent_of_rem_sleep_time,0.0929148025912459,0.0735165887323668
percent_of_right_sleep,0.08399854994926105,0.0728974359789426
percent_of_sleep_time,0.058791522626416653,0.0309080815595555
percent_of_supine_sleep,0.1001644121711482,0.054240041370775996
percent_of_wake_time,0.0587915234675465,0.0309080776733844
rdi,0.3977472443977441,0.32889992721654393
rdi_during_left,0.2547426527061911,0.19406699756228324
rdi_during_non_supine,0.31574625227632575,0.2616518597078218
rdi_during_nrem,0.3530817478847146,0.29348149188374745
rdi_during_prone,0.21805945714759356,0.1961204323531392
rdi_during_rem,0.4101034173652039,0.34980518494800816
rdi_during_right,0.23040271368915305,0.18367720051653255
rdi_during_supine,0.4048173462355886,0.3450020919295742
rem_latency,0.06945210672408511,0.028988328258196153
saturation_below_80,0.1367346366348388,0.07892229291273245
saturation_below_85,0.21479173233344115,0.14990633364999595
saturation_below_90,0.3296692136693085,0.2631504450304666
saturation_below_or_equal_88,0.3325564882171301,0.24411992021507378
saturation_max_value,0.0833362637676904,0.11553535671163485
saturation_mean,0.4575235846586413,0.422507646897046
saturation_min_value,0.3642378041054385,0.2665038907587486
sleep_efficiency,0.04038986085340915,0.0457746157125345
sleep_latency,0.046672615846251,0.0272187698989797
snore_above_40db,0.101260740526285,0.0789415291563305
snore_above_45db,0.3091587730714339,0.2872596149249609
snore_above_50db,0.23428962872853676,0.2169188601302913
snore_above_60db,0.11797455710290185,0.10093415915830589
snore_db_mean,0.26956509196112505,0.22121077136327139
time_to_transition_nrem_to_rem,0.0176030496036635,0.02315845497777435
time_to_transition_nrem_to_wake,0.05441021771894235,0.0063494008678842
time_to_transition_rem_to_nrem,0.0810923088784595,0.065018476627315
time_to_transition_rem_to_wake,0.0592424009847628,-0.0409716672907839
time_to_transition_wake_to_nrem,0.14445744944887165,0.0955429204384796
time_to_transition_wake_to_rem,0.047525194865895,0.042218638467504954
total_arousal_sleep_time,-0.0358969589398766,0.084517065376429
total_deep_sleep_time,0.1528963575643322,0.1258997491048484
total_left_sleep_time,0.05752007516308965,0.0612915703963127
total_light_sleep_time,0.07453810045912826,0.08345312610634109
total_non_supine_sleep_time,0.10225904728274765,0.0726168400007466
total_prone_sleep_time,0.0234469681693933,0.0217401160835782
total_rem_sleep_time,0.047996692786105855,0.061039497998029046
total_right_sleep_time,0.0900193626444719,0.0805964458537992
total_sleep_time,-0.035773138838537,0.08264735541821455
total_supine_sleep_time,0.08268317470940745,0.040404668377321054
total_time_in_bed,-0.030161586202251497,0.0862199797607908
total_valid_apnea_central_sleep_time,-0.01284796977496125,0.0766390223291748
total_valid_apnea_sleep_time,-0.004874409754994501,0.08809157409380991
total_wake_time,0.04420435253049999,0.04328811757016355
total_wake_time_after_sleep_onset,0.0721726265240761,0.0400897100009692
variability_between_sleep_stage_percents,0.15865112716071425,0.11808745791157965
