,"Age, BMI & VAT",Diet
AHI,0.003974578434454493,0.0062476572618096
ahi_4_percent,0.00492128798427699,0.007878568270877597
ahi_central,0.00954102816169651,0.009264099311821043
ahi_central_during_nrem,0.008799686814920738,0.012499341719339996
ahi_central_during_rem,0.009108960264080115,0.00944356092922781
ahi_during_left,0.007274694026301306,0.011105388599629708
ahi_during_non_supine,0.0048871583106840635,0.008833589795435417
ahi_during_nrem,0.004760882823198173,0.006843528334747303
ahi_during_prone,0.00853404393264924,0.012270051423441666
ahi_during_rem,0.004043257030852319,0.007738239201415641
ahi_during_right,0.005809711594423448,0.009688167555116055
ahi_during_supine,0.0041964666166418975,0.007198670840108903
ahi_obstructive,0.005027235829655818,0.00778046388283197
ahi_obstructive_during_nrem,0.005141614172048503,0.007342897465337058
ahi_obstructive_during_rem,0.004609678246270693,0.005614946909334004
desaturations_above_20,0.01424349352628285,0.012019172229168533
desaturations_mean_nadir,0.008558245860451438,0.007997419026101281
desaturations_of_10_20,0.006816213663206256,0.011384688659176237
desaturations_of_4_9,0.004750794098477436,0.009418650394529268
number_of_4_percent_desaturation_apnea_hypopnea_events,0.004811107806106099,0.008539935675881741
number_of_all_respiratory_events,0.005429840537258434,0.009063391446968968
number_of_apnea_hypopnea_events,0.0042647250588797045,0.00670833274470043
number_of_central_apnea_hypopnea_events,0.009943554517983294,0.009653009937713003
number_of_desaturation_events,0.004856815683459423,0.009120294296350407
number_of_obstructive_apnea_hypopnea_events,0.004669380350848781,0.007675168150420457
number_of_transitions_nrem_to_rem,0.012372505497750985,0.012701077760986694
number_of_transitions_nrem_to_wake,0.009592342778039803,0.014592952013738163
number_of_transitions_rem_to_nrem,0.01038731553218903,0.011917464363189547
number_of_transitions_rem_to_wake,0.009388242491018972,0.012094209967775845
number_of_transitions_wake_to_nrem,0.010091912500409693,0.014910643000422993
number_of_transitions_wake_to_rem,0.010337413275789215,0.012460585968089266
number_of_wakes,0.008127886023831727,0.015022887916065753
odi,0.004892565003332601,0.008840660660800822
odi_during_left,0.0053811290627995695,0.009147256624950964
odi_during_non_supine,0.006097690735323355,0.009602928294044372
odi_during_nrem,0.00604158047290868,0.009493870929983704
odi_during_prone,0.00827739227199412,0.01220245328012556
odi_during_rem,0.005160408076721985,0.007007011168548087
odi_during_right,0.007442477285144634,0.010748935490160615
odi_during_supine,0.005581305600593007,0.007015457252602047
percent_of_deep_sleep_time,0.0070745975729211395,0.012656644206981236
percent_of_left_sleep,0.011112301728633728,0.014135019321631219
percent_of_light_sleep_time,0.009135487313714625,0.012696455515973029
percent_of_non_supine_sleep,0.010659388413973445,0.013138351738007571
percent_of_prone_sleep,0.013722326606756517,0.012978408847524228
percent_of_rem_sleep_time,0.010671481637870992,0.013388103843753251
percent_of_right_sleep,0.009474184435766145,0.015104264041822175
percent_of_sleep_time,0.010269831072565488,0.011702928607889997
percent_of_supine_sleep,0.010657546683678283,0.013138351724382052
percent_of_wake_time,0.01025904675352768,0.01167677241989902
rdi,0.0042336321097399,0.007376894696612002
rdi_during_left,0.010287428456693398,0.012426318174994525
rdi_during_non_supine,0.006326077928123505,0.008777664702782045
rdi_during_nrem,0.005616988870320318,0.008594867623163714
rdi_during_prone,0.010645608369600405,0.013159802717332308
rdi_during_rem,0.005437355744643629,0.008373487445884089
rdi_during_right,0.007347100544231153,0.011198769413293891
rdi_during_supine,0.00485773776244904,0.008852691106269123
rem_latency,0.011136777435763742,0.013338249253931272
saturation_below_80,0.015044897397890021,0.014206348640182652
saturation_below_85,0.010473428314563635,0.013664176051246348
saturation_below_90,0.008332780281901231,0.011810225535391912
saturation_below_or_equal_88,0.023899376211662368,0.011693507784795117
saturation_max_value,0.01027503190055884,0.010561132386823381
saturation_mean,0.004532983186419646,0.00719133195659378
saturation_min_value,0.005276638063820169,0.008579318534623829
sleep_efficiency,0.010547986736756417,0.01348822203277305
sleep_latency,0.013140105361885717,0.012114664876942358
snore_above_40db,0.011283838615486258,0.010369804081105714
snore_above_45db,0.007513127449287697,0.010924885054981067
snore_above_50db,0.008701387081390002,0.014601981649141569
snore_above_60db,0.010055279653974611,0.010264046943789452
snore_db_mean,0.006887451460685087,0.00970219578767551
time_to_transition_nrem_to_rem,0.013658566452871815,0.010894256671060113
time_to_transition_nrem_to_wake,0.01409034528169827,0.01184665875731267
time_to_transition_rem_to_nrem,0.010721784065480322,0.01344036099263812
time_to_transition_rem_to_wake,0.01093419969774951,0.012006444243730782
time_to_transition_wake_to_nrem,0.011181168865618084,0.013407154573064128
time_to_transition_wake_to_rem,0.01577662539742376,0.016814785360890233
total_arousal_sleep_time,0.011374981747570826,0.011424038605744693
total_deep_sleep_time,0.00818086540129858,0.011030486634249409
total_left_sleep_time,0.011766489575492582,0.014359025889450065
total_light_sleep_time,0.013705181419553283,0.012863433407872561
total_non_supine_sleep_time,0.009882141827459551,0.011841301045435328
total_prone_sleep_time,0.013811919586897313,0.013527486944040235
total_rem_sleep_time,0.011811905178739498,0.013545743579672635
total_right_sleep_time,0.00859649365912289,0.01478285499950408
total_sleep_time,0.01140550438506497,0.010104847681910794
total_supine_sleep_time,0.011300759353269962,0.011607665224118494
total_time_in_bed,0.013451725046442268,0.013176075480936562
total_valid_apnea_central_sleep_time,0.011593446651579568,0.011192409924396025
total_valid_apnea_sleep_time,0.012018297738624556,0.010979064471964872
total_wake_time,0.010040634560914277,0.012444624383831189
total_wake_time_after_sleep_onset,0.011870431658810503,0.012477716282479118
variability_between_sleep_stage_percents,0.009187607190929046,0.011370027266393695
