,"Age, BMI & VAT",Diet
AHI,0.0037804255841225633,0.005744559178289594
ahi_4_percent,0.005148642820322087,0.00812042231147157
ahi_central,0.008554436727299795,0.011084624091086882
ahi_central_during_nrem,0.00799096292227601,0.012626345879051148
ahi_central_during_rem,0.009135011478403817,0.012499587934472213
ahi_during_left,0.005068901235241413,0.009207036608710766
ahi_during_non_supine,0.004747130852471589,0.007574462709713162
ahi_during_nrem,0.004135248626730866,0.00761436685482623
ahi_during_prone,0.006003357774566871,0.010448299556630677
ahi_during_rem,0.0029265575447312816,0.005426899070018856
ahi_during_right,0.004976017409250781,0.007955388775158273
ahi_during_supine,0.003653177765861457,0.006401851435931577
ahi_obstructive,0.0045776524406891134,0.006641332779371423
ahi_obstructive_during_nrem,0.004364766891843658,0.006890810915454466
ahi_obstructive_during_rem,0.0032072253705632044,0.005967144917420777
desaturations_above_20,0.007042008233351658,0.01604211774467295
desaturations_mean_nadir,0.009830401509818773,0.00972167417567623
desaturations_of_10_20,0.01030459754021418,0.011310438823130537
desaturations_of_4_9,0.004913703865016482,0.008183207575287494
number_of_4_percent_desaturation_apnea_hypopnea_events,0.006243567728049431,0.00792644327092738
number_of_all_respiratory_events,0.005783451009228295,0.00870303436245781
number_of_apnea_hypopnea_events,0.0044971129399847985,0.007217894548868619
number_of_central_apnea_hypopnea_events,0.009233188973680551,0.01020345759470975
number_of_desaturation_events,0.005784562235972358,0.007975903048121773
number_of_obstructive_apnea_hypopnea_events,0.00439763680261959,0.007164435416681229
number_of_transitions_nrem_to_rem,0.012515588424908547,0.009865699038336525
number_of_transitions_nrem_to_wake,0.008567964440922187,0.009773226974626573
number_of_transitions_rem_to_nrem,0.0126504423708009,0.012221730047167525
number_of_transitions_rem_to_wake,0.01081112370281894,0.01045152343660554
number_of_transitions_wake_to_nrem,0.008948333583385107,0.009328380675374403
number_of_transitions_wake_to_rem,0.01215727899042586,0.013527207154816104
number_of_wakes,0.008785179275520845,0.011210608468373318
odi,0.005326777599907003,0.008041668422149284
odi_during_left,0.007314234601017126,0.009998009540997872
odi_during_non_supine,0.006204629121145186,0.010497375624215835
odi_during_nrem,0.005343756017630733,0.008430898353434557
odi_during_prone,0.007564316473475712,0.010990922242811405
odi_during_rem,0.003907179547006822,0.0071895764625969595
odi_during_right,0.007302223372929226,0.010456135954398676
odi_during_supine,0.00620841113433129,0.00685026443539993
percent_of_deep_sleep_time,0.008739612903859316,0.012369413597197579
percent_of_left_sleep,0.01259399078801814,0.011807688444254647
percent_of_light_sleep_time,0.011355572709292902,0.010160291912966248
percent_of_non_supine_sleep,0.010421164749185207,0.01161677428392864
percent_of_prone_sleep,0.011860170701069065,0.013194692406187687
percent_of_rem_sleep_time,0.01327208398039714,0.011183401276737647
percent_of_right_sleep,0.0117773947274018,0.01282312889949485
percent_of_sleep_time,0.0107347051032056,0.011184514094507783
percent_of_supine_sleep,0.010413334319986645,0.011616774381055066
percent_of_wake_time,0.010837568529303255,0.011184513238048052
rdi,0.004811729763863995,0.007649610682578255
rdi_during_left,0.007006708119865702,0.01222319584457307
rdi_during_non_supine,0.007303865723742373,0.009876316044409706
rdi_during_nrem,0.004650757773865483,0.008648977808149334
rdi_during_prone,0.008274943707965663,0.01133380605509857
rdi_during_rem,0.004121310091928095,0.006469814570827802
rdi_during_right,0.006383453504395747,0.010093141819244783
rdi_during_supine,0.005004847333855414,0.007893138342167637
rem_latency,0.014673389776194444,0.012915778281410738
saturation_below_80,0.010192183403773558,0.013941958079735004
saturation_below_85,0.009496774679558024,0.014359708171699338
saturation_below_90,0.011625086455259583,0.01477101037052942
saturation_below_or_equal_88,0.011706849510808841,0.015837859051965355
saturation_max_value,0.009072799985644591,0.008901526129010956
saturation_mean,0.0034134133971914717,0.006017506490836966
saturation_min_value,0.006167618633827245,0.007117263125219151
sleep_efficiency,0.010417094626196555,0.011839385744139834
sleep_latency,0.011278450385522113,0.013648394348552511
snore_above_40db,0.008013296659872784,0.01223091280277907
snore_above_45db,0.0070282568314987024,0.01179092781363476
snore_above_50db,0.009246220196205681,0.011951503156551819
snore_above_60db,0.010642624388740479,0.013239638652717933
snore_db_mean,0.008537033467392992,0.008302186710429309
time_to_transition_nrem_to_rem,0.011248979545694308,0.012982198544267035
time_to_transition_nrem_to_wake,0.012475113305646287,0.012975388723240886
time_to_transition_rem_to_nrem,0.008893097813327528,0.011728834760502738
time_to_transition_rem_to_wake,0.012552971742725155,0.012749010536720002
time_to_transition_wake_to_nrem,0.012671351619223932,0.011334227705391152
time_to_transition_wake_to_rem,0.013081269510936192,0.015536463091458936
total_arousal_sleep_time,0.012760191075870283,0.011872825946210669
total_deep_sleep_time,0.010609641088082192,0.01093328763747762
total_left_sleep_time,0.012812359854987097,0.01071915953486122
total_light_sleep_time,0.010790036863740192,0.01256898098085796
total_non_supine_sleep_time,0.010681083902315336,0.013121994280366055
total_prone_sleep_time,0.012346745194185518,0.014262042547577672
total_rem_sleep_time,0.013247277952993483,0.012114939203538174
total_right_sleep_time,0.011496192507977013,0.011509472767309984
total_sleep_time,0.012466994119792064,0.011806917030473563
total_supine_sleep_time,0.011389766329489463,0.01261739029669616
total_time_in_bed,0.01114069666604509,0.013870486126202893
total_valid_apnea_central_sleep_time,0.009961999517991213,0.012750764868929142
total_valid_apnea_sleep_time,0.01197500524373364,0.011501744832926613
total_wake_time,0.009691448243485496,0.01165692903271384
total_wake_time_after_sleep_onset,0.012402823026262796,0.012598177982968476
variability_between_sleep_stage_percents,0.01098592490255331,0.011204602091210578
