,"Age, BMI & VAT",Diet
AHI,0.001286288096543986,0.00177568173798974
ahi_4_percent,0.0015231593626035243,0.003410298500479047
ahi_central,0.004188475251557144,0.004188475251557144
ahi_central_during_nrem,0.004191960137773725,0.004191960137773749
ahi_central_during_rem,0.005576234236603534,0.005575012553319271
ahi_during_left,0.0015395090759377904,0.002530472862790498
ahi_during_non_supine,0.0011344623444481145,0.004332413522416788
ahi_during_nrem,0.0012280060457957914,0.0038374252901328103
ahi_during_prone,0.0017851319579074625,0.002806641022312686
ahi_during_rem,0.0006913024356844918,0.0008859928352469914
ahi_during_right,0.001808000079922344,0.00311576461365545
ahi_during_supine,0.0007946783922443613,0.0010405507863486462
ahi_obstructive,0.001050335836965899,0.003932085455577824
ahi_obstructive_during_nrem,0.001234655409005896,0.004843317588629586
ahi_obstructive_during_rem,0.0007285494344037502,0.0009308838246633391
desaturations_above_20,0.006581677367368537,0.006581677367368541
desaturations_mean_nadir,0.0028094436815914014,0.0029529324773321874
desaturations_of_10_20,0.004482464310048563,0.010814614485585523
desaturations_of_4_9,0.0012310372539046956,0.0016678922429362272
number_of_4_percent_desaturation_apnea_hypopnea_events,0.0014507430326695196,0.002403603191711895
number_of_all_respiratory_events,0.0015530224275058303,0.003917167309246254
number_of_apnea_hypopnea_events,0.0012546141318857014,0.002679803575345515
number_of_central_apnea_hypopnea_events,0.002222101434383027,0.005958374473750063
number_of_desaturation_events,0.0013953633362107894,0.002136012709185242
number_of_obstructive_apnea_hypopnea_events,0.0010354769790661697,0.0026994601043403388
number_of_transitions_nrem_to_rem,0.013034561480954714,0.012958144291630723
number_of_transitions_nrem_to_wake,0.002244183454407216,0.004555934962856654
number_of_transitions_rem_to_nrem,0.014770892884992845,0.01463916833220506
number_of_transitions_rem_to_wake,0.013817358865103047,0.013817358865103047
number_of_transitions_wake_to_nrem,0.0026259714456795904,0.00482790035609841
number_of_transitions_wake_to_rem,0.012105851513436927,0.012105851513436927
number_of_wakes,0.004158712154873243,0.007684525709076136
odi,0.001454739410118354,0.0033239997820236045
odi_during_left,0.0028389825804985337,0.005073946174542027
odi_during_non_supine,0.001958244373190871,0.004269764684062348
odi_during_nrem,0.002034285633815127,0.003984070671913998
odi_during_prone,0.003435946879773617,0.007191722377542731
odi_during_rem,0.001094557852819291,0.0032296607056815194
odi_during_right,0.0030435499607684865,0.005791921437800467
odi_during_supine,0.0011929942585252949,0.0037335650932977978
percent_of_deep_sleep_time,0.0024525921607884706,0.009541184122401717
percent_of_left_sleep,0.0046204687776323335,0.01043732837055628
percent_of_light_sleep_time,0.0028034158536834994,0.010781521391689372
percent_of_non_supine_sleep,0.004434794255173302,0.012199068343490334
percent_of_prone_sleep,0.01227900570029578,0.012279005700295784
percent_of_rem_sleep_time,0.004128909222011088,0.010933774026284265
percent_of_right_sleep,0.00539492427042931,0.017075037539102677
percent_of_sleep_time,0.004550561767628791,0.013410808545393985
percent_of_supine_sleep,0.0044347942551733,0.012199068343490351
percent_of_wake_time,0.004550561767628599,0.01341080854539398
rdi,0.001681254409880003,0.004072083248715474
rdi_during_left,0.0022569194870527866,0.003727193912950845
rdi_during_non_supine,0.0015788836655465995,0.0066169827571662355
rdi_during_nrem,0.0016770771538220568,0.0029955781149530714
rdi_during_prone,0.0026647979745356445,0.004559153977548397
