,"Age, BMI & VAT",Frailty
sleep_efficiency,0.04800017782540505,0.09203564528732641
percent_of_wake_time,0.06278215409140075,0.10143434117472315
percent_of_sleep_time,0.06278216101419795,0.10143434680855395
total_wake_time,0.06921454847902025,0.1018028209832728
total_wake_time_after_sleep_onset,0.06910911488187305,0.10121790932207536
saturation_below_80,0.062270210809687754,0.09407373294944335
time_to_transition_nrem_to_rem,0.02345530468248775,0.05107431524250255
saturation_below_85,0.0882009795749462,0.11477254990644781
time_to_transition_rem_to_wake,0.036037771963962295,0.056821581004608504
number_of_transitions_wake_to_rem,0.01745948540561555,0.03572321057161665
total_valid_apnea_central_sleep_time,0.0549655194834748,0.07032434143633709
number_of_transitions_rem_to_wake,0.0251976361062776,0.03638650379562405
number_of_transitions_wake_to_nrem,0.15963380273461242,0.16856631703757805
number_of_wakes,0.14125854729361564,0.14920704871794635
time_to_transition_nrem_to_wake,0.0846295333949758,0.0918969555514089
