,"Age, BMI & VAT",Frailty
AHI,0.004025131212618323,0.005454931109623092
ahi_4_percent,0.004790644108883258,0.006326288268234063
ahi_central,0.006851225534968325,0.010284656469133126
ahi_central_during_nrem,0.009835601266271561,0.01172884614567964
ahi_central_during_rem,0.009776233920781318,0.010450591294737297
ahi_during_left,0.00656992287989133,0.007583870920685163
ahi_during_non_supine,0.005353161999703792,0.005910444206113699
ahi_during_nrem,0.00519932458610717,0.0054553692356989186
ahi_during_prone,0.008370713900156599,0.009607599374946178
ahi_during_rem,0.003941884142491902,0.0061238615848858615
ahi_during_right,0.0067238203446733915,0.009584786640912559
ahi_during_supine,0.003860963282317263,0.005432438191748292
ahi_obstructive,0.004198400059331292,0.005967363063341813
ahi_obstructive_during_nrem,0.005180505023897428,0.006251651897324311
ahi_obstructive_during_rem,0.00398430235212794,0.0053997108434347295
desaturations_above_20,0.010394349236653527,0.011412212662239322
desaturations_mean_nadir,0.00522143384164846,0.007187970430807969
desaturations_of_10_20,0.009742247400074403,0.009174942775707665
desaturations_of_4_9,0.004546449580687361,0.006503890056393013
number_of_4_percent_desaturation_apnea_hypopnea_events,0.005246179203848726,0.006578205010270982
number_of_all_respiratory_events,0.00589821695160303,0.007016876936524363
number_of_apnea_hypopnea_events,0.004453248614750864,0.005994862133564017
number_of_central_apnea_hypopnea_events,0.006298967107359941,0.010480257383215627
number_of_desaturation_events,0.005192444892895396,0.007589703188307326
number_of_obstructive_apnea_hypopnea_events,0.004104187245240796,0.007048921524228275
number_of_transitions_nrem_to_rem,0.011518961453568085,0.011040372835013464
number_of_transitions_nrem_to_wake,0.0084550286012722,0.012136309604482224
number_of_transitions_rem_to_nrem,0.01070547005847727,0.01143696287736827
number_of_transitions_rem_to_wake,0.012912402375342424,0.013795543288690084
number_of_transitions_wake_to_nrem,0.008730565633928739,0.01239877024341601
number_of_transitions_wake_to_rem,0.008759444201063334,0.01183292189208591
number_of_wakes,0.010156242304210437,0.011704182636473428
odi,0.004884435114482291,0.006404403148057094
odi_during_left,0.006462677998515838,0.008491087140684184
odi_during_non_supine,0.005437359911023745,0.007331713120645719
odi_during_nrem,0.005470279272238987,0.0063487384279797485
odi_during_prone,0.007369928198468863,0.009358540869453888
odi_during_rem,0.0043091218165667725,0.005822333772482727
odi_during_right,0.006961656805047777,0.008970912980107928
odi_during_supine,0.004749747027849374,0.005577768547050926
percent_of_deep_sleep_time,0.009272077144037796,0.008922084694394835
percent_of_left_sleep,0.012365893732329327,0.011982753679901176
percent_of_light_sleep_time,0.00947695955937276,0.010953014435067888
percent_of_non_supine_sleep,0.009904237161284682,0.012426153034593454
percent_of_prone_sleep,0.014170923578419042,0.013874916532481772
percent_of_rem_sleep_time,0.010130011600014543,0.011011902156131412
percent_of_right_sleep,0.011318790987309034,0.013646514131789899
percent_of_sleep_time,0.009324501663362999,0.014001250391541025
percent_of_supine_sleep,0.009910748540278173,0.012426153114829707
percent_of_wake_time,0.009326350101523218,0.01400875085347754
rdi,0.005138240685593488,0.006457499562387285
rdi_during_left,0.008192541852758087,0.010751094846550378
rdi_during_non_supine,0.007156149534626514,0.008419097689107213
rdi_during_nrem,0.00541514166124762,0.007173868778362407
rdi_during_prone,0.010987159858600475,0.012057750614947547
rdi_during_rem,0.0052007259612259086,0.007579279277823317
rdi_during_right,0.008700405970740302,0.010269308099806394
rdi_during_supine,0.0042519931903890916,0.005912129184147403
rem_latency,0.011240970395872798,0.013134944313722561
saturation_below_80,0.014486568869635674,0.0142439705613727
saturation_below_85,0.009175682387430745,0.011542100443862219
saturation_below_90,0.020832395140223524,0.017481272875667482
saturation_below_or_equal_88,0.020818129438389885,0.011282119551171765
saturation_max_value,0.010819214990091348,0.008388853869422438
saturation_mean,0.004182283576323156,0.005308562664051295
saturation_min_value,0.005610919215273619,0.006095084347429031
sleep_efficiency,0.012665150032108176,0.015266235440298547
sleep_latency,0.010558709466093202,0.01220597330289591
snore_above_40db,0.010052406200245974,0.012433569338617579
snore_above_45db,0.009518950256564145,0.009419709859120239
snore_above_50db,0.008959245784408302,0.011117514474328714
snore_above_60db,0.011301656938042224,0.009969056029564565
snore_db_mean,0.00896971829884921,0.009731301893690317
time_to_transition_nrem_to_rem,0.012245707537603265,0.01354231727453562
time_to_transition_nrem_to_wake,0.013592963722976243,0.011007816473460127
time_to_transition_rem_to_nrem,0.009829119922544096,0.010848477107717957
time_to_transition_rem_to_wake,0.013288991843476643,0.01139048015905652
time_to_transition_wake_to_nrem,0.008188631300229647,0.008806592011304067
time_to_transition_wake_to_rem,0.012607035893943283,0.013031018698809807
total_arousal_sleep_time,0.013448016619189184,0.0091546308464485
total_deep_sleep_time,0.008576498226879342,0.008981207886910793
total_left_sleep_time,0.011772129005215107,0.013029820776233374
total_light_sleep_time,0.010740349898677467,0.009838464782103156
total_non_supine_sleep_time,0.010092638434515513,0.011429551278507828
total_prone_sleep_time,0.014706605762471391,0.013770338382028709
total_rem_sleep_time,0.011285095164057918,0.009697362866185829
total_right_sleep_time,0.011726677381523162,0.011824738841193864
total_sleep_time,0.013306259832629242,0.009051690808793152
total_supine_sleep_time,0.010835319958465149,0.011653924962810338
total_time_in_bed,0.012082371043809832,0.011064098659233572
total_valid_apnea_central_sleep_time,0.012120000116131733,0.01014210453303376
total_valid_apnea_sleep_time,0.013192184239877653,0.011414153325020241
total_wake_time,0.012884832270165425,0.014101909582509809
total_wake_time_after_sleep_onset,0.010553800833379413,0.013202717438601894
variability_between_sleep_stage_percents,0.00934163928422266,0.010777714253647683
