,"Age, BMI & VAT",Frailty
time_to_transition_nrem_to_rem,0.05677459426791695,0.0784073660645168
sleep_efficiency,0.08364391879242361,0.0997725778869378
percent_of_wake_time,0.09882665380427165,0.11356030006341164
percent_of_sleep_time,0.098826653804272,0.11356030006341175
total_wake_time_after_sleep_onset,0.124230421350325,0.1366112573936505
total_valid_apnea_sleep_time,0.0157361021743458,0.02447535343885665
total_wake_time,0.12421360582581276,0.13269798027481994
total_arousal_sleep_time,0.040757963467005554,0.047064398075223
number_of_wakes,0.19635291659829684,0.2017902242382544
total_sleep_time,0.04213119742750095,0.04740190860118975
number_of_transitions_wake_to_nrem,0.2078766507593495,0.21167196162789126
number_of_transitions_nrem_to_wake,0.2219649215771854,0.22572599100447394
total_light_sleep_time,0.16627334319526554,0.1698367554235273
saturation_below_or_equal_88,0.2549995083872513,0.25699874261177585
saturation_below_90,0.29013901793373986,0.2919784738511805
ahi_during_left,0.4252763146709454,0.42706792794300374
odi_during_nrem,0.45547810935859756,0.45693532964977934
rdi_during_left,0.3057539062327099,0.3066904461730874
saturation_min_value,0.4311653793493918,0.43186120138855866
odi,0.5369218100074684,0.5374833466213946
desaturations_of_10_20,0.19668702481096545,0.19674888411889196
odi_during_non_supine,0.4625331987333421,0.46256130597001943
saturation_max_value,0.21478579251101976,0.21478579251101976
ahi_central_during_nrem,0.2772376757021995,0.2772376757021995
ahi_central,0.2933452900721675,0.2933452900721675
