,"Age, BMI & VAT",Insulin resistance
AHI,0.5086557719389162,0.5103594397264324
ahi_4_percent,0.48618193657414555,0.48399929075187603
ahi_central,0.2006298393955257,0.19972218962312355
ahi_central_during_nrem,0.1717053015873645,0.16877166175563518
ahi_central_during_rem,0.22386380787141247,0.2253250776448839
ahi_during_left,0.36863371778804654,0.3666501720616009
ahi_during_non_supine,0.4356053443006054,0.43679067406905286
ahi_during_nrem,0.47299754340144184,0.47748941081097973
ahi_during_prone,0.38797983596006985,0.3933382288733351
ahi_during_rem,0.5219475558289368,0.5221999556675703
ahi_during_right,0.3917954848534799,0.3845724349377454
ahi_during_supine,0.5193394556838765,0.5128405363438804
ahi_obstructive,0.5246949976545767,0.5272600314632079
ahi_obstructive_during_nrem,0.49289296015123507,0.4994462556978248
ahi_obstructive_during_rem,0.5227111536933704,0.5238994520506286
desaturations_mean_nadir,0.37595445016060125,0.4027143729788887
desaturations_of_10_20,0.2365499549420691,0.23613863061114537
desaturations_of_4_9,0.48346452766796755,0.48615474817987103
number_of_4_percent_desaturation_apnea_hypopnea_events,0.4643741495759265,0.46516604896910485
number_of_all_respiratory_events,0.37022746645215987,0.3815630684883261
number_of_apnea_hypopnea_events,0.47854127636327026,0.48293967270974725
number_of_central_apnea_hypopnea_events,0.19776651305895634,0.19776649687173745
number_of_desaturation_events,0.4640636967689231,0.4644297764009614
number_of_obstructive_apnea_hypopnea_events,0.494215983063817,0.4994716906612442
number_of_transitions_nrem_to_rem,0.10307248894349394,0.11973635545432465
number_of_transitions_nrem_to_wake,0.1282680822208406,0.1267454347506824
number_of_transitions_rem_to_nrem,0.0506384863561557,0.130233317222755
number_of_transitions_rem_to_wake,-0.04355488754340075,-0.0444537750283243
number_of_transitions_wake_to_nrem,0.14266270919126794,0.14545561952526495
number_of_transitions_wake_to_rem,-0.048737748065966854,-0.048737748065966854
number_of_wakes,0.12153822260304756,0.12899815688516703
odi,0.4855861381671455,0.4832440923316529
odi_during_left,0.40810192891798425,0.40341765506724503
odi_during_non_supine,0.4376034140958067,0.4354788340406481
odi_during_nrem,0.4401415025738413,0.4382994558368749
odi_during_prone,0.3856840517225564,0.3850712181928111
odi_during_rem,0.5215979591391264,0.5162098831892665
odi_during_right,0.39075190206441524,0.38522766534256403
odi_during_supine,0.49799374356989046,0.49231258128569755
percent_of_deep_sleep_time,0.23745679615764695,0.23933669753794068
percent_of_left_sleep,0.12172147440020276,0.059452899478563345
percent_of_light_sleep_time,0.18367120379314872,0.1847516147814886
percent_of_non_supine_sleep,0.14331155416321034,0.13986696737268972
percent_of_prone_sleep,-0.05178754454468815,0.0019259127934732998
percent_of_rem_sleep_time,0.09941272140600785,0.0879009051479299
percent_of_right_sleep,0.10449256713171665,0.08421931308449304
percent_of_sleep_time,0.07360571070325611,-0.04857356744359735
percent_of_supine_sleep,0.14331155416321034,0.13986696737268978
percent_of_wake_time,0.0736057107032558,-0.04857356744359735
rdi,0.4157658346335855,0.42579512934597885
rdi_during_left,0.2729785451496763,0.2784653792926638
rdi_during_non_supine,0.31615248810412067,0.3211993306125047
rdi_during_nrem,0.37745306590149397,0.3890583196754528
rdi_during_prone,0.2751965689912078,0.27072220184197504
rdi_during_rem,0.44092904298512514,0.44308730215058095
rdi_during_right,0.2773721568329125,0.26719359350360883
rdi_during_supine,0.4426997064777997,0.4398200858615613
rem_latency,0.0645401955493459,0.03815523849684485
saturation_below_80,-0.050955968728821396,-0.050955968728821396
saturation_below_85,-0.05038144422900095,-0.05038144422900105
saturation_below_90,0.30589060742278884,0.3058905948014061
saturation_below_or_equal_88,0.25887096551269106,0.25887096551269106
saturation_max_value,0.01213126103541385,0.22144438046179934
saturation_mean,0.46197519013296406,0.47313769302510666
saturation_min_value,0.39330293808900807,0.39319750584039564
sleep_efficiency,-0.055737255654442555,-0.055737255654442555
sleep_latency,0.00053069784979365,-0.0453848052316635
snore_above_40db,0.16281252220504974,0.1687363900192267
snore_above_45db,0.3467889258342962,0.3480179343381241
snore_above_50db,0.27523145117780623,0.2735075428811067
snore_above_60db,0.1257053313293371,0.12779726941180158
snore_db_mean,0.3304370524340142,0.3329085337007593
time_to_transition_nrem_to_rem,-0.04973417716009555,0.00320826407823915
time_to_transition_nrem_to_wake,0.08803238929128215,0.058275274704680455
time_to_transition_rem_to_nrem,0.11257290461021965,0.09392784502143385
time_to_transition_rem_to_wake,-0.020742226581090498,0.02602201860403795
time_to_transition_wake_to_nrem,0.1962893543576723,0.19178427058655914
time_to_transition_wake_to_rem,0.10533168611189425,0.0949637010537507
total_arousal_sleep_time,0.0549194241610899,0.10976506188788321
total_deep_sleep_time,0.21480053056530335,0.2325395965671885
total_left_sleep_time,0.1264337982767944,0.09082617533900655
total_light_sleep_time,0.13374938611181758,0.14899914340129336
total_non_supine_sleep_time,0.15143614400785455,0.162665925937719
total_prone_sleep_time,0.009018418229048149,0.0555900074873475
total_rem_sleep_time,0.078332510032974,0.10154089660120805
total_right_sleep_time,0.12384720701920399,0.09780696950740639
total_sleep_time,0.05511542163848015,0.10782062131998066
total_supine_sleep_time,0.1217875126526298,0.1013909371173906
total_time_in_bed,0.06221941529690605,0.0981540617018326
total_valid_apnea_central_sleep_time,0.05620937473104075,0.07244509210260605
total_valid_apnea_sleep_time,0.08389066999934719,0.1083868175527381
total_wake_time,0.0689635691973446,0.0446257281721571
total_wake_time_after_sleep_onset,0.09100989918727895,0.06264341923488205
variability_between_sleep_stage_percents,0.1921115105172469,0.1973265165886719
