,"Age, BMI & VAT",Insulin resistance
AHI,0.5614703831986156,0.560857820852698
ahi_4_percent,0.5268102225588209,0.5270197349546525
ahi_central,0.30721699413891956,0.3072170999013326
ahi_central_during_nrem,0.2884300295177522,0.2884299289558196
ahi_central_during_rem,0.2982371543200621,0.29823713583119493
ahi_during_left,0.4082450479994735,0.4061373521815007
ahi_during_non_supine,0.4641288948295129,0.46112556239115965
ahi_during_nrem,0.5185040480358449,0.5162149797101623
ahi_during_prone,0.40057339498947986,0.3981409166876832
ahi_during_rem,0.5810419335219921,0.5786227503762951
ahi_during_right,0.38340010663050395,0.37877008954333446
ahi_during_supine,0.5690291825362022,0.5688052900183959
ahi_obstructive,0.5655684595835151,0.5640879037962523
ahi_obstructive_during_nrem,0.5236105563833093,0.5204693996602701
ahi_obstructive_during_rem,0.574302316097594,0.5691153551143251
desaturations_above_20,-0.05081374825041825,-0.05081374825041825
desaturations_mean_nadir,0.19516953739020315,0.20466511257473405
desaturations_of_10_20,0.29094945217334095,0.2889328238001613
desaturations_of_4_9,0.5433157025313934,0.5433915513600702
number_of_4_percent_desaturation_apnea_hypopnea_events,0.5228530868862209,0.5226585391205001
number_of_all_respiratory_events,0.4302209208495395,0.43061817345590603
number_of_apnea_hypopnea_events,0.5527601988427935,0.551116618226321
number_of_central_apnea_hypopnea_events,0.32122116708929566,0.31445567280812164
number_of_desaturation_events,0.5344893248368694,0.5340331916040555
number_of_obstructive_apnea_hypopnea_events,0.5572801098231637,0.5553497642563261
number_of_transitions_nrem_to_rem,-0.040786954494084954,-0.02189641359596805
number_of_transitions_nrem_to_wake,0.2454001905286819,0.24772305615817644
number_of_transitions_rem_to_nrem,0.02731119010979025,0.02681717119979015
number_of_transitions_rem_to_wake,-0.048610002082107,-0.048610002082107
number_of_transitions_wake_to_nrem,0.2366725873773592,0.23995975533919064
number_of_transitions_wake_to_rem,-0.041291411529294594,-0.0412914115292945
number_of_wakes,0.217539246474457,0.21529129723958865
odi,0.5350222611127877,0.5356176689563305
odi_during_left,0.39952981834048495,0.39894851353784677
odi_during_non_supine,0.44802661173580083,0.4481951128780318
odi_during_nrem,0.47433802243473144,0.47539019777037644
odi_during_prone,0.3472713414067634,0.3417316283955771
odi_during_rem,0.5538265840555205,0.5542165271546393
odi_during_right,0.359729360992297,0.35538484036105844
odi_during_supine,0.5149822038252613,0.5127468187575557
percent_of_deep_sleep_time,0.22360283888574606,0.21926265996968924
percent_of_left_sleep,0.1137942340983071,0.07977267133134486
percent_of_light_sleep_time,0.19735343075713785,0.19440678828688346
percent_of_non_supine_sleep,0.1230560414868873,0.15657051611191214
percent_of_prone_sleep,-0.046176917409991705,-0.0461769174099917
percent_of_rem_sleep_time,0.1403196579520244,0.14011208186753835
percent_of_right_sleep,0.077058133701597,0.03344891824970805
percent_of_sleep_time,0.13491083151276884,0.12397862263509035
percent_of_supine_sleep,0.12305604148688734,0.15657051611191225
percent_of_wake_time,0.13491083151276867,0.1239786226350901
rdi,0.4464510504994398,0.4478187776070886
rdi_during_left,0.29804954506256753,0.3027394807475448
rdi_during_non_supine,0.3403603111679355,0.3417990333190353
rdi_during_nrem,0.3959073480612949,0.39545203848186516
rdi_during_prone,0.304395242271835,0.30134024363732714
rdi_during_rem,0.48003019163688404,0.4752570961517752
rdi_during_right,0.2819363013261613,0.2845504287848979
rdi_during_supine,0.4708182284277379,0.4678391808975258
rem_latency,0.0470324836032305,0.0321891906000833
saturation_below_80,0.09523746240951475,0.09523746240951486
saturation_below_85,-0.0439466537253525,-0.0439466537253525
saturation_below_90,0.21687295449469796,0.2168729544946981
saturation_below_or_equal_88,-0.047792812095362305,-0.04779281209536225
saturation_max_value,0.1272424283416962,0.27143579654327077
saturation_mean,0.5699373681816462,0.5853852260186143
saturation_min_value,0.4123724859528813,0.40976415203924144
sleep_efficiency,0.11027153890685165,0.10362659026353345
sleep_latency,-0.04393002129630765,0.0189595791186985
snore_above_40db,0.17107911333447634,0.1872785993996702
snore_above_45db,0.33515782527640514,0.3355684273734465
snore_above_50db,0.2811609316095997,0.2801594907411671
snore_above_60db,-0.03067593621723505,-0.007073146028679899
snore_db_mean,0.3061821284583425,0.3139218536633599
time_to_transition_nrem_to_rem,0.0805954662928613,0.069430645904002
time_to_transition_nrem_to_wake,0.08929536908900651,0.0445569951730247
time_to_transition_rem_to_nrem,0.14540595219726704,0.12995355814392945
time_to_transition_rem_to_wake,0.0904666960411542,0.10938102720130005
time_to_transition_wake_to_nrem,-0.04036425146625465,-0.04016808403181455
time_to_transition_wake_to_rem,0.01784498618944335,-0.04929262221277565
total_arousal_sleep_time,0.043339831729182196,0.07048871251763805
total_deep_sleep_time,0.15572249925044201,0.14633452560448773
total_left_sleep_time,0.1241078289842324,0.11460505764543946
total_light_sleep_time,0.18236861114628505,0.18078070739492252
total_non_supine_sleep_time,0.1500016871971491,0.17252737761633835
total_prone_sleep_time,-0.04689964142427995,0.0130369406393061
total_rem_sleep_time,0.07057850955782041,0.08352234844940001
total_right_sleep_time,0.08577142332932386,0.0698524002228395
total_sleep_time,0.0433070620096576,0.06926957023893665
total_supine_sleep_time,0.09436100810718345,0.11066622268269219
total_time_in_bed,0.0953221037387648,0.09752272451189256
total_valid_apnea_central_sleep_time,0.047215184107925356,0.07052054744467451
total_valid_apnea_sleep_time,0.0373012165540964,0.06821707011975256
total_wake_time,0.1477396892483113,0.1312603514712776
total_wake_time_after_sleep_onset,0.15643607141315302,0.14023481228888124
variability_between_sleep_stage_percents,0.20171403226419105,0.20007471849636835
