,"Age, BMI & VAT",Hematopoietic system
AHI,0.5147280476677507,0.517359453969082
ahi_4_percent,0.49815433031467965,0.49793261076517703
ahi_central,0.22555156960504796,0.22555154817904638
ahi_central_during_nrem,0.2015274281361381,0.20149378607409574
ahi_central_during_rem,0.21500570856081086,0.214879439722054
ahi_during_left,0.3873563542512064,0.39111363959608314
ahi_during_non_supine,0.4441850834767599,0.448829271984996
ahi_during_nrem,0.48282055771888455,0.48390607238935185
ahi_during_prone,0.3954358621671522,0.3949734279802973
ahi_during_rem,0.5146477647913039,0.5171387258832358
ahi_during_right,0.3857410500160969,0.3859528661750534
ahi_during_supine,0.5192573932131197,0.5210336710544492
ahi_obstructive,0.5235931065107512,0.5259036669811455
ahi_obstructive_during_nrem,0.49308968548666754,0.49485088652055986
ahi_obstructive_during_rem,0.5137171411960555,0.5164243498637215
desaturations_above_20,0.13330393014221642,0.1333039301422162
desaturations_mean_nadir,0.3675202938545914,0.3675222279616168
desaturations_of_10_20,0.2726864911097616,0.2712141600254835
desaturations_of_4_9,0.5040293974694643,0.5031799755509951
number_of_4_percent_desaturation_apnea_hypopnea_events,0.4836805242067159,0.4830175931743935
number_of_all_respiratory_events,0.3807059192424911,0.38501283993241214
number_of_apnea_hypopnea_events,0.49075135577600293,0.4934435718707485
number_of_central_apnea_hypopnea_events,0.23504838859358546,0.2350434365212542
number_of_desaturation_events,0.48665863350426763,0.4858424864834958
number_of_obstructive_apnea_hypopnea_events,0.4983059444650375,0.5020397455361437
number_of_transitions_nrem_to_rem,0.00921707066068805,0.0092170706606881
number_of_transitions_nrem_to_wake,0.16196662880044954,0.16359842932751426
number_of_transitions_rem_to_nrem,-0.0134158108805557,-0.0134158108805557
number_of_transitions_rem_to_wake,-0.03670987926166315,-0.03670987926166315
number_of_transitions_wake_to_nrem,0.172703211818348,0.17273065022970485
number_of_transitions_wake_to_rem,-0.03694491589250865,-0.0369449158925087
number_of_wakes,0.15453433466997435,0.1554618673129046
odi,0.501759524817156,0.5006108695735095
odi_during_left,0.4140078054794254,0.41554971342140573
odi_during_non_supine,0.4555909263323418,0.4555933251203189
odi_during_nrem,0.4588879204267614,0.4575113491516346
odi_during_prone,0.403155439304157,0.3987462244047077
odi_during_rem,0.5164781751564054,0.5153335382798565
odi_during_right,0.40129092341109207,0.4005428171605184
odi_during_supine,0.5034821187436602,0.502234173396798
percent_of_deep_sleep_time,0.227537826580843,0.225263547786056
percent_of_left_sleep,0.09566825971187455,0.08573500296508985
percent_of_light_sleep_time,0.19835771899236376,0.1971818830099519
percent_of_non_supine_sleep,0.15030411826074966,0.14956577198232354
percent_of_prone_sleep,-0.0338825534218805,-0.03388255342188055
percent_of_rem_sleep_time,0.1414906882591628,0.13879390809206746
percent_of_right_sleep,0.1369279485146194,0.13335912551571175
percent_of_sleep_time,0.08333261576238984,0.080131002162062
percent_of_supine_sleep,0.15030411826074974,0.14956577198232357
percent_of_wake_time,0.08333261576239004,0.08013100216206205
rdi,0.4211626172216918,0.4250490760404667
rdi_during_left,0.2905453331577954,0.2953374493745641
rdi_during_non_supine,0.3290554541937246,0.33489181657070355
rdi_during_nrem,0.38512124698311145,0.3880002569930173
rdi_during_prone,0.2825423929482317,0.2820316803955698
rdi_during_rem,0.4322145476830215,0.43601409989522855
rdi_during_right,0.2641111918026286,0.2639171738160498
rdi_during_supine,0.44339149785723386,0.44587601899495377
rem_latency,0.0686296085919185,0.06411241678307456
saturation_below_80,0.11650718967452155,0.11236737118089075
saturation_below_85,0.20254239749945652,0.19543302521623496
saturation_below_90,0.3061459751585005,0.30641037193238374
saturation_below_or_equal_88,0.2848055846534512,0.28802426675036685
saturation_max_value,0.044804944314097844,0.1426902033893162
saturation_mean,0.47974301640717887,0.4867107744060979
saturation_min_value,0.3834012089712826,0.38314034239182015
sleep_efficiency,0.06268992686152595,0.05752539156524525
sleep_latency,0.0034677548917983,0.0115832454688843
snore_above_40db,0.1528530862708312,0.14575077352155155
snore_above_45db,0.34509520847803776,0.3436320524920594
snore_above_50db,0.28096969623456314,0.28021118813804086
snore_above_60db,0.13986632980236702,0.13695538365291543
snore_db_mean,0.31488481115216926,0.31477678469575787
time_to_transition_nrem_to_rem,0.03880785375385774,0.036808848244162945
time_to_transition_nrem_to_wake,0.12331958074195415,0.11540276370780361
time_to_transition_rem_to_nrem,0.15083736913206344,0.1529417420828273
time_to_transition_rem_to_wake,0.0068467492757097,-0.0143730158744772
time_to_transition_wake_to_nrem,0.2041970471478276,0.2022510748914128
time_to_transition_wake_to_rem,0.09335996699297375,0.0817706940233213
total_arousal_sleep_time,0.060923865275332,0.047098211885124946
total_deep_sleep_time,0.21190136633177148,0.20977971260045108
total_left_sleep_time,0.10253082226959276,0.08422050096235704
total_light_sleep_time,0.14366063562881398,0.13950459533587595
total_non_supine_sleep_time,0.14963358828194667,0.14419043772546436
total_prone_sleep_time,-0.0154158325741282,-0.0047158387707906
total_rem_sleep_time,0.10857274007889961,0.09895102674350365
total_right_sleep_time,0.14385933564405995,0.1369625511885347
total_sleep_time,0.0605706700911265,0.0461197596961438
total_supine_sleep_time,0.13085936932589826,0.1297213237673317
total_time_in_bed,0.0525416368572177,0.047710235281308494
total_valid_apnea_central_sleep_time,0.06897345134897145,0.054861585175750946
total_valid_apnea_sleep_time,0.0854680317397073,0.07403189436256971
total_wake_time,0.0876272473280841,0.09670264193613565
total_wake_time_after_sleep_onset,0.0992169066639205,0.10478071865989595
variability_between_sleep_stage_percents,0.20390470059424798,0.20454687394526022
