,"Age, BMI & VAT",Hematopoietic system
AHI,0.5733240999013738,0.5750758665039795
ahi_4_percent,0.5417734588284593,0.5415982401931614
ahi_central,0.29192380787294625,0.2919237393938477
ahi_central_during_nrem,0.2767236719360189,0.27672367115516894
ahi_central_during_rem,0.27610091943066034,0.2761009592314382
ahi_during_left,0.42796895897932996,0.4303205210464404
ahi_during_non_supine,0.48423140110529317,0.4883811571534261
ahi_during_nrem,0.5185341344608259,0.520206090148121
ahi_during_prone,0.4153155443185037,0.42010585486018115
ahi_during_rem,0.5954869604816257,0.5976576719376581
ahi_during_right,0.40478336177941,0.40778840993482907
ahi_during_supine,0.5619248295934905,0.5616430636574732
ahi_obstructive,0.574625233629027,0.5767150010396661
ahi_obstructive_during_nrem,0.5207237475582456,0.5229059546844699
ahi_obstructive_during_rem,0.5868494195207973,0.5885123921841979
desaturations_above_20,-0.039032979534766296,-0.03903297953476615
desaturations_mean_nadir,0.24991062514140436,0.24989996948854537
desaturations_of_10_20,0.3337327731412463,0.3328942477693067
desaturations_of_4_9,0.5469409848285609,0.5449500858193812
number_of_4_percent_desaturation_apnea_hypopnea_events,0.5332245296090001,0.532456704902313
number_of_all_respiratory_events,0.42886615610080425,0.429812782206184
number_of_apnea_hypopnea_events,0.5592904119500993,0.560936649117155
number_of_central_apnea_hypopnea_events,0.29569551647722625,0.2949949034881659
number_of_desaturation_events,0.5445862756323749,0.5437723574725886
number_of_obstructive_apnea_hypopnea_events,0.5634719671337226,0.5649254836593274
number_of_transitions_nrem_to_rem,-0.03756517145752545,-0.0375651714575255
number_of_transitions_nrem_to_wake,0.2195388262579692,0.21899830368638928
number_of_transitions_rem_to_nrem,-0.03202833806708535,-0.03202833806708525
number_of_transitions_rem_to_wake,-0.0362488260062174,-0.0362488260062174
number_of_transitions_wake_to_nrem,0.2034486323617563,0.2032238162139808
number_of_transitions_wake_to_rem,-0.02948939742274495,-0.02948939742274495
number_of_wakes,0.19097235415376979,0.18955926419570956
odi,0.5502755520299808,0.5495180599077891
odi_during_left,0.4227764786967211,0.4234611224706777
odi_during_non_supine,0.48100778855394916,0.4801646735548908
odi_during_nrem,0.476523169428535,0.4760696235085571
odi_during_prone,0.37524371476376306,0.37421812309641056
odi_during_rem,0.5738873519318104,0.5730004782131439
odi_during_right,0.38648814537104537,0.38495935500630163
odi_during_supine,0.5144824559813826,0.5137506008989191
percent_of_deep_sleep_time,0.22105331224831995,0.22016853790236735
percent_of_left_sleep,0.09529819419471405,0.09130672541328605
percent_of_light_sleep_time,0.1921782267426398,0.1904965346220232
percent_of_non_supine_sleep,0.123147701180832,0.11444678485474805
percent_of_prone_sleep,-0.039528078149096,-0.039528078149096
percent_of_rem_sleep_time,0.14548267968640155,0.1435385670770846
percent_of_right_sleep,0.10763124074809435,0.1048545566304876
percent_of_sleep_time,0.09619000873719405,0.09120041671221335
percent_of_supine_sleep,0.12314770118083204,0.11444678485474799
percent_of_wake_time,0.09619000873719445,0.09120041671221374
rdi,0.45155893468357644,0.4532884498784819
rdi_during_left,0.30559063604664666,0.3097763081556499
rdi_during_non_supine,0.3520809874728394,0.3582570226579266
rdi_during_nrem,0.3861825656419785,0.38825082443907677
rdi_during_prone,0.30783795913909073,0.3117328978398518
rdi_during_rem,0.49200730630430256,0.4934898156442712
rdi_during_right,0.2916445947960441,0.29369467938237903
rdi_during_supine,0.45395221683605036,0.4530785029861387
rem_latency,0.04819363414093415,0.042187238505218744
saturation_below_80,0.09437798471517235,0.0943779847251803
saturation_below_85,0.1774327289606559,0.17743272896065598
saturation_below_90,0.30306134111044514,0.3029292346656095
saturation_below_or_equal_88,0.3004768157375767,0.3004769635076111
saturation_max_value,0.19099882738724167,0.20150165426561945
saturation_mean,0.5823464080295756,0.5903542044635637
saturation_min_value,0.42842214401574824,0.42785129614696293
sleep_efficiency,0.07562829804730645,0.06945949610946435
sleep_latency,-0.0386211075283829,-0.038621107528382895
snore_above_40db,0.21127398423804936,0.20634639724967213
snore_above_45db,0.3954504616943054,0.3937904267609394
snore_above_50db,0.3438593471000023,0.34114141653418395
snore_above_60db,0.17573550039415806,0.17303699106059206
snore_db_mean,0.36794316222145684,0.3679432216322518
time_to_transition_nrem_to_rem,0.055542377045479846,0.0452647502589849
time_to_transition_nrem_to_wake,0.12195744303622555,0.12286989735237669
time_to_transition_rem_to_nrem,0.1476398238284511,0.14425902496779175
time_to_transition_rem_to_wake,0.08560063885635216,0.07111620267985386
time_to_transition_wake_to_nrem,-0.01600703208663255,-0.03859725883726605
time_to_transition_wake_to_rem,0.003659158930239,-0.047142756303917
total_arousal_sleep_time,0.03252205491159065,0.0251905531789359
total_deep_sleep_time,0.16998239568955031,0.1638967721115604
total_left_sleep_time,0.1015032354797859,0.0927026760746938
total_light_sleep_time,0.1604421889001469,0.1601390453666082
total_non_supine_sleep_time,0.1322024446580335,0.12654561231794545
total_prone_sleep_time,-0.009266487548212951,0.0053150482989013995
total_rem_sleep_time,0.10652156375355845,0.10159460637640205
total_right_sleep_time,0.10968208095668006,0.10387203997788645
total_sleep_time,0.0335146943691996,0.0265459619599204
total_supine_sleep_time,0.10088829255415685,0.09373888534316199
total_time_in_bed,0.07487682104024435,0.06697569931518454
total_valid_apnea_central_sleep_time,0.0334981515151174,0.02960388661776355
total_valid_apnea_sleep_time,0.02047873974449475,0.0176028633862048
total_wake_time,0.11733494825213445,0.10609819266531105
total_wake_time_after_sleep_onset,0.11958378210459711,0.11060027061408326
variability_between_sleep_stage_percents,0.1949803643650197,0.19290674561865745
