,"Age, BMI & VAT",Immune system
AHI,0.003248147756479816,0.004658287527583913
ahi_4_percent,0.0038308716490417453,0.005593984455303366
ahi_central,0.009528952406220799,0.010812335559093066
ahi_central_during_nrem,0.010782479580195561,0.009381773778979361
ahi_central_during_rem,0.010726870580838033,0.009199693828263054
ahi_during_left,0.005687289886278967,0.008278589625299704
ahi_during_non_supine,0.0050322419813454335,0.008115015079046781
ahi_during_nrem,0.004140074184902828,0.006323020033934546
ahi_during_prone,0.008818752826124193,0.009439724110326236
ahi_during_rem,0.0040106557065563864,0.004410724233545675
ahi_during_right,0.007419907829495077,0.008209715659991587
ahi_during_supine,0.004179991371162018,0.005909306863106678
ahi_obstructive,0.004211455658270016,0.005494438598697891
ahi_obstructive_during_nrem,0.004468178521093147,0.007118424113361391
ahi_obstructive_during_rem,0.003908621655746556,0.005353432670076469
desaturations_above_20,0.01149190621651518,0.013173054080182406
desaturations_mean_nadir,0.009889593041244274,0.009035384976302584
desaturations_of_10_20,0.011077698773344552,0.009758532765626847
desaturations_of_4_9,0.004548707115693762,0.006288693638011265
number_of_4_percent_desaturation_apnea_hypopnea_events,0.0039053208244029507,0.006333565933634144
number_of_all_respiratory_events,0.0043913734416078844,0.005907498554952337
number_of_apnea_hypopnea_events,0.0037892011521240116,0.004526072136813517
number_of_central_apnea_hypopnea_events,0.00961875351276639,0.010959253728544692
number_of_desaturation_events,0.004630217645972904,0.005862125124059121
number_of_obstructive_apnea_hypopnea_events,0.004124532986956537,0.005450666732255397
number_of_transitions_nrem_to_rem,0.013948771790784078,0.012576107644451471
number_of_transitions_nrem_to_wake,0.006851037838712314,0.011721040545532642
number_of_transitions_rem_to_nrem,0.013960687419282677,0.0133183504762898
number_of_transitions_rem_to_wake,0.010961572802811152,0.012635384619936662
number_of_transitions_wake_to_nrem,0.008074455481772833,0.011973435651894923
number_of_transitions_wake_to_rem,0.01350421854861303,0.01202375092070334
number_of_wakes,0.009952095539225889,0.012010575534075656
odi,0.0044216626809791965,0.005445079782599224
odi_during_left,0.007695214148793108,0.010253857466427416
odi_during_non_supine,0.00632417090275736,0.007532003690341861
odi_during_nrem,0.006823882431676099,0.007083849627030632
odi_during_prone,0.00794570504971701,0.010292764273019202
odi_during_rem,0.00478761472587959,0.004109939370574519
odi_during_right,0.00869897568266634,0.013106784182079913
odi_during_supine,0.005262527067741455,0.007054963009695715
percent_of_deep_sleep_time,0.008452365869108415,0.010183601868518867
percent_of_left_sleep,0.011834486430644447,0.011479069549205854
percent_of_light_sleep_time,0.009623489447429396,0.012174742482436047
percent_of_non_supine_sleep,0.012232764700172526,0.010882016966984995
percent_of_prone_sleep,0.01257943554673473,0.013382192751131184
percent_of_rem_sleep_time,0.011154875247218332,0.014193213024405677
percent_of_right_sleep,0.011913731508836897,0.011131021983249601
percent_of_sleep_time,0.011329730647540137,0.012530294368222011
percent_of_supine_sleep,0.012244463449309465,0.010882016859567016
percent_of_wake_time,0.011331849532986176,0.012517347961010691
rdi,0.003921700037253503,0.005463862235785914
rdi_during_left,0.007568848047244008,0.008737706089321444
rdi_during_non_supine,0.0069760155639343535,0.010716154167097178
rdi_during_nrem,0.006095539856367578,0.009205995845487517
rdi_during_prone,0.009760710047183705,0.011422620689293173
rdi_during_rem,0.005723521191891508,0.0067711878639754265
rdi_during_right,0.009851568685372212,0.010157260719911654
rdi_during_supine,0.005607349340145629,0.00811809113350616
rem_latency,0.013410213351443398,0.011058528413044574
saturation_below_80,0.014264995073974046,0.014321351865482692
saturation_below_85,0.011933081660729586,0.014331423503040367
saturation_below_90,0.009400782083919148,0.013047364126729761
saturation_below_or_equal_88,0.008749238488150303,0.009819921595130085
saturation_max_value,0.008083860391402487,0.009518152409500949
saturation_mean,0.003777563199375142,0.004612354442680323
saturation_min_value,0.005420531925092837,0.0075637267127839
sleep_efficiency,0.011601920291065406,0.011045408382026558
sleep_latency,0.011891833514684083,0.013461444538073122
snore_above_40db,0.008083274484426826,0.011661362017515765
snore_above_45db,0.0077018067055349155,0.008428929958228469
snore_above_50db,0.00942258993367744,0.009468912370161285
snore_above_60db,0.015200566268967618,0.013237937722328893
snore_db_mean,0.00971250926659723,0.010260075260555274
time_to_transition_nrem_to_rem,0.013467149992392622,0.011938847806090697
time_to_transition_nrem_to_wake,0.01052460249834293,0.01042817537703688
time_to_transition_rem_to_nrem,0.0117068510145791,0.011321322240895567
time_to_transition_rem_to_wake,0.015070849636296712,0.010374634127456485
time_to_transition_wake_to_nrem,0.01412941928043193,0.014856300582628119
time_to_transition_wake_to_rem,0.01890184823992931,0.013928218475016999
total_arousal_sleep_time,0.013268404330226472,0.013155532620582194
total_deep_sleep_time,0.00891203791832072,0.010957821453237373
total_left_sleep_time,0.011649903355894765,0.011287147731664846
total_light_sleep_time,0.011567291945042663,0.010786998688598452
total_non_supine_sleep_time,0.01217335986775696,0.011518132879565763
total_prone_sleep_time,0.011982249607261165,0.01310175354156477
total_rem_sleep_time,0.013465684732700406,0.014245280186076436
total_right_sleep_time,0.013352622691111577,0.011701492724455975
total_sleep_time,0.013596610360265214,0.013059202110552373
total_supine_sleep_time,0.01253067001748888,0.011877866721829142
total_time_in_bed,0.012279433854008592,0.012689507471881738
total_valid_apnea_central_sleep_time,0.009849668022703584,0.012006497817646171
total_valid_apnea_sleep_time,0.01308817566815194,0.013925837480766739
total_wake_time,0.01335911361546553,0.01188471476883932
total_wake_time_after_sleep_onset,0.010555030706815271,0.011621376467882564
variability_between_sleep_stage_percents,0.009439464759859193,0.012098805233139939
