,"Age, BMI & VAT",Lifestyle
total_time_in_bed,0.0229906634894627,0.20206296979845964
total_wake_time,0.00298349536878435,0.1600143349851809
total_sleep_time,0.010907380659784052,0.15600051478766613
total_arousal_sleep_time,0.0086365449243322,0.1524685657763882
total_wake_time_after_sleep_onset,0.0348380825662297,0.15685014882757503
percent_of_wake_time,0.0152957461353017,0.13294090844712445
percent_of_sleep_time,0.015488748306276702,0.13294091090817256
total_valid_apnea_sleep_time,0.017381715086195952,0.12215746624617779
total_light_sleep_time,0.09820279233595515,0.19852089004090356
number_of_wakes,0.10008068911369955,0.17870288433700315
total_rem_sleep_time,0.0681586444804106,0.13176096026550635
number_of_transitions_wake_to_nrem,0.1188004057546642,0.18142156968608059
number_of_transitions_nrem_to_wake,0.10793395348741586,0.1632789956271396
saturation_max_value,0.10011874528715595,0.15136141279735327
total_left_sleep_time,0.021701542536373852,0.06810567669685999
number_of_transitions_rem_to_nrem,0.039033581052487096,0.0772642377726375
snore_above_50db,0.212880823126499,0.24362294563396658
percent_of_rem_sleep_time,0.10140423684371265,0.13031746120148252
number_of_transitions_rem_to_wake,0.0299478971317234,0.05567799925309125
sleep_latency,0.0320842106135496,0.0564035308187702
time_to_transition_rem_to_nrem,0.12430625820012206,0.1473088377925475
number_of_transitions_nrem_to_rem,0.03566417304098135,0.054512001618978095
time_to_transition_wake_to_rem,0.0193614749670535,0.037271980565288604
time_to_transition_rem_to_wake,0.0333127134970367,0.0486993149277666
total_non_supine_sleep_time,0.1310452339818761,0.1410036270313874
time_to_transition_nrem_to_rem,0.031222283699212,0.0393327204139911
