,"Age, BMI & VAT",Lifestyle
AHI,0.0016848990304347662,0.003493378218625439
ahi_4_percent,0.0021899089072167947,0.003059192492224913
ahi_central,0.005572667020316444,0.005755460234838124
ahi_central_during_nrem,0.005914437963565162,0.007306657249585181
ahi_central_during_rem,0.006499664939826578,0.006935680773395075
ahi_during_left,0.0019910753347327555,0.0025051314562409897
ahi_during_non_supine,0.0022226561192334095,0.005176291459419208
ahi_during_nrem,0.0018188768057064155,0.004325608309943077
ahi_during_prone,0.002434130359970196,0.0028947786197337363
ahi_during_rem,0.0015260316727024213,0.003494809865947011
ahi_during_right,0.0032238727607486408,0.005332202731750392
ahi_during_supine,0.0013304998702816425,0.003262181270189502
ahi_obstructive,0.001603646034984422,0.0038007282362734385
ahi_obstructive_during_nrem,0.0019613110216695675,0.0035666973689821753
ahi_obstructive_during_rem,0.0012366250067188589,0.003250812027807542
desaturations_mean_nadir,0.0030322501083886793,0.003140348631689806
desaturations_of_10_20,0.014769673020916954,0.014544985636127602
desaturations_of_4_9,0.0025726560481587036,0.0025032259372988735
number_of_4_percent_desaturation_apnea_hypopnea_events,0.0026701601779172746,0.0028717109060914683
number_of_all_respiratory_events,0.0026158156100718876,0.004908446933297191
number_of_apnea_hypopnea_events,0.0021572061403198686,0.0031681247915515804
number_of_central_apnea_hypopnea_events,0.004606483640362591,0.007952430975113242
number_of_desaturation_events,0.0029658099392717123,0.002870337108092578
number_of_obstructive_apnea_hypopnea_events,0.002082364816152359,0.0036441923391745197
number_of_transitions_nrem_to_rem,0.02300109986861834,0.022352101703693908
number_of_transitions_nrem_to_wake,0.006741869139635343,0.009596724460245547
number_of_transitions_rem_to_nrem,0.020561267159287386,0.019465775889629337
number_of_transitions_rem_to_wake,0.01448845207159524,0.01448845207159524
number_of_transitions_wake_to_nrem,0.00605883259311297,0.009005863443375626
number_of_transitions_wake_to_rem,0.01578102362608802,0.01578102362608802
number_of_wakes,0.00604119840106586,0.008487152947161002
odi,0.0025349761266756595,0.0030028497220635007
odi_during_left,0.0021944896625093815,0.00548398896602165
odi_during_non_supine,0.00348246641511309,0.004065201132446975
odi_during_nrem,0.002435619147243414,0.003323439831328362
odi_during_prone,0.004186079359420735,0.009223222156348377
odi_during_rem,0.0019693966646815147,0.003664243843201082
odi_during_right,0.003324498717702459,0.00517471530242267
odi_during_supine,0.0016814549083955608,0.004274002014718041
percent_of_deep_sleep_time,0.0028494948623599887,0.007134795364754959
percent_of_left_sleep,0.007371423220152441,0.018868955533530556
percent_of_light_sleep_time,0.003934062593552953,0.009549346036248879
percent_of_non_supine_sleep,0.0049483995374112145,0.014107233922255122
percent_of_prone_sleep,0.01723090679520375,0.021659257724241408
percent_of_rem_sleep_time,0.0065012582189648924,0.010373734185994455
percent_of_right_sleep,0.005722637673421841,0.019771949941842375
percent_of_sleep_time,0.008240703771785016,0.008372671293548496
percent_of_supine_sleep,0.004948399537411231,0.014107233922255116
percent_of_wake_time,0.00824070377178511,0.008372671293548507
rdi,0.0019289828888802494,0.0050231613556227265
rdi_during_left,0.002664979422521266,0.003544487674341508
rdi_during_non_supine,0.0024337168700552278,0.006622431139593223
rdi_during_nrem,0.002401718664615909,0.005806027863543233
rdi_during_prone,0.0038776069362166606,0.0042700610279109465
rdi_during_rem,0.0019737989471311566,0.004116710053961942
rdi_during_right,0.004215927582691529,0.008706582504443188
rdi_during_supine,0.0016297088406718504,0.003758536159871597
rem_latency,0.010006570625216447,0.011373612824821978
saturation_below_80,0.022475141014412534,0.02247514101441259
saturation_below_85,0.008415630777528356,0.010230355109320141
saturation_below_90,0.004066782297917653,0.00808818628386422
saturation_below_or_equal_88,0.004991887639521542,0.005859967255954549
saturation_max_value,0.0241712239375439,0.02452185147410423
saturation_mean,0.0016359575056353911,0.0017015324317248355
saturation_min_value,0.0024768667185932694,0.004874379089249845
