,"Age, BMI & VAT",Liver health
AHI,0.48180155449509754,0.4489989714102338
ahi_4_percent,0.46734615772313115,0.42604200835007744
ahi_central,0.16638272364010434,0.1156303240680778
ahi_central_during_nrem,0.1345302543626086,0.1032498102457709
ahi_central_during_rem,0.16219682451637008,0.11237388004455534
ahi_during_left,0.33973598977921055,0.3009806945648843
ahi_during_non_supine,0.41165114964949756,0.37254733948217034
ahi_during_nrem,0.4468044732793407,0.41093733419660006
ahi_during_prone,0.34411394801601325,0.30835226500097657
ahi_during_rem,0.4810384053095067,0.4471292674570292
ahi_during_right,0.3272112203640659,0.3073614023698895
ahi_during_supine,0.4850055195699534,0.44890825657060124
ahi_obstructive,0.4891350926358595,0.461267773420547
ahi_obstructive_during_nrem,0.45790723035417247,0.42783596529896595
ahi_obstructive_during_rem,0.4785067092609915,0.4451558282491658
desaturations_above_20,0.1072459774296024,0.0957294678169901
desaturations_mean_nadir,0.33378282705886586,0.30961135540924256
desaturations_of_10_20,0.2458453611178397,0.22092714340852648
desaturations_of_4_9,0.46906399669293625,0.43177866317315616
number_of_4_percent_desaturation_apnea_hypopnea_events,0.45154448705274775,0.4155111844609777
number_of_all_respiratory_events,0.3539858182557466,0.31284074674963513
number_of_apnea_hypopnea_events,0.45968852993558074,0.425634496775148
number_of_central_apnea_hypopnea_events,0.17363093932133694,0.1247950008096683
number_of_desaturation_events,0.45675976244642347,0.41751264747197564
number_of_obstructive_apnea_hypopnea_events,0.4677237278649347,0.43670093451600045
number_of_transitions_nrem_to_rem,0.023479067351188848,0.01371081958976415
number_of_transitions_nrem_to_wake,0.10687528411969055,0.1092101313721172
number_of_transitions_rem_to_nrem,0.0232577545406116,-0.008922192240426001
number_of_transitions_rem_to_wake,-0.0004921612605470499,0.00257343223544405
number_of_transitions_wake_to_nrem,0.1187673487420315,0.11849885289727535
number_of_transitions_wake_to_rem,0.0512215400115141,0.0630546480318617
number_of_wakes,0.09936770285487055,0.11348050458492855
odi,0.4711972742984911,0.4311070675145405
odi_during_left,0.3875141772696866,0.34295934696884706
odi_during_non_supine,0.4373470756260621,0.401853361820001
odi_during_nrem,0.42509674477603593,0.3848467419703526
odi_during_prone,0.3614661578468385,0.3069742966589152
odi_during_rem,0.4909314909114191,0.4549493775055091
odi_during_right,0.37070055954936076,0.332457833032182
odi_during_supine,0.4641778235301438,0.4214609314089617
percent_of_deep_sleep_time,0.1784695779189566,0.13132492610045216
percent_of_left_sleep,0.0322065081509502,0.0380960371984935
percent_of_light_sleep_time,0.1487940894946847,0.08000511990100385
percent_of_non_supine_sleep,0.10145017773880735,0.022489561495104247
percent_of_prone_sleep,0.01601735459046265,0.04853744471332245
percent_of_rem_sleep_time,0.0924979885719247,0.04339601538090645
percent_of_right_sleep,0.07869780022416276,0.0261810526726221
percent_of_sleep_time,0.0427974551808049,0.0238998566732905
percent_of_supine_sleep,0.10145017829718135,0.02248956216867605
percent_of_wake_time,0.0427974506690048,0.0238485617168259
rdi,0.39016938407334845,0.34836205674526205
rdi_during_left,0.2323882236215295,0.20419258029372944
rdi_during_non_supine,0.29900021359204343,0.258657915545098
rdi_during_nrem,0.3503941429338041,0.30905037627912946
rdi_during_prone,0.20796756318283324,0.19958052550680333
rdi_during_rem,0.39340654058508895,0.36473243442127823
rdi_during_right,0.2159030530933713,0.18628133336477676
rdi_during_supine,0.4054894522198146,0.3684402037183981
rem_latency,0.0611294179080077,0.034152104535487254
saturation_below_80,0.13214424480637987,0.0815898774345621
saturation_below_85,0.19674486296630234,0.14920040756223624
saturation_below_90,0.3280505756396598,0.28893170434961546
saturation_below_or_equal_88,0.30657415900772733,0.26791000247066465
saturation_max_value,0.07930988626640134,0.07338886008404075
saturation_mean,0.4486144554933428,0.414329382392854
saturation_min_value,0.36875802064740665,0.31791392988554723
sleep_efficiency,0.02142297469573255,0.01846900582350925
sleep_latency,0.02070402992272525,-0.0029485446454376
snore_above_40db,0.1085226472257104,0.06417893599302024
snore_above_45db,0.2968462745088588,0.2598277030811146
snore_above_50db,0.2324370879711301,0.20009108662516556
snore_above_60db,0.1243466295226317,0.0752896799678964
snore_db_mean,0.2622999568060487,0.21466192221353803
time_to_transition_nrem_to_rem,0.0073549296042378,-0.0011789091243731
time_to_transition_nrem_to_wake,0.057217756084178256,0.034607633868347296
time_to_transition_rem_to_nrem,0.08478433122655796,0.03227761327646025
time_to_transition_rem_to_wake,0.0435349957439344,0.0449869717643034
time_to_transition_wake_to_nrem,0.1344198510101167,0.10259057772691299
time_to_transition_wake_to_rem,0.041080206574180156,0.04482680981176345
total_arousal_sleep_time,-0.031107334495747048,0.0142203395021978
total_deep_sleep_time,0.13388655488451978,0.0910514794799519
total_left_sleep_time,0.04616378412373815,0.04389478089021105
total_light_sleep_time,0.0872134504858903,0.07585544603822675
total_non_supine_sleep_time,0.0990113479523004,0.038622345466987146
total_prone_sleep_time,0.016902914842415802,0.0537108290646016
total_rem_sleep_time,0.0449565134712475,0.028593050842017048
total_right_sleep_time,0.0902172725619693,0.020448500042187748
total_sleep_time,-0.02941618645595685,0.0121871254319797
total_supine_sleep_time,0.08881540789454401,0.01264147342803085
total_time_in_bed,-0.0216707525862002,0.026866076314698548
total_valid_apnea_central_sleep_time,-0.02827647597044295,-0.01173651032725505
total_valid_apnea_sleep_time,-0.0216240099676163,-0.014929907308224698
total_wake_time,0.02917834613613565,0.03346995168373465
total_wake_time_after_sleep_onset,0.06009016735710444,0.03632302350985315
variability_between_sleep_stage_percents,0.15737926672208857,0.08861987121003526
