,"Age, BMI & VAT",Medications
AHI,0.004030956206948007,0.004030956206948007
ahi_4_percent,0.0060596316182210865,0.006059631618221061
ahi_central,0.007870241341792506,0.007870241341792504
ahi_central_during_nrem,0.008464909650223403,0.008464909650223394
ahi_central_during_rem,0.006878282189688263,0.006878282189688268
ahi_during_left,0.0047768775784811915,0.00477687757848121
ahi_during_non_supine,0.004643736677137931,0.004643736677137931
ahi_during_nrem,0.0045294115671446955,0.0045294115671446955
ahi_during_prone,0.008519421106535786,0.008519421106535786
ahi_during_rem,0.003540177001889473,0.003540177001889473
ahi_during_right,0.006872567368900716,0.006872567368900716
ahi_during_supine,0.0033700161623026735,0.0033700161623026565
ahi_obstructive,0.003507996189947471,0.0035079961899474976
ahi_obstructive_during_nrem,0.00388544068663851,0.0038854406866385316
ahi_obstructive_during_rem,0.00360485262156534,0.0036048526215654068
desaturations_above_20,0.00859512980606588,0.008595129806065851
desaturations_mean_nadir,0.007320834818608942,0.007320834818608942
desaturations_of_10_20,0.010437071548650867,0.010437071548650865
desaturations_of_4_9,0.005580196695679965,0.005580196695679979
number_of_4_percent_desaturation_apnea_hypopnea_events,0.007185825603661076,0.007185825603661076
number_of_all_respiratory_events,0.006356805409284568,0.006356805409284575
number_of_apnea_hypopnea_events,0.004809958807911165,0.0048099588079111655
number_of_central_apnea_hypopnea_events,0.008537884177261016,0.008537884177261016
number_of_desaturation_events,0.006699523097257048,0.006699523097257048
number_of_obstructive_apnea_hypopnea_events,0.0035282314128772486,0.0035282314128772486
number_of_transitions_nrem_to_rem,0.01037255877636582,0.01037255877636582
number_of_transitions_nrem_to_wake,0.00842586005720844,0.00842586005720844
number_of_transitions_rem_to_nrem,0.012148334563445889,0.012148334563445889
number_of_transitions_rem_to_wake,0.013090480790017109,0.013090480790017109
number_of_transitions_wake_to_nrem,0.008902201223367209,0.0089022012233672
number_of_transitions_wake_to_rem,0.010306828946955292,0.010306828946955303
number_of_wakes,0.008595921480997712,0.008595921480997715
odi,0.006091257736952017,0.006091257736952017
odi_during_left,0.0076039955582839144,0.0076039955582839144
odi_during_non_supine,0.00622399049539489,0.006223990495394922
odi_during_nrem,0.005190345093377647,0.005190345093377652
odi_during_prone,0.008540035599902435,0.008540035599902435
odi_during_rem,0.0038967062686742415,0.0038967062686742315
odi_during_right,0.008076711521099633,0.008076711521099617
odi_during_supine,0.004706519174304738,0.004706519174304737
percent_of_deep_sleep_time,0.008989864575927844,0.00898986457592786
percent_of_left_sleep,0.010033028091684,0.010033028091683988
percent_of_light_sleep_time,0.009534750117048456,0.009534750117048473
percent_of_non_supine_sleep,0.012186080421694055,0.01218608042169404
percent_of_prone_sleep,0.01141587889212503,0.011415878892125022
percent_of_rem_sleep_time,0.010199161305382001,0.010199161305382015
percent_of_right_sleep,0.010337606668482298,0.010337606668482298
percent_of_sleep_time,0.011416398110247973,0.011416398110247973
percent_of_supine_sleep,0.012180815909927346,0.012180815909927346
percent_of_wake_time,0.011419372496801777,0.011419372496801777
rdi,0.005072127666338238,0.005072127666338238
rdi_during_left,0.006288350254260045,0.006288350254260045
rdi_during_non_supine,0.0062555983859282575,0.006255598385928272
rdi_during_nrem,0.006517560978961779,0.006517560978961766
rdi_during_prone,0.009237204060642651,0.009237204060642651
rdi_during_rem,0.004872985364084737,0.004872985364084737
rdi_during_right,0.008796967735083854,0.008796967735083854
rdi_during_supine,0.0050088569025535,0.0050088569025535
rem_latency,0.010645594026700171,0.010645594026700171
saturation_below_80,0.0105401090278387,0.0105401090278387
saturation_below_85,0.01056472718307357,0.01056472718307357
saturation_below_90,0.012425466833545363,0.012425466833545363
saturation_below_or_equal_88,0.012215661718767111,0.012215661718767114
saturation_max_value,0.0065985978774450735,0.006598597877445112
saturation_mean,0.00227630150640429,0.0022763015064042867
saturation_min_value,0.0056091317666566165,0.005609131766656615
sleep_efficiency,0.010109540801448788,0.010109540801448791
sleep_latency,0.011426331779800002,0.011426331779800002
snore_above_40db,0.007077929674270203,0.007077929674270203
snore_above_45db,0.007756200927198875,0.007756200927198875
snore_above_50db,0.009959790715990718,0.009959790715990718
snore_above_60db,0.01390166120740349,0.01390166120740349
snore_db_mean,0.007504367032943332,0.007504367032943332
time_to_transition_nrem_to_rem,0.009392966662595495,0.009392966662595495
time_to_transition_nrem_to_wake,0.011572523625239226,0.011572523625239226
time_to_transition_rem_to_nrem,0.010340562131788791,0.010340562131788791
time_to_transition_rem_to_wake,0.011589038033100081,0.011589038033100081
time_to_transition_wake_to_nrem,0.014435738341214387,0.014435738341214387
time_to_transition_wake_to_rem,0.01443151678113234,0.01443151678113234
total_arousal_sleep_time,0.010310049248830807,0.010310049248830798
total_deep_sleep_time,0.009992728685129543,0.009992728685129534
total_left_sleep_time,0.00971235737793861,0.009712357377938605
total_light_sleep_time,0.010462672790492795,0.010462672790492808
total_non_supine_sleep_time,0.010974282618783833,0.010974282618783845
total_prone_sleep_time,0.011370757091377722,0.011370757091377722
total_rem_sleep_time,0.011077480928589756,0.011077480928589756
total_right_sleep_time,0.010083003987398186,0.010083003987398186
total_sleep_time,0.010437403088377708,0.010437403088377708
total_supine_sleep_time,0.010154049911194365,0.010154049911194365
total_time_in_bed,0.009552532280171179,0.009552532280171179
total_valid_apnea_central_sleep_time,0.014135355205656432,0.014135355205656432
total_valid_apnea_sleep_time,0.007093918733418887,0.007093918733418887
total_wake_time,0.008024972102430937,0.008024972102430925
total_wake_time_after_sleep_onset,0.011201762017054749,0.011201762017054737
variability_between_sleep_stage_percents,0.00923004668276367,0.009230046682763681
