,Age & BMI,Medications
AHI,0.0006039513028186034,0.0006383151448859504
ahi_4_percent,0.0009732336829022593,0.0009867667195591512
ahi_central,0.00467803043284305,0.004678032207148597
ahi_central_during_nrem,0.0027818120397531754,0.0027818070897262384
ahi_central_during_rem,0.0027216095365483173,0.002721614118902178
ahi_during_left,0.00107544991425905,0.0011188171449299927
ahi_during_non_supine,0.000811872227776993,0.0008535698999761321
ahi_during_nrem,0.0008434238347905222,0.0008939353763794722
ahi_during_prone,0.0011852214751730688,0.0015580167406287785
ahi_during_rem,0.00046374292319116816,0.0005038034755852575
ahi_during_right,0.0012132697801532488,0.001231053307486251
ahi_during_supine,0.0005024101442728187,0.0005725582504310787
ahi_obstructive,0.0006241458756382973,0.0006360688087636591
ahi_obstructive_during_nrem,0.0008301133587731522,0.0008340686671219656
ahi_obstructive_during_rem,0.00047696419187252603,0.0005035042650979467
desaturations_above_20,0.007927032142781515,0.007927032142781515
desaturations_mean_nadir,0.0023771918022602754,0.0023771914238359844
desaturations_of_10_20,0.004253449074953298,0.004262770749259322
desaturations_of_4_9,0.0008424059848927622,0.0008955083588185822
number_of_4_percent_desaturation_apnea_hypopnea_events,0.0009151144273296069,0.001003749230275695
number_of_all_respiratory_events,0.000861950667761159,0.0009213252979311515
number_of_apnea_hypopnea_events,0.00061057434657456,0.0007253420801227885
number_of_central_apnea_hypopnea_events,0.0030766096626327925,0.0031056747606388814
number_of_desaturation_events,0.0009338616401293253,0.00099086468438936
number_of_obstructive_apnea_hypopnea_events,0.0006895834272502211,0.0008151050029957019
number_of_transitions_nrem_to_rem,0.012043813105592471,0.012043813105592504
number_of_transitions_nrem_to_wake,0.0020230588334922486,0.002023058717385054
number_of_transitions_rem_to_nrem,0.010042550768939845,0.010042550768939845
number_of_transitions_rem_to_wake,0.01031550514984623,0.01031550514984623
number_of_transitions_wake_to_nrem,0.002225301987395026,0.0022253023578272433
number_of_transitions_wake_to_rem,0.011081647603761749,0.011081647603761749
number_of_wakes,0.002697235476627375,0.002697235616953869
odi,0.0009966446797282655,0.0010041073655637685
odi_during_left,0.0015331318504463308,0.00154687578704773
odi_during_non_supine,0.0013378339503634282,0.0013329459047176704
odi_during_nrem,0.0011823463230318397,0.0012012408840915809
odi_during_prone,0.0016192819516828436,0.0017894544911199904
odi_during_rem,0.0008282598147471321,0.0009000304255437352
odi_during_right,0.0021388961052222653,0.002133394799552483
odi_during_supine,0.000737300196822332,0.000803653982914943
percent_of_deep_sleep_time,0.001699499522989647,0.0017977376965887428
percent_of_left_sleep,0.004073127044979351,0.0042707027897217215
percent_of_light_sleep_time,0.002120334446310243,0.0021298446706949537
percent_of_non_supine_sleep,0.002646156365909236,0.0028484466362026263
percent_of_prone_sleep,0.011772400099647733,0.011772400099647735
percent_of_rem_sleep_time,0.0026993504001635383,0.002673973175688567
percent_of_right_sleep,0.0032638870825102205,0.003950622930472544
percent_of_sleep_time,0.003476582083468379,0.0034765802781869973
