,"Age, BMI & VAT",Mental health
rem_latency,0.0077158020315654,0.0751072784050863
percent_of_right_sleep,0.0442261600919201,0.08376312977285685
time_to_transition_nrem_to_wake,0.05830343787785695,0.08197006895332345
saturation_below_or_equal_88,0.26770198646737153,0.2900942882334687
saturation_below_90,0.29112367854656107,0.3127168486139381
number_of_transitions_nrem_to_rem,0.052994393850916546,0.07451192493455205
total_right_sleep_time,0.05733522121787875,0.0779294881135931
percent_of_rem_sleep_time,0.0583455100989404,0.0784287505711196
number_of_central_apnea_hypopnea_events,0.2328918507188658,0.25051033435198633
time_to_transition_rem_to_nrem,0.0657255727901885,0.0790713315551756
number_of_transitions_wake_to_rem,0.018586169226227002,0.031013507268136703
sleep_latency,0.031826074755741854,0.0403837916916033
ahi_central,0.23337585076124315,0.24159172358223804
