,"Age, BMI & VAT",Mental health
AHI,0.5646420930918159,0.5631855595881314
ahi_4_percent,0.5324156929439403,0.5302358980572982
ahi_central,0.2919626165650038,0.29350053543735954
ahi_central_during_nrem,0.2729453999129011,0.2755633628609241
ahi_central_during_rem,0.27973847422447107,0.2797066125945358
ahi_during_left,0.411980594767383,0.4070249499056237
ahi_during_non_supine,0.46451995861649215,0.46366466830513403
ahi_during_nrem,0.5126270747030718,0.5095528408996894
ahi_during_prone,0.3968264241017073,0.3924022455938621
ahi_during_rem,0.5830863551412628,0.5846571456754457
ahi_during_right,0.3904353494699382,0.3884511512530235
ahi_during_supine,0.5591153085290554,0.5560638528340749
ahi_obstructive,0.5658945700189331,0.5653550376822337
ahi_obstructive_during_nrem,0.5157808278587371,0.5137759692594325
ahi_obstructive_during_rem,0.5735992335647694,0.5761623354121017
desaturations_above_20,-0.03917423508111505,-0.039174235081115
desaturations_mean_nadir,0.24960875934538373,0.24911673061796968
desaturations_of_10_20,0.29948347318678703,0.29859180090946746
desaturations_of_4_9,0.5482572218161208,0.5477413837875555
number_of_4_percent_desaturation_apnea_hypopnea_events,0.5298891199412813,0.5297135454896349
number_of_all_respiratory_events,0.4267140676079083,0.42515823743793446
number_of_apnea_hypopnea_events,0.5536376751477888,0.5532796357988764
number_of_central_apnea_hypopnea_events,0.29922318082250154,0.31924362496166836
number_of_desaturation_events,0.5408493307013997,0.5405663563069536
number_of_obstructive_apnea_hypopnea_events,0.5570667256186285,0.5569462157727866
number_of_transitions_nrem_to_rem,-0.0423282530064409,-0.04475160080386515
number_of_transitions_nrem_to_wake,0.23767051021045849,0.2377024062420452
number_of_transitions_rem_to_nrem,-0.04189267699214065,-0.041462085873844146
number_of_transitions_rem_to_wake,-0.04040801412705715,-0.04040801412705715
number_of_transitions_wake_to_nrem,0.21972391073695766,0.21755923257444953
number_of_transitions_wake_to_rem,-0.0401185642817053,-0.0401185642817053
number_of_wakes,0.21034337012254856,0.20656502775250246
odi,0.5374883544922515,0.5354576508323919
odi_during_left,0.4129778835847806,0.4102352532729357
odi_during_non_supine,0.4418819131812698,0.437233382822133
odi_during_nrem,0.4652814476553721,0.4614606993955801
odi_during_prone,0.35573228548835867,0.3520086265621093
odi_during_rem,0.5586649066861047,0.5589711781767994
odi_during_right,0.36422849596479845,0.36206746919515087
odi_during_supine,0.5141401133442041,0.5107628819036892
percent_of_deep_sleep_time,0.22102148428973678,0.24616381501517126
percent_of_left_sleep,0.10776125612046039,0.084072820903335
percent_of_light_sleep_time,0.19204929504299095,0.2010163965707487
percent_of_non_supine_sleep,0.11503140079435725,0.0982500394755612
percent_of_prone_sleep,-0.0415268965146903,-0.04036490844404825
percent_of_rem_sleep_time,0.1405857104953101,0.1505757979387177
percent_of_right_sleep,0.06860967802825099,-0.042213578539984045
percent_of_sleep_time,0.1043788467833061,0.09749049051572126
percent_of_supine_sleep,0.11503140079435714,0.0982500394755612
percent_of_wake_time,0.10437884678330606,0.09749049051572126
rdi,0.4484218362921545,0.4444774807348004
rdi_during_left,0.2961344805195812,0.28794238716379983
rdi_during_non_supine,0.33788066634123687,0.333313330992997
rdi_during_nrem,0.38521514709735155,0.37856879327903026
rdi_during_prone,0.2936572271937653,0.27838374469485505
rdi_during_rem,0.4870025796918681,0.4869951632926185
rdi_during_right,0.2859128239305462,0.2769628454886957
rdi_during_supine,0.4522990721703215,0.4483369639506603
rem_latency,0.05787309157317935,0.14541612127614206
saturation_below_80,-0.04160343779445875,-0.0416034377944586
saturation_below_85,0.1382596802091542,0.13825968033255454
saturation_below_90,0.31179379389510814,0.3079709354354929
saturation_below_or_equal_88,0.2914517832070821,0.2912439729018321
saturation_max_value,0.2196057004866758,0.2196057004866758
saturation_mean,0.5925880430018386,0.5925880523601583
saturation_min_value,0.4193382051893959,0.41943578436368184
sleep_efficiency,0.08990940478180735,0.0812317632823589
sleep_latency,0.049291658445410697,0.0749934965597367
snore_above_40db,0.1960350131231796,0.18840485961740455
snore_above_45db,0.3663654461086564,0.3658773508727795
snore_above_50db,0.3051957016461406,0.30175864012473724
snore_above_60db,0.14216102620927765,0.13487832959420398
snore_db_mean,0.32869606985027355,0.3290391110645451
time_to_transition_nrem_to_rem,0.0830493165704981,0.05057228475131055
time_to_transition_nrem_to_wake,0.10886873163594905,0.09439483896934064
time_to_transition_rem_to_nrem,0.1446685465533532,0.13452695258718295
time_to_transition_rem_to_wake,0.08475867482230576,0.04622242273134395
time_to_transition_wake_to_nrem,-0.0426764662218335,-0.04051576672844885
time_to_transition_wake_to_rem,-0.047155693036954,-0.047155693036954
total_arousal_sleep_time,0.0307857331049745,0.025133286859566
total_deep_sleep_time,0.16644231697426332,0.17729567987486122
total_left_sleep_time,0.10831483693873381,0.08873348088237351
total_light_sleep_time,0.1555004770200203,0.17172093664952146
total_non_supine_sleep_time,0.1267688285021947,0.11193374016752905
total_prone_sleep_time,0.00457503665243685,-0.011781273724761749
total_rem_sleep_time,0.0968669961841443,0.08727257665278554
total_right_sleep_time,0.07511002536308485,0.05803891399089195
total_sleep_time,0.030835915364094,0.025576583259527448
total_supine_sleep_time,0.09813776223801221,0.05751740905885
total_time_in_bed,0.08052647014684995,0.07523615526323225
total_valid_apnea_central_sleep_time,0.0112414148779168,-2.8845045376199294e-05
total_valid_apnea_sleep_time,0.0083659875967542,0.0070395593765201995
total_wake_time,0.1292668458015424,0.13143591153442946
total_wake_time_after_sleep_onset,0.1252980455047781,0.12343121620674505
variability_between_sleep_stage_percents,0.195106632948077,0.2128205459723415
