,"Age, BMI & VAT",Renal function
AHI,0.5453033834215768,0.5341992949007752
ahi_4_percent,0.5134912133010583,0.501681319048654
ahi_central,0.24540473297419554,0.24576839369752815
ahi_central_during_nrem,0.2347054321733169,0.23410131603790574
ahi_central_during_rem,0.214361412852144,0.1838375678814827
ahi_during_left,0.4046770112711865,0.3928934635062912
ahi_during_non_supine,0.447467355854533,0.43069137868445584
ahi_during_nrem,0.48669817446318303,0.4718943166102231
ahi_during_prone,0.3713013151330192,0.3584263029578483
ahi_during_rem,0.5661776370100264,0.5532430854016528
ahi_during_right,0.3607591862014138,0.33570894960020836
ahi_during_supine,0.5354563380941151,0.5277390628179137
ahi_obstructive,0.5466483515736098,0.5347357403775197
ahi_obstructive_during_nrem,0.4900165039079864,0.47260777868628456
ahi_obstructive_during_rem,0.5590348673652724,0.5431431193290626
desaturations_above_20,0.068427387506879,0.0571485632112555
desaturations_mean_nadir,0.2038908845979877,0.19293425180904455
desaturations_of_10_20,0.3145950516779459,0.2928313829294682
desaturations_of_4_9,0.5139692837340075,0.5021051505134015
number_of_4_percent_desaturation_apnea_hypopnea_events,0.5014803353366151,0.4925447854016354
number_of_all_respiratory_events,0.3870262534102777,0.3788073435285805
number_of_apnea_hypopnea_events,0.5240407083554963,0.5165828651080403
number_of_central_apnea_hypopnea_events,0.2421297818015376,0.24325049959561396
number_of_desaturation_events,0.5141078837644955,0.5015184355893527
number_of_obstructive_apnea_hypopnea_events,0.5285356213582872,0.5196188092052303
number_of_transitions_nrem_to_rem,-0.00432284026004285,-0.02950259432123825
number_of_transitions_nrem_to_wake,0.16093470583231445,0.150355925538432
number_of_transitions_rem_to_nrem,0.00105789269963995,-0.0344378287188185
number_of_transitions_rem_to_wake,0.06528987245722914,0.0467277977300671
number_of_transitions_wake_to_nrem,0.14025403974158512,0.1217758251002703
number_of_transitions_wake_to_rem,0.014563539191062149,0.0293829972446394
number_of_wakes,0.12568077813933376,0.10666044678409939
odi,0.5207892909362002,0.5039897316875641
odi_during_left,0.40242326263441,0.39102960471752823
odi_during_non_supine,0.44674154268904165,0.4348087850360225
odi_during_nrem,0.43998744017079927,0.41929181992101655
odi_during_prone,0.3033838285494765,0.28499037287225126
odi_during_rem,0.5506244761200568,0.5338825596603322
odi_during_right,0.3307903653364631,0.30358270289867195
odi_during_supine,0.47853475210325574,0.4680930015133832
percent_of_deep_sleep_time,0.1669070095685097,0.16291803871024296
percent_of_left_sleep,0.092745090371189,0.05484769344093675
percent_of_light_sleep_time,0.1427610710145123,0.13737043408533425
percent_of_non_supine_sleep,0.0545344810366597,0.04024790327582925
percent_of_prone_sleep,0.00811960222927825,-0.01606326409802565
percent_of_rem_sleep_time,0.08934799040131924,0.06923630848300755
percent_of_right_sleep,0.054769105682748995,0.0605447005368744
percent_of_sleep_time,0.0491352927318477,0.04240472750312195
percent_of_supine_sleep,0.0545344805124409,0.0402479014538432
percent_of_wake_time,0.049135288857644996,0.0424047275980968
rdi,0.41860029962180056,0.403773577302759
rdi_during_left,0.28436200218298374,0.27111277339226925
rdi_during_non_supine,0.31936692113308507,0.2949110277263344
rdi_during_nrem,0.346417036200635,0.33180156638069014
rdi_during_prone,0.27072951577949056,0.263091046990314
rdi_during_rem,0.4570113165805423,0.44210005902517346
rdi_during_right,0.24344214784287405,0.2160474871445065
rdi_during_supine,0.422650481528668,0.4129850622919371
rem_latency,0.04005070131050745,-0.0038279020643334
saturation_below_80,0.1166930301619202,0.09071239706896461
saturation_below_85,0.20035898135018496,0.1702325679582421
saturation_below_90,0.28033661549799627,0.2595019663606906
saturation_below_or_equal_88,0.2655051457889517,0.24616102416610408
saturation_max_value,0.1729043225313034,0.14127021322368088
saturation_mean,0.5555635145856274,0.5400566090137052
saturation_min_value,0.39635674187668046,0.37867646779082276
sleep_efficiency,0.04501403932262575,0.0277269619214394
sleep_latency,-0.012597936501806,-0.012030796737396751
snore_above_40db,0.15832383031415076,0.13556540387624794
snore_above_45db,0.3504752529819366,0.3302998279410684
snore_above_50db,0.29642516820314785,0.27764940852027975
snore_above_60db,0.10541804873985561,0.0856983312463603
snore_db_mean,0.3427136020329,0.31514121296214526
time_to_transition_nrem_to_rem,0.00319317534215555,0.0010914990621380002
time_to_transition_nrem_to_wake,0.07223518283748981,0.0719534988271266
time_to_transition_rem_to_nrem,0.0802138014529026,0.06030021584975035
time_to_transition_rem_to_wake,-0.0095152355164584,-0.0028818592882469997
time_to_transition_wake_to_nrem,0.0106757419735546,-0.05315515801349155
time_to_transition_wake_to_rem,-0.0244469887935808,-0.07024826496990245
total_arousal_sleep_time,0.03304940087871275,0.01125973970608175
total_deep_sleep_time,0.09927110768458974,0.10025771321669474
total_left_sleep_time,0.0814572730331056,0.0468502177301627
total_light_sleep_time,0.1425007687124038,0.13118293568709655
total_non_supine_sleep_time,0.07557909967218926,0.05229257785568665
total_prone_sleep_time,0.0230865482248405,-0.0021521184122989
total_rem_sleep_time,0.01106356744009545,0.0005168596114645499
total_right_sleep_time,0.05880556078710695,0.04799586185981755
total_sleep_time,0.0142008016314857,0.0139139745509363
total_supine_sleep_time,0.039269528208403154,0.03045537406508995
total_time_in_bed,0.03422449358136355,0.0304967453856799
total_valid_apnea_central_sleep_time,0.041577642803483444,0.0338437977920156
total_valid_apnea_sleep_time,0.0503324454903047,0.033134266166026397
total_wake_time,0.0725154089420418,0.047193330187982704
total_wake_time_after_sleep_onset,0.06160980760277045,0.05179746333974855
variability_between_sleep_stage_percents,0.14512370721470055,0.14124378007903904
