,Age & BMI,Renal function
total_left_sleep_time,0.03777075394477685,0.07971110490022155
percent_of_left_sleep,0.03236658102380385,0.06980141435301715
total_arousal_sleep_time,0.02007513390751205,0.05385264479839735
total_sleep_time,0.02106958479995525,0.05465879995929755
total_valid_apnea_sleep_time,0.03498867494817935,0.0565243230822738
total_valid_apnea_central_sleep_time,0.0269850470233658,0.04797914105287745
number_of_transitions_nrem_to_rem,0.0382794719546488,0.0569264999381526
total_right_sleep_time,0.0393131088447083,0.05406774931790195
total_time_in_bed,0.00447053224180345,0.018507173223001203
time_to_transition_wake_to_nrem,0.1182044289451746,0.1309196915786913
number_of_transitions_rem_to_nrem,0.054981152916037945,0.0674727089647164
percent_of_prone_sleep,0.0196713047582305,0.0304753932546654
total_rem_sleep_time,0.0303089362614746,0.03862407653345315
percent_of_right_sleep,0.052750305212904955,0.0599096163894635
