,"Age, BMI & VAT",Renal function
AHI,0.5183866013851028,0.5185398897452432
ahi_4_percent,0.5021041996024699,0.5018900865235736
ahi_central,0.21642447081710658,0.21948615618015144
ahi_central_during_nrem,0.1880307969478967,0.19094605128187594
ahi_central_during_rem,0.2143193914105701,0.21620774836403978
ahi_during_left,0.3899263842815892,0.3869562954878733
ahi_during_non_supine,0.44645479219073647,0.44657871090478485
ahi_during_nrem,0.4842829646598056,0.48476790220817645
ahi_during_prone,0.40077201160665377,0.40707010384650566
ahi_during_rem,0.5189511685001997,0.5174097935931425
ahi_during_right,0.3877525839523378,0.3853829397833869
ahi_during_supine,0.5186576906819059,0.5168769898406386
ahi_obstructive,0.5287061033022621,0.5275949438031791
ahi_obstructive_during_nrem,0.49631551992369766,0.4953487573437428
ahi_obstructive_during_rem,0.5213949374607887,0.5199364965558304
desaturations_mean_nadir,0.3684103084830393,0.36841030848303935
desaturations_of_10_20,0.26109982748998434,0.26109982748998434
desaturations_of_4_9,0.5072573715462749,0.5060742817811436
number_of_4_percent_desaturation_apnea_hypopnea_events,0.48723952249195657,0.4864252140451255
number_of_all_respiratory_events,0.39338190863814315,0.3937618492659045
number_of_apnea_hypopnea_events,0.49665189657158304,0.49603033165129656
number_of_central_apnea_hypopnea_events,0.2314261057338716,0.23611502808090495
number_of_desaturation_events,0.48960420772536817,0.48880254521028804
number_of_obstructive_apnea_hypopnea_events,0.5048603741175617,0.5033962271234063
number_of_transitions_nrem_to_rem,-0.0083365209940163,-0.0083365209940163
number_of_transitions_nrem_to_wake,0.1517426047145235,0.14782770071528528
number_of_transitions_rem_to_nrem,0.011300858032804648,0.011300858032804648
number_of_transitions_rem_to_wake,-0.040012276903528654,-0.040012276903528654
number_of_transitions_wake_to_nrem,0.1639024171148393,0.1607531185639163
number_of_transitions_wake_to_rem,-0.042579263177662655,-0.042579263177662696
number_of_wakes,0.14259322902478672,0.13934146906215505
odi,0.5062950471623984,0.5055458224556593
odi_during_left,0.4209497326637586,0.4186138107006062
odi_during_non_supine,0.4556845148180858,0.4549178491884892
odi_during_nrem,0.4603166682155577,0.459173746328825
odi_during_prone,0.4113243503019066,0.41550646931127677
odi_during_rem,0.5240472556461894,0.5230163247504837
odi_during_right,0.4041375448977776,0.4021608658847925
odi_during_supine,0.5012172945232094,0.5001849551411762
percent_of_deep_sleep_time,0.21310999846699455,0.21293400737332363
percent_of_left_sleep,0.08072909016639605,-0.0473233095561681
percent_of_light_sleep_time,0.18899136359157442,0.1851924362530775
percent_of_non_supine_sleep,0.1394383874534863,0.13015832402425145
percent_of_prone_sleep,-0.0016189684795256498,-0.043493931737054056
percent_of_rem_sleep_time,0.14287068571163108,0.13822087070695896
percent_of_right_sleep,0.14112488279957,0.14004260539828645
percent_of_sleep_time,0.10827737227337875,0.10766557179138395
percent_of_supine_sleep,0.1394383874534862,0.13015832402425137
percent_of_wake_time,0.10827737227337844,0.107665571791384
rdi,0.4269240913709871,0.42765483286231876
rdi_during_left,0.30803934229467034,0.30402608561772004
rdi_during_non_supine,0.3342740532838907,0.33434794323292183
rdi_during_nrem,0.3869759117275239,0.3882280502354839
rdi_during_prone,0.2796070238751938,0.2910863376850774
rdi_during_rem,0.438181052976618,0.43668296959133357
rdi_during_right,0.2677924705348182,0.264187353359777
rdi_during_supine,0.4383450026285164,0.4367262759692421
rem_latency,0.0660879096966579,0.06042184078945785
saturation_below_80,0.1076967820971706,0.0687682653861663
saturation_below_85,0.1836273675534805,0.18198275613628814
saturation_below_90,0.3144401042818961,0.313880478188133
saturation_below_or_equal_88,0.2823662157314937,0.2810103266557345
saturation_max_value,-0.006664125723905449,-0.00666412572390545
saturation_mean,0.47121894065890113,0.4712189406589022
saturation_min_value,0.3896938205170801,0.3889650618758532
sleep_efficiency,0.0877702946626595,0.0828292625358568
sleep_latency,-0.041422224647277,-0.0414222246472771
snore_above_40db,0.1720640780878288,0.16810340542318225
snore_above_45db,0.3510736011919478,0.35063542578216905
snore_above_50db,0.2865891237918976,0.28649137647975914
snore_above_60db,0.09759210017505965,0.09759210017505965
snore_db_mean,0.3178983884566994,0.3178983884566994
time_to_transition_nrem_to_rem,-0.0402058004723969,-0.04457120861969955
time_to_transition_nrem_to_wake,0.12865880145001923,0.12223017628814706
time_to_transition_rem_to_nrem,0.16896351224703005,0.16538336690321764
time_to_transition_rem_to_wake,0.0300873979303252,0.0163652308193568
time_to_transition_wake_to_nrem,0.21042397364213938,0.20789591053269996
time_to_transition_wake_to_rem,0.1175740556667155,0.10588393258887545
total_arousal_sleep_time,0.04345018982967195,0.05793351449784645
total_deep_sleep_time,0.2093110714677282,0.2038331112975546
total_left_sleep_time,0.08323340488424474,0.058114334435995355
total_light_sleep_time,0.11880851982492216,0.12430737189855914
total_non_supine_sleep_time,0.1340482895130989,0.1224326877612284
total_prone_sleep_time,-0.00365815423092245,-0.0187626772958482
total_rem_sleep_time,0.11878782092719614,0.10766607998881364
total_right_sleep_time,0.14268782100795718,0.14007578286776884
total_sleep_time,0.0413364350027035,0.0570423185598393
total_supine_sleep_time,0.12111871665703755,0.11082827451739355
total_time_in_bed,0.029919608119822798,0.0338677780749075
total_valid_apnea_central_sleep_time,0.0578583992375619,0.055556002614680244
total_valid_apnea_sleep_time,0.06666011048399804,0.0652731712967238
total_wake_time,0.10342170502580586,0.0926262950182363
total_wake_time_after_sleep_onset,0.11754014809295765,0.10716891182704735
variability_between_sleep_stage_percents,0.19466329739759525,0.19171841877326926
