,0
MBpathways_and_sleep_quality_avg_men,3109
MBpathways_and_sleep_quality_avg_women,3282
MBfamily2_and_sleep_quality_avg_men,3172
MBfamily2_and_sleep_quality_avg_women,3354
blood_lipids_and_sleep_quality_avg_men,926
blood_lipids_and_sleep_quality_avg_women,1018
diet_and_sleep_quality_avg_men,2699
diet_and_sleep_quality_avg_women,2920
medications_and_sleep_quality_avg_men,2805
medications_and_sleep_quality_avg_women,3009
lifestyle_and_sleep_quality_avg_men,2014
lifestyle_and_sleep_quality_avg_women,2164
mental_and_sleep_quality_avg_men,2003
mental_and_sleep_quality_avg_women,2154
frailty_and_sleep_quality_avg_men,2805
frailty_and_sleep_quality_avg_women,3009
liver_and_sleep_quality_avg_men,2514
liver_and_sleep_quality_avg_women,2704
hematopoietic_and_sleep_quality_avg_men,2377
hematopoietic_and_sleep_quality_avg_women,2545
glycemic_status_and_sleep_quality_avg_men,1456
glycemic_status_and_sleep_quality_avg_women,1631
immune_system_and_sleep_quality_avg_men,2380
immune_system_and_sleep_quality_avg_women,2550
renal_function_and_sleep_quality_avg_men,1921
renal_function_and_sleep_quality_avg_women,2045
body_composition_and_sleep_quality_avg_men,2799
body_composition_and_sleep_quality_avg_women,3006
bone_density_and_sleep_quality_avg_men,2805
bone_density_and_sleep_quality_avg_women,3009
cardiovascular_and_sleep_quality_avg_men,3322
cardiovascular_and_sleep_quality_avg_women,3590
