body system,Females,Males
Age_Gender_BMI_VAT,"(0.4996974063400576, 0.49966716520811993, 0.4997276474719953)","(0.5026286064235166, 0.5025695301370138, 0.5026876827100194)"
glycemic_status,"(0.4995726379440665, 0.4991593934821383, 0.4999858824059947)","(0.5016925225594406, 0.5008410843564733, 0.5025439607624079)"
immune_system,"(0.49972482113373684, 0.49967485781216714, 0.49977478445530654)","(0.5027310171633315, 0.5026247031146344, 0.5028373312120286)"
hematopoietic,"(0.49986653201197356, 0.4996021109667747, 0.5001309530571725)","(0.5031778483525209, 0.502669783241448, 0.5036859134635938)"
body_composition,"(0.5004485893525981, 0.49988557874630446, 0.5010115999588917)","(0.5026835332606325, 0.5018392931924116, 0.5035277733288535)"
renal_function,"(0.4998202396804261, 0.49976223458943875, 0.49987824477141346)","(0.5033679655581426, 0.5027208965767963, 0.5040150345394888)"
medications,"(0.49948101874098993, 0.4994172607279948, 0.49954477675398506)","(0.5038846572361264, 0.5034428270646841, 0.5043264874075687)"
liver,"(0.49942060085836915, 0.49934152698281487, 0.4994996747339234)","(0.5048103632478632, 0.5040828278422136, 0.5055378986535128)"
frailty,"(0.49992826664659595, 0.49968071359686145, 0.5001758196963304)","(0.5049243248590366, 0.5046409351397877, 0.5052077145782855)"
bone_density,"(0.5019435743936823, 0.5007454592881797, 0.5031416894991849)","(0.511368582451281, 0.5102156545089318, 0.5125215103936303)"
mental,"(0.5001275793662336, 0.49937645408369014, 0.5008787046487772)","(0.5144788683963738, 0.5133543342601323, 0.5156034025326153)"
blood_lipids,"(0.5053331161426943, 0.5024845390684363, 0.5081816932169523)","(0.5126905798603911, 0.5090400165618277, 0.5163411431589545)"
cardiovascular,"(0.5093780527515468, 0.5072750119489232, 0.5114810935541704)","(0.5124941451990632, 0.5110565906406356, 0.5139316997574909)"
MBfamily2,"(0.5169803396236182, 0.5139943275848243, 0.5199663516624121)","(0.5089682078026275, 0.5064342525533342, 0.5115021630519209)"
MBpathways,"(0.5130151278038602, 0.5111248982551206, 0.5149053573525997)","(0.5203144318309543, 0.5181334594444867, 0.5224954042174218)"
diet,"(0.5147228868335536, 0.5115812012029902, 0.517864572464117)","(0.5396902440620296, 0.5365818477695521, 0.5427986403545071)"
