,clinical_OSA
0,0.5240319770709229
1,0.5195431044172193
2,0.5209831965831179
3,0.5148856356075082
4,0.528808868157806
5,0.5218472518826571
6,0.5359390805889627
7,0.5228799033382039
8,0.5273687759919075
9,0.5003863661908509
10,0.5193745082612117
11,0.5145976171743284
12,0.5129889288524222
13,0.5301295380465325
14,0.5134455434416095
15,0.5267927391255479
16,0.5234559402045634
17,0.5112608182533439
18,0.5129889288524222
19,0.5173583792289537
20,0.5314502079352591
21,0.5282328312914466
22,0.512005451275711
23,0.5320262448016185
24,0.5189670675508599
25,0.5176463976621333
26,0.5196625266943914
27,0.5198311228503991
28,0.519086489828032
29,0.5289774643138138
30,0.5209831965831179
31,0.519086489828032
32,0.5234559402045634
33,0.5254720692368214
34,0.5176463976621333
35,0.5106847813869845
36,0.5051632572777341
37,0.5140215803079691
38,0.5298415196133529
39,0.524896032370462
40,0.5231679217713837
41,0.5176463976621333
42,0.5087880746318985
43,0.5320262448016185
44,0.5090760930650781
45,0.517070360795774
46,0.5343303922670564
47,0.5215592334494774
48,0.5176463976621333
49,0.5162063054962347
