,clinical_OSA
0,0.5028571428571429
1,0.5028571428571429
2,0.5028571428571429
3,0.502583918813427
4,0.502583918813427
5,0.5028571428571429
6,0.5028571428571429
7,0.5028571428571429
8,0.502583918813427
9,0.5028571428571429
10,0.502583918813427
11,0.5054410616705699
12,0.5028571428571429
13,0.5028571428571429
14,0.5028571428571429
15,0.5028571428571429
16,0.502583918813427
17,0.502583918813427
18,0.5028571428571429
19,0.5028571428571429
20,0.5028571428571429
21,0.502583918813427
22,0.5023106947697112
23,0.5028571428571429
24,0.502583918813427
25,0.5023106947697112
26,0.5028571428571429
27,0.502583918813427
28,0.5028571428571429
29,0.5028571428571429
30,0.502583918813427
31,0.5023106947697112
32,0.5028571428571429
33,0.5028571428571429
34,0.502583918813427
35,0.502583918813427
36,0.5028571428571429
37,0.5028571428571429
38,0.5028571428571429
39,0.502583918813427
40,0.5028571428571429
41,0.5028571428571429
42,0.502583918813427
43,0.502583918813427
44,0.5023106947697112
45,0.5028571428571429
46,0.502583918813427
47,0.5028571428571429
48,0.5028571428571429
49,0.5028571428571429
