,clinical_OSA
0,0.5025812978869747
1,0.5028932130460515
2,0.502269382727898
3,0.5025812978869747
4,0.5028932130460515
5,0.5032051282051282
6,0.5028932130460515
7,0.502269382727898
8,0.5025812978869747
9,0.5025812978869747
10,0.5025812978869747
11,0.5028932130460515
12,0.5025812978869747
13,0.5025812978869747
14,0.5025812978869747
15,0.5032051282051282
16,0.5032051282051282
17,0.5025812978869747
18,0.5028932130460515
19,0.5028932130460515
20,0.5025812978869747
21,0.5032051282051282
22,0.5025812978869747
23,0.5025812978869747
24,0.5025812978869747
25,0.5028932130460515
26,0.5028932130460515
27,0.5032051282051282
28,0.5028932130460515
29,0.5025812978869747
30,0.5028932130460515
31,0.5032051282051282
32,0.5025812978869747
33,0.5028932130460515
34,0.5028932130460515
35,0.5028932130460515
36,0.5028932130460515
37,0.5028932130460515
38,0.5025812978869747
39,0.502269382727898
40,0.5028932130460515
41,0.5025812978869747
42,0.5028932130460515
43,0.5025812978869747
44,0.502269382727898
45,0.5028932130460515
46,0.5025812978869747
47,0.5028932130460515
48,0.502269382727898
49,0.502269382727898
