,clinical_OSA
0,0.5025812978869747
1,0.5025812978869747
2,0.5032051282051282
3,0.5032051282051282
4,0.5025812978869747
5,0.5032051282051282
6,0.5028932130460515
7,0.5032051282051282
8,0.5025812978869747
9,0.5025812978869747
10,0.5025812978869747
11,0.5028932130460515
12,0.5032051282051282
13,0.5025812978869747
14,0.5028932130460515
15,0.502269382727898
16,0.5019574675688212
17,0.5032051282051282
18,0.5025812978869747
19,0.502269382727898
20,0.5028932130460515
21,0.5025812978869747
22,0.5032051282051282
23,0.5025812978869747
24,0.5025812978869747
25,0.5028932130460515
26,0.502269382727898
27,0.5032051282051282
28,0.5032051282051282
29,0.5028932130460515
30,0.5032051282051282
31,0.5032051282051282
32,0.502269382727898
33,0.5025812978869747
34,0.5025812978869747
35,0.502269382727898
36,0.5032051282051282
37,0.5025812978869747
38,0.5025812978869747
39,0.502269382727898
40,0.5025812978869747
41,0.5032051282051282
42,0.5025812978869747
43,0.5028932130460515
44,0.5019574675688212
45,0.5028932130460515
46,0.5025812978869747
47,0.5032051282051282
48,0.5019574675688212
49,0.5025812978869747
