,clinical_OSA
0,0.49946351931330474
1,0.49946351931330474
2,0.49973175965665234
3,0.49973175965665234
4,0.49973175965665234
5,0.49973175965665234
6,0.49973175965665234
7,0.5
8,0.49973175965665234
9,0.49973175965665234
10,0.5
11,0.49946351931330474
12,0.49946351931330474
13,0.5
14,0.49946351931330474
15,0.49946351931330474
16,0.49946351931330474
17,0.49973175965665234
18,0.49946351931330474
19,0.49946351931330474
20,0.49973175965665234
21,0.49973175965665234
22,0.49946351931330474
23,0.49973175965665234
24,0.49946351931330474
25,0.49973175965665234
26,0.49946351931330474
27,0.49973175965665234
28,0.49946351931330474
29,0.49973175965665234
30,0.49973175965665234
31,0.49973175965665234
32,0.5
33,0.49946351931330474
34,0.49973175965665234
35,0.49973175965665234
36,0.49946351931330474
37,0.49973175965665234
38,0.49973175965665234
39,0.49973175965665234
40,0.49973175965665234
41,0.49946351931330474
42,0.49973175965665234
43,0.49946351931330474
44,0.49973175965665234
45,0.49946351931330474
46,0.49946351931330474
47,0.49973175965665234
48,0.49973175965665234
49,0.49946351931330474
