,clinical_OSA
0,0.503303057593463
1,0.49925317401045555
2,0.5036764705882353
3,0.5066061151869261
4,0.5
5,0.5069795281816983
6,0.5029296445986908
7,0.5029296445986908
8,0.5066061151869261
9,0.5036764705882353
10,0.503303057593463
11,0.503303057593463
12,0.5069795281816983
13,0.503303057593463
14,0.5029296445986908
15,0.5066061151869261
16,0.5025562316039186
17,0.503303057593463
18,0.5036764705882353
19,0.503303057593463
20,0.5029296445986908
21,0.503303057593463
22,0.5029296445986908
23,0.5029296445986908
24,0.503303057593463
25,0.4996265870052278
26,0.5036764705882353
27,0.5029296445986908
28,0.49925317401045555
29,0.49925317401045555
30,0.5062327021921539
31,0.4988797610156833
32,0.5036764705882353
33,0.5069795281816983
34,0.5029296445986908
35,0.4996265870052278
36,0.503303057593463
37,0.5073529411764706
38,0.5029296445986908
39,0.5029296445986908
40,0.503303057593463
41,0.5036764705882353
42,0.503303057593463
43,0.5036764705882353
44,0.5073529411764706
45,0.5073529411764706
46,0.503303057593463
47,0.4996265870052278
48,0.503303057593463
49,0.503303057593463
