,AHI,snore_db_mean,saturation_mean,desaturations_mean_nadir,percent_of_supine_sleep,total_sleep_time,sleep_efficiency,variability_between_sleep_stage_percents,hrv_time_rmssd_during_night,hrv_time_rmssd_during_wake
gender,0.2177212546811425,0.1509069199150055,-0.1065613250624227,0.0224733816166961,0.0241845588366355,-0.130352888613326,-0.0776111464694415,0.0982735520320661,0.2739039948720932,0.1322407194835337
age,0.3266111548892723,0.1278627608417076,-0.3395285296574256,-0.2182379350023676,-0.1015600507971326,0.0265951054670443,-0.1035042980891257,0.166685758633056,-0.0908153082920284,-0.0223429690471418
bmi,0.4572152082057621,0.2686359132531101,-0.4164280202289749,-0.2540561099255516,0.0677565262097527,-0.0647028364269463,-0.069674557993497,-0.0555855003627328,-0.0399735930849223,-0.036828027451905
body_comp_trunk_diff_tissue_mass,-0.0475406579062345,-0.050962492608056,0.0423502768301821,0.0247257184016638,,,,,,
body_comp_trunk_diff_total_mass,-0.0449157822320137,-0.0496922907372416,0.04044356610019,0.0246766321126381,,,,,,
body_comp_total_diff_fat_mass,-0.0908715289895259,-0.0405648695964315,0.0685043590491219,0.0374712773776447,0.0268709212690786,,,-0.0270076820644578,,
body_comp_trunk_diff_fat_mass,-0.1043203648334391,-0.0697761799430643,0.0934887769372372,0.0628595864780252,0.025998055270149,,,,,
body_comp_total_diff_bone_mass,0.0391419111308738,0.0344473208273634,-0.0525039674469655,-0.0303620114158916,,,,,,
body_comp_trunk_diff_bone_mass,0.0643144452398846,0.0255840677540065,-0.0472790533872996,,,-0.0277835572244098,,,,-0.0240831283763174
body_comp_arms_diff_fat_free_mass,-0.0384739286839604,,,0.032310796240904,-0.0283280803556243,,,0.024278093903749,0.0287633818978329,
body_comp_arms_diff_lean_mass,-0.0371662610340572,,,0.029701827242061,-0.0285701369991059,,,0.0246007672713849,0.0278421830563391,
body_comp_legs_diff_fat_mass,,,,-0.0274111943828784,,,,,-0.0375824375145604,
body_comp_legs_diff_bone_mass,-0.0319186160350305,,,,,,,,-0.0481792814776958,-0.0239009092486451
body_comp_trunk_diff_lean_mass,,-0.0308254223230797,,,,,,,,-0.0258801113931536
body_comp_trunk_diff_fat_free_mass,,-0.0292966657980566,,,,,,,,-0.026710381574962
body_comp_legs_diff_lean_mass,,,-0.0299740975201628,,,-0.0241850858809415,,0.0290563873067206,,
body_comp_legs_diff_fat_free_mass,,,-0.0289134135447843,,,-0.0245969080911327,,0.0279151151623964,,
body_comp_arms_diff_fat_mass,,0.0271770562983945,-0.0285657458097978,,,,,,,
body_comp_legs_diff_tissue_mass,,,-0.0234872836621517,,,,,,,
body_comp_total_diff_lean_mass,,,-0.035907986983643,,,,,,,
body_comp_total_diff_fat_free_mass,,,-0.0378707476362674,,,,,,,
body_comp_arms_diff_total_mass,,,,0.0233343419679323,-0.0279459959569876,,,,0.0234021160964974,
body_comp_arms_diff_tissue_mass,,,,,-0.0277520317301622,,,,0.0233769917735679,
body_comp_arms_diff_bone_mass,,,,0.0307537297040794,,,,,,
body_comp_total_diff_total_mass,-0.0245949860720662,,,,,,,,,
body_comp_total_diff_tissue_mass,-0.0289456397651554,,,,,,,,,
body_comp_arm_left_total_mass,0.3396392336278989,0.2255076428131549,-0.2365065515373324,-0.0903831029197963,0.0835312122180948,-0.0920005887235758,-0.092999218381535,,0.1703615850730095,0.0903235579379671
body_comp_arm_left_tissue_mass,0.3449386294346029,0.2278172406012784,-0.2423114632501523,-0.0953744784146543,0.0840367763173121,-0.0897515993909072,-0.0928982768225115,,0.1636391003036112,0.0861960526452847
body_comp_arm_right_total_mass,0.3395716250766142,0.228732191121833,-0.2424224586928826,-0.0870448576646892,0.0729234640873817,-0.0967288703347466,-0.0952861730378834,,0.1725249077227702,0.088992892527321
body_comp_arms_total_mass,0.3449256626195878,0.2310064484754225,-0.2430201941511578,-0.0901341863512018,0.0805952594211882,-0.0959758774961067,-0.0950844937981033,,0.1740105204886334,0.0914445823248409
body_comp_arm_right_tissue_mass,0.3451260664932166,0.23144465790847,-0.2484926032773337,-0.092036413572878,0.0731588380579322,-0.0946227137077708,-0.0953431424933856,,0.1657352477801466,0.0847793699005889
body_comp_arms_tissue_mass,0.3505907590565009,0.2336017619085166,-0.2491326141373284,-0.0952031435364485,0.0811389054590423,-0.0937473392950124,-0.0949826784965937,,0.1673632167447643,0.087380276235376
body_comp_trunk_left_bone_mass,0.2165990080304605,0.1536890440085308,-0.1305535964789928,-0.0428797524017568,0.0645314097421561,-0.1124058766199829,-0.0664757366778665,,0.2053266237935104,0.0991095336435235
body_comp_trunk_bone_mass,0.2273914245730157,0.1581580705486015,-0.139252834979237,-0.0427048911926051,0.0650936690935459,-0.1165123422889517,-0.0668746673943349,,0.2061166239015414,0.0953157682008601
body_comp_trunk_right_bone_mass,0.2318146255399344,0.1578749395542728,-0.144127300806871,-0.0413366292099621,0.0640195461591789,-0.117505414283347,-0.0653074497720586,,0.2008779783489002,0.0885696340909906
body_comp_arm_right_fat_free_mass,0.2472514481177572,0.1792237380073,-0.1454214668366446,,0.0585562202104581,-0.125962277755447,-0.094834900983133,0.0449098678885437,0.2632617637862673,0.1436898984006801
body_comp_arm_right_lean_mass,0.2520667289844027,0.1818719687049792,-0.1497146756079185,,0.0582231089173103,-0.1258162109778259,-0.0958067248310397,0.0446442265018334,0.261635510968956,0.1424034132517293
