,height,hand_grip_left,hand_grip_right,body_comp_leg_right_lean_mass,body_comp_leg_left_lean_mass,gender,body_comp_arm_right_lean_mass,body_comp_arm_left_lean_mass
hrv_time_rmssd_during_night,1.1979298916092462e-72,3.552810116756495e-86,7.714484445260277e-82,7.40199163335606e-75,8.559687801084118e-76,2.943757810395869e-100,2.4810220384216313e-91,1.3920578338967939e-92
AHI,1.0716374206928867e-19,1.1437740339236485e-19,4.511108843338072e-21,2.9692148520631513e-124,5.592010399932122e-123,9.948868592899983e-63,1.1694731901845947e-85,2.8877798694384022e-89
snore_db_mean,1.6532097679437471e-12,2.9301553848054954e-14,1.4284952025891234e-14,1.006779379417464e-59,1.0817150277739342e-58,6.447870779857988e-33,6.163469608160132e-44,3.0142737719168004e-45
hrv_time_rmssd_during_wake,9.522141482300544e-20,1.557228456865157e-26,1.7683315752648168e-23,1.2551462833376387e-20,2.816781404902342e-21,4.9413945845971865e-25,2.105390104059216e-27,4.108821219727712e-29
saturation_mean,0.00012721940798173182,0.2722567740623908,0.08248541897732813,8.810593012955329e-62,2.541605038177368e-60,2.2289818878262518e-17,8.40665324365912e-31,3.550694368482607e-30
total_sleep_time,8.237604662457358e-16,1.8108612783740127e-14,1.3487129672330467e-13,2.55497597338067e-26,1.5208729674426355e-25,8.480706676762322e-23,2.240175063054403e-22,6.168160387137543e-21
sleep_efficiency,6.64508177311576e-05,0.004840123225506664,0.0028072425475417994,1.6684493960121145e-09,8.60210910365119e-10,8.396271595243608e-10,1.9025754805693816e-13,6.669638504669244e-13
desaturations_mean_nadir,0.013288368043691328,1.1426670526098328e-07,1.1061440238354117e-07,1.5260979288209144e-09,2.9079760919698122e-09,0.26306993735834555,0.27351000637514794,0.21773899767684374
percent_of_supine_sleep,0.17259164271029376,1.730965972666645e-05,0.0012434949179654091,3.4665789647407793e-07,4.0033678609060043e-07,0.10022826720904729,9.640794360356757e-06,4.08417485513807e-07
variability_between_sleep_stage_percents,5.2942373847718284e-06,0.0007491024867201736,0.00021344065254048106,0.01679332181886667,0.03491088587552508,2.7163246605484792e-14,0.0005268327857427662,0.002552521527706237
