,gender,bt__monocytes_abs,bt__wbc,bt__neutrophils_abs,bt__lymphocytes_abs,bt__eosinophils_abs,bt__basophils_%,bt__neutrophils_%,bt__lymphocytes_%,bt__basophils_abs,bt__monocytes_%,bt__eosinophils_%
total_sleep_time,-0.13561264329956144,-0.02766179307953268,-0.04119851646943305,-0.041513048099013156,0.0,0.0,0.0,-0.034813278511462854,0.04129245834316831,0.0,0.0,0.0
sleep_efficiency,-0.08130627925792264,-0.03514809629040746,-0.03858896178272658,-0.036811491002957206,0.0,-0.034765485116090414,0.0,0.0,0.029910154823422276,0.0,0.0,0.0
saturation_mean,-0.11431867634287803,-0.11655420547264408,-0.12856614504737826,-0.1189653414095276,-0.08642526890841679,-0.0651476945948476,0.09482570182844045,-0.03353785324844807,0.02929628192741122,0.0,0.0,0.0
desaturations_mean_nadir,0.0,-0.05517261308600604,-0.07632284875444549,-0.08122889710918697,-0.035224459142282005,-0.03749599284069901,0.08393895726913471,-0.044976134494438186,0.03746798711221314,0.0,0.0,0.0
AHI,0.22330661171362642,0.15378735405560687,0.15357526859464105,0.10738961548925664,0.13670824120408925,0.07988086313887037,0.03808928373287511,-0.028055631497302076,0.0,0.08761410739426377,0.04646072862584291,0.029373189497350505
snore_db_mean,0.1513573814548415,0.09531208652705113,0.10051921549717871,0.0852431022101593,0.06508594825033215,0.04331357087875523,0.0,0.0,0.0,0.0,0.0,0.0
hrv_time_rmssd_during_night,0.2798206509694432,0.05246788240773698,0.0,0.0,-0.027722759510306946,0.0,0.03116620040479197,0.0,-0.0261228488618594,0.0,0.07741230286841622,0.032452959149034726
percent_of_supine_sleep,0.029231717122276558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
variability_between_sleep_stage_percents,0.09858773178613102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hrv_time_rmssd_during_wake,0.13744496234548853,0.0,0.0,0.0,-0.03919193457521888,0.0,0.0,0.0,0.0,0.0,0.03548264634873867,0.0
