,gender,snoring_yes,snoring_no,sleep_hours_in_24H,hours_watching_tv,vigorous_activity_minutes,physical_activity_maderate_days_a_week,usual_walking_pace_Fast,nap_during_day_Not or rarely,trouble_falling_a_sleep_Not or rarely,trouble_falling_a_sleep_Usually yes,work_days_a_week,drink_alcohol_with_meals_partial,years_using_mobile_phone_Over 8 years,mobile_phone_side_of_head_Right,alcohol_drink_1-3 times a month,falling_asleep_during_daytime_Not or rarely,moderate_activity_minutes,high_exercise_times_a_month_Two or three times a week,nap_during_day_Usually yes,smoke_tobacco_now_Yes  most or all days,snoring_dont know,smoke_houshold_no,tobacco_past_how_often_I never smoked,smoke_tobacco_now_no,mobile_phone_use_duration_per_week_More than 6 hours,alcohol_drink_In special cases only,drive_faster_often_Never or rarely,high_exercise_times_a_month_Once a week,alcohol_drink_Never,high_exercise_times_a_month_Two or three times in the last month,usual_walking_pace_Slow,easy_getting_up_Its very hard for me to wake up,consider_yourself_morning_evening_Im more of a morning man than an evening,alcohol_drink_Daily or almost daily,drink_alcohol_with_meals_yes,mobile_phone_side_of_head_Equal on both sides,mobile_phone_use_duration_per_week_Less than 5 minutes,usual_walking_pace_Average,pet_present_no,shift_work_prefer not to answer,high_exercise_duration_Between an hour and an hour and a half,why_stop_drinking_Other reasons,tobacco_past_how_often_I smoked sometimes,manual_physical_work_Usually,manual_physical_work_no,easy_getting_up_Does not wake up easily,pet_present_yes,shift_work_no,years_using_mobile_phone_prefer not to answer,mobile_phone_use_duration_per_week_prefer not to answer,high_exercise_duration_Between an hour and a half and two hours,snoring_prefer not to answer,walking_minutes_day,visit_friends_family_times_2-4 times a week,pet_past_yes,trouble_falling_a_sleep_From time to time,mobile_phone_use_duration_per_week_30-59 minutes,visit_friends_family_times_Once a week,visit_friends_family_times_Once every few months,falling_asleep_during_daytime_Often,nap_during_day_prefer not to answer,drive_faster_often_prefer not to answer,climb_staires_tymes_a_day_11-15,easy_getting_up_Wakes up very easily,consider_yourself_morning_evening_Im totally a morning man,nap_during_day_From time to time,falling_asleep_during_daytime_prefer not to answer,consider_yourself_morning_evening_Im more of an evening man than a morning,why_stop_drinking_Medical caution,alcohol_drink_1-2 times a week,smoke_tobacco_now_Only sometimes,drive_faster_often_Most of the time,easy_getting_up_prefer not to answer,mobile_phone_side_of_head_prefer not to answer,drink_alcohol_with_meals_no,manual_physical_work_Sometimes,mobile_phone_use_duration_per_week_4-6 hours,climb_staires_tymes_a_day_6-10,usual_walking_pace_Moderate,manual_physical_work_prefer not to answer,high_exercise_duration_Between a quarter of an hour and half an hour,high_exercise_duration_Between half an hour and an hour,hours_outdoors_winter,hours_outdoors_summer,white_wine_glasses_week,liqueurs_measures_week,hours_driving,falling_asleep_during_daytime_From time to time,hours_using_computer_not_work,tobacco_past_how_often_I smoked most or all days,walking_10min_days_a_week,high_exercise_times_a_month_Four to five times a week,beer_cider_pints_week,work_hours,work_hours_day
AHI,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,False,False,False,True,True,True,False,False
snore_db_mean,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,True,False,True,False,True,True
total_sleep_time,False,False,False,False,True,False,True,False,True,False,False,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False
hrv_time_rmssd_during_night,False,True,True,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,True,True,False,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False,True,False,True,True,True,True,False,False,False,False,False
variability_between_sleep_stage_percents,False,True,False,False,False,True,True,True,False,False,False,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True
hrv_time_rmssd_during_wake,False,True,True,True,True,False,False,False,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,True,False,True,True,True,False,False,False,True,True
saturation_mean,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True
desaturations_mean_nadir,True,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,True,False,False,False
percent_of_supine_sleep,True,True,True,False,False,True,True,True,False,False,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True,False,False
sleep_efficiency,False,True,True,True,False,False,True,True,False,False,False,True,True,True,True,True,True,True,True,False,True,True,False,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,True,True
