,gender,snoring_yes,snoring_no,sleep_hours_in_24H,hours_watching_tv,vigorous_activity_minutes,physical_activity_maderate_days_a_week,usual_walking_pace_Fast,nap_during_day_Not or rarely,trouble_falling_a_sleep_Not or rarely,trouble_falling_a_sleep_Usually yes,work_days_a_week,drink_alcohol_with_meals_partial,years_using_mobile_phone_Over 8 years,mobile_phone_side_of_head_Right,alcohol_drink_1-3 times a month,falling_asleep_during_daytime_Not or rarely,moderate_activity_minutes,high_exercise_times_a_month_Two or three times a week,nap_during_day_Usually yes,smoke_tobacco_now_Yes  most or all days,snoring_dont know,smoke_houshold_no,tobacco_past_how_often_I never smoked,smoke_tobacco_now_no,mobile_phone_use_duration_per_week_More than 6 hours,alcohol_drink_In special cases only,drive_faster_often_Never or rarely,high_exercise_times_a_month_Once a week,alcohol_drink_Never,high_exercise_times_a_month_Two or three times in the last month,usual_walking_pace_Slow,easy_getting_up_Its very hard for me to wake up,consider_yourself_morning_evening_Im more of a morning man than an evening,alcohol_drink_Daily or almost daily,drink_alcohol_with_meals_yes,mobile_phone_side_of_head_Equal on both sides,mobile_phone_use_duration_per_week_Less than 5 minutes,usual_walking_pace_Average,pet_present_no,shift_work_prefer not to answer,high_exercise_duration_Between an hour and an hour and a half,why_stop_drinking_Other reasons,tobacco_past_how_often_I smoked sometimes,manual_physical_work_Usually,manual_physical_work_no,easy_getting_up_Does not wake up easily,pet_present_yes,shift_work_no,years_using_mobile_phone_prefer not to answer,mobile_phone_use_duration_per_week_prefer not to answer,high_exercise_duration_Between an hour and a half and two hours,snoring_prefer not to answer,walking_minutes_day,visit_friends_family_times_2-4 times a week,pet_past_yes,trouble_falling_a_sleep_From time to time,mobile_phone_use_duration_per_week_30-59 minutes,visit_friends_family_times_Once a week,visit_friends_family_times_Once every few months,falling_asleep_during_daytime_Often,nap_during_day_prefer not to answer,drive_faster_often_prefer not to answer,climb_staires_tymes_a_day_11-15,easy_getting_up_Wakes up very easily,consider_yourself_morning_evening_Im totally a morning man,nap_during_day_From time to time,falling_asleep_during_daytime_prefer not to answer,consider_yourself_morning_evening_Im more of an evening man than a morning,why_stop_drinking_Medical caution,alcohol_drink_1-2 times a week,smoke_tobacco_now_Only sometimes,drive_faster_often_Most of the time,easy_getting_up_prefer not to answer,mobile_phone_side_of_head_prefer not to answer,drink_alcohol_with_meals_no,manual_physical_work_Sometimes,mobile_phone_use_duration_per_week_4-6 hours,climb_staires_tymes_a_day_6-10,usual_walking_pace_Moderate,manual_physical_work_prefer not to answer,high_exercise_duration_Between a quarter of an hour and half an hour,high_exercise_duration_Between half an hour and an hour,hours_outdoors_winter,hours_outdoors_summer,white_wine_glasses_week,liqueurs_measures_week,hours_driving,falling_asleep_during_daytime_From time to time,hours_using_computer_not_work,tobacco_past_how_often_I smoked most or all days,walking_10min_days_a_week,high_exercise_times_a_month_Four to five times a week,beer_cider_pints_week,work_hours,work_hours_day
AHI,6.361627366807363e-62,9.37352267936754e-70,8.867048003055774e-65,0.007750327739827574,5.0322150332237734e-18,9.557869952548396e-09,3.473674919259992e-05,4.4620344773669936e-07,1.68462693709661e-05,0.0015836074850062358,0.002494637874639753,0.703024918739876,0.060710507822844775,0.20309680024788737,0.2274375085117747,0.13471222788723863,8.656937852395299e-05,0.00276703810744254,0.006039503527797027,0.0006420612121539108,0.0022973366980967554,0.9984968015021768,0.0027369390913287166,0.5672748322606332,0.0458438981827391,0.02915781167512067,0.3041757148778999,0.29143982795508505,0.854947553243411,0.9841420266675749,0.07271411457285656,0.045213125054174276,0.39815231172101506,0.2981981077869133,5.3132825738341194e-05,0.010259279102265546,0.0024712926018623503,0.005110515942939073,0.006191064066324669,0.0018378200802442372,0.015002342032183459,1.1201624471519252e-05,0.00852333000684368,0.004370526849007948,0.28479062793456983,0.09026782702701547,0.00618696227286819,0.0016477348130631419,0.003636940776105902,0.4054319339297947,0.2078042509861115,0.5272389523311658,0.3079489396729651,0.18593080427233005,0.8889727608767531,0.5381447351518136,0.7786493183814315,0.5788967397435936,0.7012833570171841,0.2746950067123601,0.40375102722526224,0.5643248352593206,0.47386082014619446,0.7641764875466853,0.012354405475375824,0.12891128920723918,0.027234546225380754,0.5467816469891845,0.054922365879817935,0.3071979952833772,0.9065849427038001,0.31871182392739267,0.11719888704343172,0.6843644645336312,0.8843266921348926,0.3587762599990294,0.8240387141531793,0.9518146409987485,0.8293914369008812,0.0027374708439249604,0.12485331911413236,0.49928554186930374,0.03358208922600869,0.009987758801886144,0.8048489626780782,0.022544383354894594,0.004128343918128388,0.0011782031971444313,1.4096267360446332e-05,2.2102562057858413e-06,2.3093041691472885e-09,0.45753536256912153,0.4899492599489451,0.07336084806840491,0.0025814990329386975,0.006749323394271395
snore_db_mean,9.310391359574098e-29,2.507810505357109e-50,1.5845208002739283e-47,0.0070976739363718035,0.0003885295674300768,9.613353772510756e-05,3.079389704729218e-05,0.0007232610579853188,0.011864516644584313,0.3568061309795115,0.0014670838908947203,0.6960138538528418,0.3059500051531542,0.017135483832023908,0.23671110007128526,0.7180143784006074,0.00191948069084692,2.559616743643193e-05,1.0020469855462168e-06,0.0709243853944828,0.15111119708250023,0.5634847703617345,0.5704798102466626,0.15134669676545895,0.1660442593814166,0.13168686830764437,0.5762280739290018,0.9043517280478196,0.12379347269871388,0.18187415432752604,2.6624052077008858e-05,0.0005930054608045924,0.8905778410646797,0.20357206765278435,0.6702358603904695,0.39056265871775275,0.4518937343295635,0.3210801562302806,0.47470340681672385,0.19183612835697306,0.35928086536662385,0.1803436014534491,0.40953874036661086,0.5377204278192231,0.8099823450761926,0.05911934367297862,0.8440668009722169,0.06079735695465753,0.0331614031918945,0.5085551677332036,0.9730218597497735,0.5261544628540381,0.2999804734469371,0.6132563699002663,0.36579893577837785,0.6129380412248163,0.003532748870722519,0.010593644446960471,0.006186691903147448,0.3088258870256993,0.242233358492322,0.758246645104169,0.8501867430785603,0.7364232694024186,0.43450023455894105,0.2815011203101526,0.27039195997211213,0.1751541317037102,0.47195534962300123,0.6124771390054624,0.055621647718629645,0.8602573233488837,0.35789537476634237,0.7735521110743637,0.6749101491256894,0.12931321889685515,0.2741852241981032,0.381576351745442,0.16796526632227704,0.09386945614217417,0.3537838359354756,0.35172388961100776,0.38987347622055535,0.0010006261503693104,0.0025165460817952066,0.007790747450849682,0.0064924101555923165,0.05163464835492895,0.18251455441761114,1.1208654226247773e-05,0.028016071745283283,0.01537431688026002,0.5858188199188278,0.015069109476263337,0.02440580872672915,0.0940686468473773
total_sleep_time,3.86407379978435e-21,0.00503860455385866,0.007808252211868635,6.595464505052322e-81,0.534558470305635,0.012311255009634188,0.5986960315060545,0.0064332311686608416,0.05059216992562391,0.002200333681211526,0.0007904830360415154,3.342564380166349e-06,0.4612670319126255,0.5414278396417,0.0643654411260487,0.4245201095755635,0.0005954780338883788,0.5420056705354932,0.9859076247008319,0.008760919449799275,0.08370858908500034,0.30676262076852456,0.9156683053233352,0.21961683601056547,0.021905967748578163,0.1510336360999158,0.0222820262811438,0.008869404533907521,0.11822251795890311,0.5014134967610528,0.4066861092567955,0.014086546357444827,8.899516093909476e-06,0.003233143097149555,0.10396178035810731,0.2961269330530284,0.48759804669902973,0.5002406474298479,0.07222507298668704,0.1124690134895878,0.02771505730379883,0.1745281743887988,0.3213287508920021,0.9710732777335873,0.8660768313627396,0.3085684906223766,0.13625514601126257,0.1487700086833801,0.3258400621002434,0.005683722135372598,0.026441101682606976,0.1928848111155574,0.46532915532260033,0.0257489640234071,0.8337408898623269,0.7918309174426118,0.3550463571402136,0.42264321733926147,0.3041675202045499,0.004369979912992671,0.005727102650539359,0.00955880997483379,0.014039913751882543,0.013293129042261698,0.0005523900581223204,0.0009061142412629597,0.7632258685428674,0.06662522618531015,0.07219947465637605,0.010835994421563149,0.3197122255091768,0.025189484438250503,0.18560087668075304,0.20410172406813046,0.26876150000925236,0.42586306155693876,0.12252351958497627,0.25239023104426617,0.3312234727724447,0.36219823814603336,0.009672170843331378,0.4005442049552207,0.9843749171226779,0.00816921162498263,0.0015529109234367021,0.012159133487987655,0.009003785046725376,0.0002728521811266533,0.0012916139639642381,0.7349426736301565,0.8570781147659062,0.010479646486962375,0.07723076910595467,5.9848880491621664e-05,2.4394141449538132e-05,9.718013651737408e-07
hrv_time_rmssd_during_night,4.999991194324759e-87,0.7382008758953973,0.3630550711286076,0.0001548212001432521,4.296269059638956e-05,2.9509522782612293e-29,8.235367249678304e-13,3.002017530079466e-07,0.6981700832998337,0.3913307245944485,0.46252219570570263,0.23894894671978112,8.511118641227238e-06,0.040222873478798805,0.3531682724170513,0.18900787456114865,0.2366993248205429,0.0017568147601771497,0.30913360200833906,0.519405597684224,0.00619869445968318,0.14903720874816243,0.0015448697716666153,0.006579066780829702,1.107279089069292e-07,0.25919756371056507,0.014299432179313171,0.0001625861672695758,0.010153307641222952,0.002962574972583544,0.6199762881851044,0.1664843003488296,0.3950567184337007,0.14985104044246453,0.048299457864598334,0.08223316260058931,0.9254868463868076,0.905171158776912,0.03927372535211431,0.34264728464936245,0.9418636308490742,0.035142170919103724,0.9291176085429728,0.49196873682857756,0.3107788993599595,0.6415171390161035,0.04271018011133919,0.3294280814349546,0.17180592202151385,0.01938861189298041,0.04787768944264208,0.0247567629275735,0.461505128003342,0.03300499831188665,0.9102581825262034,0.6086798530038036,0.5201816736232914,0.5273653956373674,0.8275514500879511,0.8927873567501592,0.0921208754137411,0.12750236458438532,0.04380798395063581,0.5380097952112249,0.7650521330597138,0.7608615693738261,0.6941186199627476,0.11476476325592408,0.4658971101923609,0.007317831229833425,0.00025670816064684286,0.0009523028504508809,0.014368494048880544,0.012805983447630575,0.0028263909156375708,0.005597720885289038,0.004840197507756517,0.7728136764225318,0.9147472184253471,1.9640797583995087e-05,0.6989429835387704,0.032446341918135634,0.46743519908386155,0.0018773291351598669,0.009008819990132503,0.0871890233684139,0.0024444479315480906,0.08605970872900853,0.28020883226993076,0.9671331370131795,0.36646174755789707,1.9229786431081544e-09,9.256568730236847e-09,1.9468902235046983e-09,3.186684234989485e-05,0.00012444761405019708
variability_between_sleep_stage_percents,1.4191628945829312e-13,0.11694561323590877,0.005636521677366732,0.00028042748141420264,0.010535860896774824,0.030024320818841623,0.06284296461959671,0.16999055477899808,0.0062140427592503765,0.0001640942744100355,0.001066213389464809,0.18208475942924135,0.04497256865291481,0.9091159200601464,0.013584268057857382,0.2245240202187815,0.07842186928337772,0.8774596618516259,0.7586375528980607,0.10353190961291424,0.0014369630879665506,1.2883796770602861e-05,0.9650530965366806,0.20772931070763592,0.18204426671054078,0.044062453707122085,0.9803363501414275,0.023639376324697512,0.24752917171606312,0.37976845757737754,0.08189291018958891,0.5838962217415772,0.5735135991151861,0.38199516302861103,0.002617339589657644,0.0319795983024968,0.9186692072503975,0.4938025344056207,0.6769498556870628,0.16623336356540325,0.07863029340801739,0.9596646836723721,0.12328988933235456,0.24186468245443707,0.1505794374792484,0.6356132608199317,0.37571636492359173,0.13528554264218937,0.875944051356808,0.7501630708693093,0.9998269314748256,0.9401517743557708,0.45254051006801554,0.9276106530019613,0.3092665852735072,0.6884993701413665,0.7059855540189897,0.03907184149400559,0.16242715673404184,0.9485568546195242,0.1882306169938711,0.5721173067618661,0.5223455473938454,0.5101115752422987,0.06613669630390212,0.4520979123852764,0.0012280831210226574,0.6977815128170457,0.5124716181396172,0.19732866327986587,0.3984493123316143,0.6213196624388296,0.4680767826570701,0.39903601334313243,0.10914980265328121,0.25514539256128743,0.797035117897102,0.029882445925175895,0.95940836354146,0.050389676832593974,0.8203019848828371,0.43208269717372294,0.12421369603189066,0.07753899658531016,0.5058173452781319,0.03815759244695297,0.4217046523608481,0.5133033198414536,0.3902602644572616,0.03222974403657554,0.8363853683838882,0.0020386072541760236,0.010811489086050525,0.20012326288669735,0.5591122741386174,0.48469765589684777
hrv_time_rmssd_during_wake,1.2155542664894957e-22,0.16116545790528508,0.7884546853996115,0.03632350532870098,0.07936331729849976,6.031019758272474e-09,4.739854656065643e-06,0.0006965299717780081,0.6671550657448944,0.0057073523403398385,0.19278360458551683,0.24195151408320342,0.04292923147874667,0.8626112202963574,0.09827646436326688,0.3801089404735458,0.7362344119697521,0.009322994353092313,0.2977427610162684,0.36628744390360257,0.07857689873967576,0.19755674340507293,0.07292434465848563,0.42796050141285746,0.48253754662800574,0.0025075941146440973,0.010571336871879193,0.24342009525921454,0.16539648098170082,0.46407590318098824,0.580547296980358,0.3129043545584391,0.11789736751657223,0.5685655980743387,0.9234694565574637,0.29999409758185636,0.6170942834864117,0.91284706697461,0.09311226127463586,0.18191644393723674,0.38051316132713786,0.4332374812517473,0.38690531084085555,0.3519214345513739,0.5641562762278691,0.5316381113401241,0.007631396827403463,0.43069778349863097,0.27679574937411516,0.003364479029748442,0.001110861234547963,0.0077783918724909935,0.007729049708113858,0.03198013624807738,0.9173183987273842,0.7814350731649475,0.24744618446678546,0.9967094958635108,0.6267871951621325,0.3685175260433211,0.14751466820909898,0.5386119809043266,0.27707888089987165,0.8546691089027527,0.08645986300624274,0.23514354929011677,0.4970850002821027,0.1290399159237669,0.01814647937919473,0.34308188264348083,0.08586622794821587,0.39707519688571324,0.9339157785589625,0.15021832786555173,0.12197798528436915,0.07045850469024269,0.3115916376398368,0.6962464149368404,0.3513186635373732,0.006253622077665378,0.8364609679397513,0.28008943795060354,0.6375748601692659,0.0019188813799009103,0.013589981435175104,0.002383661847415965,0.035466782688664086,0.006005033872347574,0.3645218665352058,0.22130999963761833,0.1525340463312275,5.4981674331393455e-06,1.1109512658524188e-05,0.004119882262476637,0.5929866643502177,0.5339112533640646
saturation_mean,4.4090921536075964e-16,9.564640098634927e-25,1.7655243922935638e-32,0.021202094756485518,5.261067201416255e-15,2.1172362204095466e-08,1.789177465170545e-06,7.194054953961549e-10,6.943195176755739e-05,0.019597947510416443,0.01292495269450337,0.009169226488802288,0.00019398670379408282,2.277428706159297e-11,3.6580455067726006e-07,0.0003627701137038939,0.004265153911816444,0.03359367233051048,0.03207230798989785,0.017462780277452357,0.07272748761216587,0.04225308243057414,0.13029478415227416,0.043735163738487744,0.10482695541852675,0.5158271746905393,0.36999864341385336,0.7009918802029849,0.46050282790733044,0.2906752045785989,0.16057895000914418,0.08135112069132386,0.7584497779472763,0.6933217084002203,0.31416026690101034,0.6355536845783385,0.8317123244560202,0.35922912069807855,0.0012401525594136129,0.0024675132541453586,0.00031023789984432144,0.06867729594332111,0.06454104522752334,0.10751558854525482,0.007259565457101896,0.0006823744404277449,0.00845293062777251,0.0007674650500260881,0.001364081868163532,0.06645988483213143,0.04288878090233548,0.2198242584992318,0.031813080031699255,0.49203127524545465,0.35886846426134433,0.5058726052146627,0.6224232250399586,0.22563096720412634,0.346509455067855,0.7666243350822153,0.728533827258406,0.2896701682478554,0.8769075593449613,0.3336037090269113,0.02155183897699613,0.07826550086234903,0.06495860807289877,0.5827418379100755,0.09877385615674424,0.3644318694386448,0.017808376015930258,0.8790416812378383,0.42179243643900655,0.15791556621497876,0.28551269209712443,0.03364155148782474,0.09038629875679605,0.04185562990843083,0.1574550317090713,0.00397421031701784,0.00013557809775964646,0.010426596585720618,0.00012842074090815302,0.014750954901183881,0.6169495660148264,0.008518782337751683,0.000278052528356053,0.005095808543679924,0.0056466287904579655,1.5800506094834383e-05,1.1952941888380575e-08,0.028673820503991237,0.057457707393484055,0.01907029889003609,0.2009784470650305,0.12839221494146458
desaturations_mean_nadir,0.4488216068620988,1.5421570117233368e-13,1.2097347033207453e-13,0.005811900715382438,4.591864042344042e-05,0.0009104967614809202,0.018860318212685884,1.4133593131029196e-08,0.26275370018096095,0.4309578249828264,0.4362827971825889,0.00013942643533964086,0.0005098190569050037,6.298608460487486e-10,0.0010951968300692977,0.0002667835044040003,0.007483381467930277,0.7298361700444518,0.4847553140017319,0.23749700836697593,0.10673784511849976,0.9148641448432095,0.38825430160085506,0.02032300149754119,0.5090244952745724,0.5398190253402577,0.03055898251912545,0.1659054367917703,0.9490575459522628,0.19230930500099327,0.7280795713141656,0.019332686334756485,0.9993286614864331,0.523282217041553,0.29086391674650547,0.36184266403757726,0.9665191132343549,0.8118913139729187,0.008508572798471899,0.922927771407474,0.0749465601929325,0.12070576022705942,0.4294236784754527,0.3826372863426578,0.7300418285791697,0.021812785049195215,0.09089173639579644,0.6200598749705641,0.018254749305268648,0.059462192793404006,0.11772077098573616,0.19655482805042085,0.44213964451263454,0.5721062630887799,0.6270206552268596,0.21269399516317727,0.5849629465556748,0.3232039761298161,0.8469798670042351,0.6607655295164265,0.913407897121843,0.06933300017826764,0.1720465442276084,0.5939990818915257,0.12192239468925888,0.31328534933828184,0.4796801056837817,0.42480673633084,0.8758469329669565,0.7483661027627861,0.018578999456800933,0.21860394529377353,0.4637019099387435,0.20036025460097193,0.2937138729917523,0.07365461028665793,0.55928093066681,0.004050207273974353,0.9414675724723893,0.0012981399707800475,0.006474834865426428,0.005016909042448277,7.54995163992973e-06,0.007468145400232822,0.026810078437598812,0.007888121102847694,0.21368813360037145,0.2837366402695982,0.013671458950855534,0.0013746425495645453,1.6789033080202675e-05,0.42814100627665796,0.0730619023741251,0.003625327753666714,0.00036505479176166797,0.0004454563492602152
percent_of_supine_sleep,0.06823514852779439,0.03530672973859044,0.9382121214485157,3.882453210665859e-06,0.005354019143629609,0.22737769993455448,0.15179986716904223,0.737231728795232,0.009551908621124183,3.900177669974599e-07,0.03784315341273177,0.11952031382856333,0.18102848778240213,0.5764125654497139,0.3455478053747798,0.22657113441908722,0.0048492790269816675,0.1854705681343838,0.3016447068683368,0.001698562053715301,0.2812558744410612,0.747451215026407,0.9911228574437111,0.27594717495230875,0.6573304271962599,0.5611580339427122,0.8335791410761658,0.1766465399874628,0.6705184640274385,0.8723689554098564,0.2681056699771513,0.7245076647844306,0.038865002705823715,0.7977386374515407,0.012906294492033215,0.1389821537975933,0.7772583036097779,0.9924225620012157,0.8731499435588798,0.2537093197444319,0.031414557135691815,0.5089020016365773,0.20147080033192855,0.4008209319113908,0.34210536399225333,0.607815335687781,0.25892058968918297,0.19568256638624013,0.8736476984804563,0.4580470399658634,0.06143512787414036,0.3976166937889761,0.14836682191800094,0.7413362333705706,0.8025276807317483,0.09312599339592005,0.025168866132382797,0.37741106610080144,0.9362930813321934,0.2455988102491684,0.08234576735267829,0.05669809457809615,0.17810042893840838,0.7582227283114684,0.22471746139445048,0.3707782220867666,0.5656890074410176,0.009231108188760157,0.0003799818271817956,0.4600331875865019,0.3652008169180827,0.37802740357119213,0.3350101245033683,0.07885327011026293,0.20844075758165093,0.1356523472007193,0.8888652130044897,0.821851317088363,0.7063254314857115,0.44024181948153207,0.0059238577678479565,0.9772783345226268,0.6817647587800326,0.6433301922746776,0.2089137853623283,0.5198203607835554,0.505007032255365,0.06263161971518626,0.0013329619157413702,0.009132388442943151,0.34462814111556705,0.05711468517855333,0.8250828512113585,0.6257256625601664,0.0009605631809235966,0.002977471506878199
sleep_efficiency,4.745892825893751e-09,0.472508430695591,0.21081300860434207,0.082307674739488,2.697089431528543e-05,0.0018789286492523853,0.03736992979430406,0.09728799093257003,8.445070536395893e-05,2.477950076549145e-23,7.299078454514543e-16,0.2324913672215456,0.6277733996938258,0.6970870626170149,0.6569162248136704,0.03353753825544463,0.12494776193668933,0.2560691510869698,0.38198391095159756,5.59786428585463e-05,0.19507227922129433,0.34909493574987815,0.0005755628621260465,0.0006774122169248977,0.0011386524008178223,0.03179705975552347,0.493997675110897,0.02046608287948249,0.023237658969291853,0.1869067136690182,0.11557473064408182,0.549528369133085,0.013719253305344504,0.311263913596815,0.43689193940386584,0.48738534992671545,0.28567736268470895,0.43444898499374784,0.16797394416015352,0.045238976987121524,0.029360185297826597,0.9721194724600566,0.10842974575118369,0.06974181425572284,0.06150595547613577,0.5338369013518678,0.9574488730479195,0.01842371983494818,0.26471020944654855,0.22621419730299872,0.36409078345078816,0.042481651701300395,0.6637607891114898,0.002611926141802251,0.009806125672269222,0.01121099816576143,0.011843597861035464,0.550182435185286,0.09993422110538723,0.12009956855280028,0.026917804071062597,0.49896162991416604,0.8695461180956386,0.1092171523398449,0.0013102934220351645,0.0023089033065662574,0.10043639526992805,0.6632569797134333,0.06969375907172307,0.6986495371530992,0.10453124288160036,0.05293518967669984,0.0372788607154204,0.9321127700417838,0.9044083588723808,0.15602110404762187,0.02218998509995804,0.9396534750124725,0.006074092603573541,0.8933648665330896,0.3573337792768724,0.8793517702551601,0.4935565418887824,1.4922770994331348e-07,0.03004145224617627,0.02222110425930447,0.19119531615234223,0.028371519617611363,0.5439400932506522,0.1729712956661657,0.00015732893569093146,1.5932933502689997e-05,0.0005457265109843195,0.03434145401036172,0.03819507942498268,0.06323793919218403
