,gender,HMGCoAreductaseinhibitorsplainlipidmodifyingdrugs,OtherantidepressantsinATC,Selectiveserotoninreuptakeinhibitors,Benzodiazepinederivativeanxiolytics,Progestogensystemichormonalcontraceptives,Progestogensandestrogenssystemiccontraceptivessequentialpreparations,ProtonpumpinhibitorsforpepticulcerandGORD,ACEinhibitorsandcalciumchannelblockers,Preparationsinhibitinguricacidproduction,Thiazidesplain,VitaminBn12ncyanocobalaminandanalogues,Progestogensandestrogenssequentialpreparations,Glucagonlikepeptide1GLP1analogues,IRONANTIANEMICPREPARATIONS,AngiotensinIIreceptorblockersARBsplain,Drugsusedinerectiledysfunction,Alphaadrenoreceptorantagonistsbenignprostatichypertrophy,Fibrateslipidmodifyingdrugsplain,Dihydropyridinederivativeselectivecalciumchannelblockerswithmainlyvasculareffects,Betablockingagentsselective,ACEinhibitorsplain,AngiotensinIIreceptorblockersARBsandcalciumchannelblockers,Plateletaggregationinhibitorsexclheparin
saturation_mean,-0.10674538445261307,-0.08141270044800214,0.0,0.0,0.0,0.0321953184522155,0.04284997454739501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06240863800619737,-0.044069675661116144,-0.03787518745872234,-0.03749351059889249,-0.044237201227230134,-0.035318291166749345,-0.051831774713601994,-0.0481526675668553,-0.04605871781742619
total_sleep_time,-0.1316190800610484,0.0,0.0,0.05462803709722087,0.0,0.0,0.0,0.0,0.0,0.0,0.03508342571040977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sleep_efficiency,-0.0777745374621574,-0.04947581998483226,0.0,0.0,0.0,0.0,0.0,-0.039371889310369404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.035226206459977066,0.0,-0.03588345288978231,0.0,0.0,0.0,0.0,0.0,0.0
desaturations_mean_nadir,0.0,-0.043965834211201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041469821518278036,0.0,0.0,-0.03917950449192069,0.0,0.0,0.0,0.0,0.0
percent_of_supine_sleep,0.0,-0.0318274525944494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034739122183109025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHI,0.21803814183740344,0.13154876296660975,0.0,0.03309476029008217,-0.03799939412282137,-0.034182032672067084,-0.043509243551993045,0.038938175075448535,0.031996934084854864,0.04394793030406173,0.0,0.0,0.0,0.0,0.0,0.058830180421126144,0.0,0.03281788560405404,0.035209052700467806,0.05634187324418192,0.06405675236576293,0.06564934274920836,0.06520389765992961,0.06361063496878983
hrv_time_rmssd_during_night,0.2746377689648703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03338109058066534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
variability_between_sleep_stage_percents,0.0989587172375817,0.037210792704469406,0.059207661435939446,0.06388565843435653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03239042935000434,-0.03495739541719076,0.0,0.0,0.032317518155311156,0.0,0.0,0.0,0.0,0.0,0.0
snore_db_mean,0.1511909579440843,0.06542689012267493,0.0,0.03479383527262109,0.0,0.0,0.0,0.0,0.0,0.03617077662452136,0.0,0.0,0.0,0.0,0.0,0.05053453920743218,0.04436191833251049,0.0,0.0,0.03342044693434695,0.0,0.0,0.0,0.0
hrv_time_rmssd_during_wake,0.13248959002895078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
