,gender,HMGCoAreductaseinhibitorsplainlipidmodifyingdrugs,OtherantidepressantsinATC,Selectiveserotoninreuptakeinhibitors,Benzodiazepinederivativeanxiolytics,Progestogensystemichormonalcontraceptives,Progestogensandestrogenssystemiccontraceptivessequentialpreparations,ProtonpumpinhibitorsforpepticulcerandGORD,ACEinhibitorsandcalciumchannelblockers,Preparationsinhibitinguricacidproduction,Thiazidesplain,VitaminBn12ncyanocobalaminandanalogues,Progestogensandestrogenssequentialpreparations,Glucagonlikepeptide1GLP1analogues,IRONANTIANEMICPREPARATIONS,AngiotensinIIreceptorblockersARBsplain,Drugsusedinerectiledysfunction,Alphaadrenoreceptorantagonistsbenignprostatichypertrophy,Fibrateslipidmodifyingdrugsplain,Dihydropyridinederivativeselectivecalciumchannelblockerswithmainlyvasculareffects,Betablockingagentsselective,ACEinhibitorsplain,AngiotensinIIreceptorblockersARBsandcalciumchannelblockers,Plateletaggregationinhibitorsexclheparin
saturation_mean,4.813218749473776e-19,1.1037851236589722e-11,0.197948522187419,0.9434970834853802,0.0827709748150396,0.007311857977464582,0.0003560484613478627,0.18527389196517816,0.03243906554758757,0.01066994579093994,0.07893457727521605,0.7516157440372881,0.7840475158013389,0.06827614543856073,0.04261611282862902,1.9589529072460007e-07,0.00024026400343695538,0.0016004794520369321,0.0017841351072958621,0.00022745383293751393,0.003254297962943025,1.5598807397954672e-05,5.9940917164357345e-05,0.00012386694432596468
total_sleep_time,3.3935232713064904e-28,0.853102444047888,0.15697883887171335,5.2770751917424e-06,0.06585847961477635,0.5080072269391989,0.6603041078988321,0.9395901541995253,0.2600246237212125,0.32385704611185717,0.0034661369210564185,0.06229807174824377,0.3955179677613053,0.9883472905175461,0.297240350280432,0.5925009160606922,0.20654838758761362,0.13022249939444008,0.03807977117759148,0.3972995100177934,0.5565194441272172,0.43709262245295666,0.5436318959801798,0.40752015202951275
sleep_efficiency,8.709965438456826e-11,3.7324237336894485e-05,0.08892445776387452,0.13583884974352628,0.6535171833861417,0.4111583446118554,0.31833443833727737,0.0010357852212903862,0.48355758812298666,0.7680682338838686,0.40969274818249113,0.16956956444084445,0.08435833505540383,0.394180470741496,0.1956705306108333,0.003335907836609671,0.06809481195727868,0.002792012747662977,0.6777647494465524,0.553533830387591,0.04571704616367057,0.8236248168364078,0.2183024363926339,0.018165856903252734
desaturations_mean_nadir,0.07172120135814411,0.00026413933496730876,0.23156925779336618,0.8189820855077461,0.9692783347096692,0.04435271675996775,0.399794050748306,0.9201170895015149,0.34121577591593644,0.3126089668562646,0.5696371959298179,0.45142107917275887,0.5163281966299551,0.2628228153922805,0.9035701731209502,0.0005798873229295363,0.04697209779424814,0.056892520307334396,0.001151343207070534,0.022234828498901998,0.11946513979311556,0.012059420495942823,0.015315362314696667,0.24939656360438764
percent_of_supine_sleep,0.04626189467769527,0.008760442186255034,0.70110493940467,0.2799006737093711,0.7942479666442982,0.9655614477244494,0.32385382690802966,0.7941950297876368,0.8130923232348776,0.32186163574980076,0.8066175336957314,0.004220358787914423,0.4680261564219934,0.04730116390136945,0.5831057712183011,0.08147515117978209,0.9669273709583354,0.7870650463048643,0.19261243119146898,0.5071540701153125,0.8403628483003349,0.5555806001283811,0.17944891034072463,0.1255337151308805
AHI,1.8192519847437405e-75,3.624513723997854e-28,0.10904662218540451,0.005828573165613687,0.001544573478030022,0.0044007327025909135,0.0002882089458922247,0.0011767542240161519,0.00768144733593647,0.00024999478775211936,0.016700056232333744,0.38712149392409667,0.9875046579367567,0.38107703723647124,0.06635190085929432,9.375586549907151e-07,0.018989777219416352,0.006253347730930916,0.0033513146434092666,2.6460721459189567e-06,9.249728497396385e-08,4.4011837844670104e-08,5.426833646895136e-08,1.1353687076260999e-07
hrv_time_rmssd_during_night,1.3607922679572058e-118,0.7459452208881582,0.8791733353461643,0.30845578287667413,0.8817416969578131,0.3439357786736166,0.010084534870350145,0.49223313655827505,0.35535764563105954,0.7523660436578088,0.1787241622366983,0.16606785774149904,0.005769167330446767,0.3642236797381061,0.05583948168197965,0.14432725000167385,0.12772763975071202,0.06827398794826871,0.047647935916510606,0.18401789359889903,0.8012484377203591,0.6604997015635832,0.5106837402790446,0.7118536449136674
variability_between_sleep_stage_percents,1.5193102272975433e-16,0.0019514986963647856,8.172280935666659e-07,1.0286374960702197e-07,0.09465714010491294,0.2692326560031016,0.4397562773665419,0.6315056299955579,0.3484885242937168,0.03222975205990255,0.6447440936795382,0.2096040405021718,0.9730356883688844,0.0070171144090948046,0.0036163773285240192,0.11875739158144819,0.26714548211680617,0.0071460799911761755,0.1075571307874074,0.6772548868734688,0.806615327438355,0.5745895570403824,0.45863610703432844,0.10081323865142744
snore_db_mean,5.7486015752521436e-36,6.933745285627304e-08,0.11790039234749622,0.004160716917025804,0.5327199399607074,0.1772341487450807,0.1424312801110622,0.6002812222079591,0.5574340692317494,0.002890076633646237,0.6593792491468288,0.9677185933276602,0.27064671678784674,0.8288654793690905,0.7107064624185582,3.133251776248656e-05,0.000257725636618736,0.6388961425156472,0.21319581868763884,0.005913632475425281,0.5232449167173314,0.011017110854960032,0.040456631249651744,0.06044860748340041
hrv_time_rmssd_during_wake,7.7381406090486e-28,0.278991740325824,0.7642325076343328,0.08704701396935226,0.373704772966717,0.5658794427421036,0.02958188205870095,0.08346565153217371,0.18466990049017706,0.8719695183930265,0.7096866158003242,0.9787927741799468,0.03407927962671528,0.03940975955860069,0.4900340495271762,0.16581748620835732,0.7288939799596283,0.05880062558078336,0.3574830395566473,0.6513074623404049,0.6853607745888206,0.5312908109757537,0.2988686027593564,0.7260405586247687
