,0
 PES PLANUS,4
AV. Conduction Disorder,3
Adrenal Adenoma,2
Allergy,969
Anal abscess,32
Anal fissure,308
Anemia,228
Anxiety,161
Aortic Aneurism,1
Asthma,249
Atherosclerotic disease,9
Atopic dermatitis,147
Atrial Fibrillation,2
Attention Deficit Disorder (ADHD),890
B12 deficiency,277
Back pain ,1027
Barrett's esophagus,2
Basal Cell Carcinoma,88
Bipolar Disorder,1
Breast Cancer,1
Breast fibrocystic change,2
COPD,11
COVID-19,435
Cardiac arrest,0
Celiac,13
Cervical cancer ,0
Chronic sinusitis,161
Colorectal Carcinoma,1
Constipation,0
Depression,152
Diabetes,20
Diaphragmatic hernia,22
Eating Disorder,0
Endometriosis and Adenomyosis,56
Episodic Vertigo,155
Erectile Dysfunction,18
Esophagitis,4
FMF,10
Fatty Liver Disease,271
Fibromyalgia,65
Folic Acid Deficiency,40
Food Allergy,1
Fracture,481
G6PD,49
Gallbladder Polyp,4
Gallstone disease,183
Gestational diabetes,6
Glaucoma,40
Goiter,16
Gout,65
Haemangioma,6
Haemorrhoids,1050
Hashimoto,39
Headache,106
Hearing loss,185
Heart Failure,0
Heart valve disease,66
Hydrocephalus,3
Hypercoagulability ,18
Hyperlipidemia,1066
Hyperparathyroidism,11
Hypertension,508
Hyperthyroidism,70
Hypothyroidism,315
Inflammatory Bowel Dis. (IBD),3
Insomnia,76
Intervertebral disc disease,18
Intervertebral disc stenosis cervical region,1
Iron Def,9
Irritable Bowel Syndrome (IBS),143
Ischemic Heart Disease,24
Keratoconus,12
Lactose Intolerance,20
Loss of consciousness,13
Lung Cancer,0
Lymphoma,0
Melanoma,10
Meniscus Tears,13
Migraine,298
Myocarditis,5
Nearsightedness (myopia),13
Neuropathy,0
Obesity,295
Ocular hypertension,5
Oral aphthae,212
Osteoarthritis,139
Osteopenia,137
Osteoporosis,72
Overweight ,3
Parathyroid Adenoma,1
Parkinson's Dis.,0
Past Malaria,11
Peptic Dis,91
Peptic Ulcer Disease,500
Perimenopausal Disorders,3
Pituitary Gland Adenoma,1
Polycystic Ovary Disease,134
Post Trauma (PTSD),1
Prediabetes,403
Primary hypercholesterolaemia,32
Prostate cancer,0
Proteinuria,3
Psoriasis,138
Pulmonary Embolism,0
Pulmonary Hypertension,0
Renal stones ,19
Retinal detachment,28
Skin rash,20
Sleep Apnea,85
Squamous Call Carcinoma,16
Stroke,1
Tendon injury,2
Tendon rupture,2
Tenosynovitis,3
Testicular cancer,0
Thalassemia,29
Thyroid Adenoma,2
Thyroid cancer,0
Tinnitus,8
Urinary Incontinence,1
Urinary tract infection,472
Urinary tract stones,166
Uterine Fibroid/ Leiomyomas,7
Uveitis,10
Vertigo,3
Vitamin D deficiency,5
Vitiligo,36
