,Age & BMI,"HRV at baseline
"
Allergy,0.0,0.002989204495973133
Anal abscess,0.0,0.00021704839240275462
Anal fissure,0.0,0.0009426574793433857
Anemia,0.0,0.002052964125364459
Anxiety,0.0,0.0003520975454981786
Asthma,0.0,0.00032752984295143507
Atopic dermatitis,0.0,0.002613567639153257
Attention Deficit Disorder (ADHD),0.0,0.0021371379435030325
B12 deficiency,0.0,0.00032816072550994143
Back pain ,0.0,0.0022347519427734215
Basal Cell Carcinoma,0.0,0.0002556514854296228
COVID-19,0.0,0.0022396215268243847
Chronic sinusitis,0.0,0.0002689512414373323
Depression,0.0,0.0002173256452234107
Episodic Vertigo,0.0,0.00021729388080020086
Fatty Liver Disease,0.0007803689247218,0.0016885088365680583
Fracture,0.0,0.0010482797943068111
G6PD,0.0,0.00024356875135399621
Gallstone disease,0.0,0.00023119847308539264
Glaucoma,0.0,0.00021578489551688754
Gout,0.0,0.00033789426511541247
Haemorrhoids,0.0,0.002040376915534739
Headache,0.0,0.0002754783876522264
Hearing loss,0.0,0.0040159911302272274
Heart valve disease,0.0,0.00021698640042558322
Hyperlipidemia,0.0024520399113859676,0.004119580629887217
Hypertension,0.0023352740115096748,0.0040766585415503475
Hypothyroidism,0.0,0.00026358234222842425
Insomnia,0.0,0.0002057045021789763
Irritable Bowel Syndrome (IBS),0.0,0.0001974761479926841
Migraine,0.0,0.0009582979228952043
Obesity,0.005079572371245809,0.006496591793900038
Oral aphthae,0.0,0.00028107175995971954
Osteoarthritis,0.0,0.00022010397746708191
Peptic Dis,0.0,0.00022590741692247055
Peptic Ulcer Disease,0.0,0.0004611891851327986
Prediabetes,0.00017723623551875784,0.0018192861980762239
Psoriasis,0.0,0.0002694186849458628
Sleep Apnea,7.763971680685517e-05,0.00029065837501831714
Urinary tract stones,0.0,0.00027602935460660825
Vitiligo,0.0,0.00021457027727146179
