,Age & BMI,"Sleep Quality at baseline
"
Allergy,0.5,0.4986800422386483
Anal fissure,0.5,0.4995579133510168
Anemia,0.5,0.4995501574448943
Anxiety,0.5,0.5096986884083659
Asthma,0.5,0.4993452640768223
Atopic dermatitis,0.5,0.4997858672376873
Attention Deficit Disorder (ADHD),0.5,0.5011538461538462
B12 deficiency,0.5,0.4997779751332149
Back pain ,0.5,0.5039511846548319
Basal Cell Carcinoma,0.5,0.5
COVID-19,0.5,0.4995446265938069
Chronic sinusitis,0.5,0.4997839239412273
Depression,0.5,0.5043523316062176
Endometriosis and Adenomyosis,0.5,0.4997881355932203
Episodic Vertigo,0.5,0.4997822299651568
Fatty Liver Disease,0.5,0.5095569720554313
Fibromyalgia,0.5,0.4993652137113838
Folic Acid Deficiency,0.5,0.4997907949790795
Fracture,0.5,0.4984025559105431
G6PD,0.5,0.5
Gallstone disease,0.5,0.4993449781659388
Glaucoma,0.5,0.4997913188647746
Haemorrhoids,0.5,0.5008584648930782
Hashimoto,0.5,0.5
Headache,0.5,0.4997866894197952
Hearing loss,0.5,0.4997853155860884
Heart valve disease,0.5,0.4997904442581726
Hyperlipidemia,0.5035334615182313,0.5180717328922838
Hypertension,0.5039696543854273,0.5147427701995921
Hyperthyroidism,0.5,0.4994703389830508
Hypothyroidism,0.5,0.499302649930265
Insomnia,0.5,0.49968300929839393
Irritable Bowel Syndrome (IBS),0.5,0.4995715509854327
Migraine,0.5,0.49943078324225865
Obesity,0.641567762147182,0.6416317739554779
Oral aphthae,0.5,0.4995655951346655
Osteoarthritis,0.5,0.499140154772141
Osteopenia,0.5076282159545122,0.5181979395372402
Osteoporosis,0.5,0.4998936170212766
Peptic Dis,0.5,0.5
Peptic Ulcer Disease,0.5,0.49910968981527704
Polycystic Ovary Disease,0.5,0.4997809899255366
Prediabetes,0.5,0.5060333247412417
Primary hypercholesterolaemia,0.5,0.5
Psoriasis,0.5,0.4991471215351812
Sleep Apnea,0.5,0.525272819094043
Urinary tract infection,0.5,0.4989733059548255
Urinary tract stones,0.5,0.4991593106347204
Vitiligo,0.5,0.4997914929107589
