,Age & BMI,"Sleep Quality at baseline
"
Sleep Apnea,0.5,0.525272819094043
Osteopenia,0.5076282159545122,0.5213575972527162
Hyperlipidemia,0.5035334615182313,0.5172397973198057
Hypertension,0.5039696543854273,0.5150835244022272
Anxiety,0.5,0.5095911615266453
Prediabetes,0.5,0.5081100961266433
Osteoporosis,0.5,0.5067246937459703
Back pain ,0.5,0.5047425532671641
Depression,0.5,0.5045682210708118
Fatty Liver Disease,0.5,0.5040235248542903
Osteoarthritis,0.5,0.5038358650998376
Oral aphthae,0.5,0.5032999527489446
Attention Deficit Disorder (ADHD),0.5,0.500778846153846
Basal Cell Carcinoma,0.5,0.5
Endometriosis and Adenomyosis,0.5,0.5
Headache,0.5,0.5
