,"Age, BMI & VAT","Sleep Quality at baseline
"
Allergy,False,True
Analfissure,False,False
Anemia,False,True
Anxiety,False,False
Asthma,False,False
Atopicdermatitis,False,True
AttentionDeficitDisorderADHD,False,False
B12deficiency,False,True
Backpain,False,False
BasalCellCarcinoma,False,True
COVID19,False,True
Chronicsinusitis,False,True
Depression,False,False
EndometriosisandAdenomyosis,False,True
EpisodicVertigo,False,True
FattyLiverDisease,False,True
Fibromyalgia,False,True
FolicAcidDeficiency,False,True
Fracture,False,True
G6PD,False,True
Gallstonedisease,False,True
Haemorrhoids,False,True
Hashimoto,False,True
Headache,False,True
Hearingloss,False,True
Heartvalvedisease,False,False
Hyperlipidemia,False,False
Hypertension,False,False
Hyperthyroidism,False,True
Hypothyroidism,False,True
Insomnia,False,True
IrritableBowelSyndromeIBS,False,True
Migraine,False,False
Obesity,False,True
Oralaphthae,False,True
Osteoarthritis,False,True
Osteopenia,False,False
Osteoporosis,False,True
PepticDis,False,True
PepticUlcerDisease,False,True
PolycysticOvaryDisease,False,True
Prediabetes,False,False
Psoriasis,False,True
Urinarytractinfection,False,True
Urinarytractstones,False,True
